"Platform","Primary Domain","License","Programming Language","Operating System","User Support","FIPA Compliant","GIS Capabilities","3D Capabilities"
"A3 / AAA (Agent Anytime Anywhere)","General-purpose distributed and atomic agent-based platform.","LGPL","Java","Windows; Mac OS X and UNIX; should run on any Java Virtual Machine.","Paper; tests; examples; tutorial; documentation","Unknown","Unknown","Unknown"
"ABLE (Agent Building and Learning Environment)","Building intelligent agents using machine learning and reasoning","Open source (free for academic and non-commercial use)","Able Rule Language (ARL)","OS/2; Windows 95; Windows 98; Windows NT; and UNIX (any Java 2 JVM)","FAQ; tutorial; examples; discussion forum; emailing developers; Selected publications; API; documentation","Unknown","Unknown","Unknown"
"Altreva Adaptive Modeler","Building agent-based market simulation models for price forecasting of real-world stocks and other securities","Proprietary; free evaluation version available for research and experimentation (some limitations but no expiration)","No programming skills required. An adaptive form of genetic programming is used to create trading rules. User can select functions to be used in the genetic programming engine.","Windows 2000, NT 4.0, XP, Vista, 7, 8 or any other platform that supports Microsoft .Net 2.0 or higher","FAQ, documentation, tutorial, examples, forum, email support","Unknown","Unknown","Up to 3 agent properties can be visualized in real-time using 2D graphics and color"
"ADK (Tryllian Agent Development Kit)","Large scale distributed applications; Mobile (distributed) agents","Dual licensed: either accept the LGPL or contact Tryllian to acquire a closed source license","Java","Windows; Unix; Big Iron IBM mainframes4; anywhere that the Java Standard Edition version 1.4 runs; Sun Java Runtime Environment version 1.3.1 or 1.4; JDK 5.05; any platform on which Sun has made available a JVM; Windows 2000; Windows XP; Solaris; GNU/Linux; Additionally, the ADK has been tested on OS/400 and OS/370.  Mac OS X is not supported, but part of the development of the ADK is done on Mac OS X","FAQ; defect reporting; documentation; mailing list; quickstart guide; examples; email maintainer for more support; API","Yes","Unknown","Unknown"
"AgentBuilder","General purpose multi-agent systems","Proprietary; Discounted academic licenses available","Knowledge Query and Manipulation Language (KQML); Java; C; C++","Windows NT; Windows 2000; Windows XP; Linux; Sun Solaris; any platform with a Java Virtual Machine","Consulting; training; example; FAQ; users manuals; defect reporting; mailing list","Unknown","Unknown","Unknown"
"AgentSheets","Teaching simulation to grades K–12 in social studies, mathematics, sciences, and social sciences","Proprietary","Visual AgenTalk; can be exported to Java;","Windows; Mac OS X; should run on any Java Virtual Machine","Manuals; tutorial movies; FAQ; recommended readings on programming and simulation; personal contact with developers; elementary school training; teacher guides","Unknown","Unknown","Unknown"
"AnyLogic","Agent-based general purpose; distributed simulations","Proprietary","Java; UML-RT (UML for real time)","AnyLogic 7 models are standalone Java applications—professional version only -- (or applets) and run on any Java-enabled platform or in any Java-enabled browser with the following version of JRE (Java Runtime Environment):JRE 1.6.0 or later; Java plug-in (needed to run models in a Browser) is optionally installed with the JRE; Windows 7, Vista, x86-32; Mac OS X 10.6 or later, Universal; SuSE Open Linux 10.2 or later, x86-32; Ubuntu Linux 8.04, x86-32","Demos; training; consulting; knowledge base; online forum; ask a question; documentation; selected references","No","Yes","Yes"
"AOR Simulation","Agent-based discrete event simulation; special extensions for modeling cognitive agents (with beliefs and speech-act-based information exchange communication).","GPL","Java","Windows; Macintosh; Unix; Linux; web","Web site; selected references; documentation; examples","No","planned","planned"
"AgentService","Unknown","Unknown","Microsoft .Net, Mono, Shared Source CLI (SSCLI, aka Rotor)","Windows;","selected references; documentation; API","Yes","Unknown","Unknown"
"Ascape","General-purpose agent-based models.","BSD","Java","Windows; Macintosh; Unix; Linux; web","Online forum (emailing list); selected references; documentation; API","Unknown","Unknown","Unknown"
