"Package","License","Windows","Mac OS","Linux","Market focus","GL","AR/AP","DEB","$£€¥","OB","POS","EC","SOCT","PR","ERP","CRM","BI","HRM","Manf.
/BOM","SCM","IM","RM","D/WM","MU","Multi
Co","Tax","Other Features","Structure","Language"
"Adempiere","GPL","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","","Ψ","Web based","Java on JBoss, GlassFish, PostgreSQL"
"Apache OFBiz","Apache License","Yes","Yes","Yes","Mid-market","Yes","Yes","","","","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","SaaS, Calendar, Webmail","Web based","Java"
"Compiere","GPL2, other proprietary","Yes","Yes","Yes","Mid-market","","","","","","Yes","","","","Yes","Yes","","","Yes","","","","Yes","","","","MES","Web based","Java EE"
"FrontAccounting","GPL3","Yes","Yes","Yes","Low to Mid-Market","Yes","Yes","Yes","Yes","","Yes","","","","Yes","Yes","","","Yes","Yes","Yes","","","Yes","Yes","","","Web based","PHP"
"GnuCash","GPL","Yes","Yes","Yes","Personal and small enterprise","Yes","Yes","Yes","Yes","Yes","","","Yes","","","","","","","","","","","","","ltd","","Stand alone","C, Scheme"
"GNU Enterprise","GPL","Yes","Yes","Yes","Mid to high end market","","","","Yes","","","Yes","","","Yes","Yes","","Yes","","Yes","","","","","","","","Web based + stand alone","Python"
"Grisbi","GPL","Yes","Yes","Yes","Personal","Yes","","No","Yes","","","","","","","","","","","","","","","Yes","","","?","stand alone","C"
"HomeBank","GPL","Yes","Yes","Yes","Personal","Yes","","No","","","","","","","","","","","","","","","","","","","?","stand alone","C, GTK+"
"iDempiere","GPL2","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","SaaS, Calendar, Project Management","Web based and Client-server","Java on Tomcat, OSGi, PostgreSQL, Oracle"
"JFire","GPL","Yes","No","Yes","All Markets","","","Yes","","","Yes","","","","Yes","Yes","","","","","","","Yes","","","","","Web based, Stand alone","Java"
"JGnash","GPL","Yes","Yes","Yes","Personal","Yes","","Yes","Yes","","","","","","","","","","","","","","","","","","","stand alone","Java"
"KMyMoney","GPL","Yes","Yes","Yes","Personal","Yes","","Yes","Yes","Yes","","","Yes","","","","","","","","","","","","","","","stand alone","C++"
"LedgerSMB","GPL","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","Yes","Yes","","","","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","SaaS, Light Manufacturing, Multi-language (40),","Web based","Perl"
"Openbravo","MPL derivative with badgeware clause","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","Project Management, Multi-language, Multicurrency, Localized by country","Web based, on-premise, Saas, On Demand","Java"
"Odoo","AGPL","Yes","Yes","Yes","Low to Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","SaaS, Calendar, Project Management, Webmail","Web based and Client-server","Python"
"Postbooks","CPAL","Yes","Yes","Yes","Low to mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","","Yes","Yes","Yes","","Yes","","Yes","","Yes","","","","Professional Services","Client-server","C++, Qt"
"SQL-Ledger","GPL","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","","","","Yes","","","","Yes","","Yes","","","Yes","Yes","","","Web based","Perl"
"Tryton","GPL","Yes","Yes","Yes","Low to mid-market","Yes","Yes","Yes","Yes","","","Yes","","","Yes","","","","Yes","Yes","Yes","","Yes","Yes","Yes","","","Thin client - Server or Stand alone","Python"
"TurboCASH","GPL","Yes","Yes","No","Low to mid-market","Yes","Yes","Yes","","","Yes","","","","","","","","Yes","","Yes","","","Yes","Yes","","","Stand alone","Delphi"
"webERP","GPL","Yes","Yes","Yes","Low to mid-Market","Yes","Yes","Yes","Yes","","","","","","Yes","","","","","","","","","","","","","Web based","PHP"
"Package","License","Windows","OS X","Linux","Market focus","Type","Structure"
"24SevenOffice","Software as a Service","Yes","Yes","Yes","Low to Mid-Market","ERP, CRM, email, collaboration, Project management, Integrated VoIP","Web based"
"The Access Group","Proprietary","Yes","No","No","Mid-Market","Financials, Customer Relationship Management, Manufacturing, Job Costing, POS, Inventory control, ERP, Business Intelligence, CIS, Payroll","Stand alone"
"Acumatica","Proprietary and Software as a service","Yes","No","No","Mid-Market","ERP, Accounting software","Stand alone and Web based"
"Advanced Business Solutions","Proprietary","Yes","No","Yes","Mid-Market to High End","ERP","Stand alone"
"AME Accounting Software","Proprietary","Yes","No","No","Low to Mid-Market","Payroll, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, Small Business Accounting","Stand alone"
"Aplos Software","Proprietary","Yes","Yes","Yes","Low to Mid-Market nonprofit and faith-based organizations","Fund Accounting, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, nonprofit organization accounting, online fundraising","Web based"
"Baan Corporation","Proprietary","Yes","Yes","Yes","Mid to Low-Market","ERP","Stand alone and web based"
"BIG4books","Software as a Service and freeware","Yes","Yes","Yes","Low to Mid Market","Double-entry bookkeeping system, Small Business Accounting, Inventory control, Order Entry/Tracking, general ledger, accounts receivable, accounts payable, ERP, E-commerce, POS","Web based"
"Brightpearl","Software as a Service","Yes","Yes","Yes","Low to Mid Market","Double-entry bookkeeping system, Small Business Accounting, Bookkeeping, Multi-Currency, Inventory control, Order Entry/Tracking, general ledger, accounts receivable, accounts payable, ERP, E-commerce, POS, Retail, CRM, Reporting, Integration, Quotations, Invoices, Scheduler","Web based"
"CGram Enterprise","Proprietary","Yes","Yes","Yes","Low to Mid Market","Financials; ERP; CRM;Manufacturing; Multicompany; Multicurrency; Payroll; Inventory control; accounts receivable; accounts payable; general ledger","Stand alone"
"Cheqbook","Software as a Service","Yes","Yes","Yes","Low to Mid-Market","Double-entry bookkeeping system, accounts receivable, accounts payable, Small Business Accounting, Reporting, Business Intelligence, general ledger, Bank Reconciliation, Automatic bank feeds, Journal entries, Check printing, Online payment payment processing","Web based"
"CODA","Proprietary","Yes","No","Yes","Mid-Market","GL; AP; AR; Analytics; Integration; etc.","Stand alone/Web Access"
"Comarch Altum","Proprietary","Yes","No","No","Low to Mid-Market","ERP; GL; Bookkeeping, Multi-Currency, Multi-Language, Double-entry bookkeeping system, AP; AR; Analytics; Integration; CRM; BI; e-commerce; Workflow; Retail; POS","Stand alone / Web Access"
"Cougar Mountain Software","Proprietary","Yes","No","No","Low to High End Market","Accounts receivable, accounts payable, Bank reconciliation, Bookkeeping, Chart of accounts, E-commerce, Financials, Fund Accounting, general ledger, Grant Management Software, Inventory control, Job costing, Order Entry, Payroll, Point of Sale, Purchase Order, Retail, Small business software, Software as a Service","Stand alone and Web based"
"Express Accounts from NCH Software","Proprietary","Yes","Yes","No","Low to Mid Market","Business Accounting and Invoicing","Stand Alone/Web Access"
"FinancialForce.com","Software as a Service","Yes","Yes","Yes","Mid-Market to Enterprise","ERP, Ordering & Billing, Accounts Receivable, Accounts Payable, Cash Management, General Ledger, Reporting & Dashboarding, Multi-Currency, Multi-Company, Global Tax, Analytics","Web based"
"FlexAccount","Proprietary","Yes","No","No","Mid to High End Market","ERP, Manufacturing, Intercompany, Multicurrency, Budgeting, Reporting, Analysis","Stand alone and Web Based"
"Fortora Fresh Finance","Proprietary","Yes","Yes","No","Personal","?","Stand alone"
