"Name","Creator","Primary Purpose(s)","First release date","Most recent update","Most recent version","Cost","License","Main user interface type","Development status"
"Audulus","Taylor Holliday","Realtime synthesis, audio processing, mobile music","2011-09","2014-04","v2.7.1","US$19.99 (iPad), $29.99 (Mac)","Proprietary","Graphical","Stable"
"ChucK","Ge Wang and Perry Cook","Realtime synthesis, live coding, pedagogy, acoustic research, algorithmic composition","2004","2012-09","v1.3.1.2","Free","GPL","Document","Immature"
"Csound","Barry Vercoe","Realtime performance, sound synthesis, algorithmic composition, acoustic research","1986","2014-07","v6.03","Free","LGPL","Document, graphical","Mature"
"Impromptu","Andrew Sorensen","Live coding, algorithmic composition, hardware control, realtime synthesis, 2d/3d graphics programming","2006","2010-10","v2.5","Free","Proprietary","Document","Stable"
"Max/MSP","Miller Puckette","Realtime audio + video synthesis, hardware control","1980s (mid)","2014-12-03","v7.0.1","US$399.00","Proprietary","Graphical","Mature"
"nsound","Nick Hilton","Realtime synthesis, offline audio rendering, algorithmic composition, acoustic research","2003","2011-06-26","0.8.2","Free","GPL","Document","Mature"
"Pure Data","Miller Puckette","Realtime synthesis, hardware control, acoustic research","1990s","2011-03-29","v0.43","Free","BSD-like","Graphical","Mature"
"Reaktor","Native Instruments","Realtime synthesis, hardware control, GUI design","1996","2014-09","5.9.2","US$399","Proprietary","Graphical","Mature"
"SuperCollider","James McCartney","Realtime synthesis, live coding, algorithmic composition, acoustic research, all-purpose programming language","1996-03","2013-04","v3.6.5","Free","GPL","Document","Mature"
"sfront","John Lazzaro","MPEG-4/SA implementation, Realtime synthesis, algorithmic composition, structured Web audio.","1997","2010-01-12","0.96","Free","BSD-like","Document","Stable"
"Usine","Olivier Sens","Audio manipulation, live coding, algorithmic composition","2006","2013-07","v1.01.007e","Free/159€","Proprietary","Graphical","Mature"
"Byond","Ronald Schlenker","Realtime synthesis and audio manipulation, algorithmic composition, general purpose programming language, interactive GUI.","2013","2013-11","0.1","Free","GPL","Graphical","Beta"
"Name","Textual/graphical","Object-oriented","Type system","/!\ This cell is not defined /!\"
"Audulus","Graphical","No","","/!\ This cell is not defined /!\"
"ChucK","Textual","Yes","Static","/!\ This cell is not defined /!\"
"Csound","Textual/Graphical (FLTK/Qt/HTML5)","No","In development",""
"Impromptu","Mostly textual","-","Dynamic & static","/!\ This cell is not defined /!\"
"Max/MSP","Graphical","No","","/!\ This cell is not defined /!\"
"nsound","Textual","Yes","Dynamic","/!\ This cell is not defined /!\"
"Pure Data","Graphical","No","","/!\ This cell is not defined /!\"
"Reaktor","Graphical","No","","/!\ This cell is not defined /!\"
"SuperCollider","Textual/Graphical (Cocoa/Swing/Qt)","Yes","Dynamic","/!\ This cell is not defined /!\"
"MPEG-4/SA","Textual","No","No","/!\ This cell is not defined /!\"
"Usine","Graphical","Yes (scripts)","Dynamic","/!\ This cell is not defined /!\"
"Byond","Textual","Yes","Static","/!\ This cell is not defined /!\"
"Name","Shell scripting","Shell scripting","MIDI","MIDI","OSC","OSC","HID","VST","Audio Units","Audio Units","Other"
"Name","In","Out","In","Out","In","Out","HID","VST","As host","As unit","Other"
"Audulus","","","Yes","","","","","","Yes","Yes",""
"ChucK","","","Yes","Yes","Yes","Yes","Yes","","","",""
"Csound","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","binding from Haskell (hCsound), C, C++, Python, Java, Lua, Lisp, JavaScript"
"Impromptu","","","Yes","Yes","Yes","Yes","","","Yes","No","Bidirectional Scheme to Objective-C bridge"
"Max/MSP","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","",""
"nsound","Yes","Yes","No","No","No","No","No","No","No","No","C++ API, Python API"
"Pure Data","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","bindings for Python, Lua, Java, GStreamer"
"Reaktor","","","Yes","Yes","Yes","Yes","","Yes","No","Yes",""
