"","construction","destruction"
"ABAP Objects","",""
"C++ (STL)","",""
"C#","",""
"Java","",""
"D","",""
"Objective-C (Cocoa)","",""
"Swift","",""
"Python","",""
"Visual Basic .NET","",""
"Xojo","",""
"Eiffel","",""
"PHP","",""
"Perl 5","",""
"Perl 6","",""
"Ruby","",""
"Windows PowerShell","",""
"OCaml","",""
"F#","",""
"Smalltalk","""The class is an Object.
Just send a message to a class, usually  or , and many others, for example:""",""
"JavaScript","",""
"Object Pascal / Delphi","",""
"Scala","",""
"COBOL","",""
"Cobra","",""
"","class","protocol","namespace"
"ABAP Objects","","","N/A"
"C++ (STL)","","",""
"C#","","",""
"D","","",""
"Java","","",""
"PHP","","",""
"Objective-C","","",""
"Swift","","",""
"Python","","",""
"Visual Basic .NET","","",""
"Xojo","","",""
"Eiffel","","N/A","N/A"
"Perl","","",""
"Perl 6","","",""
"Ruby","","",""
"Windows PowerShell","N/A","N/A","N/A"
"OCaml","","",""
"F#","","",""
"Smalltalk","","",""
"Object Pascal (Delphi)","","",""
"Scala","","",""
"COBOL","","","N/A"
"Cobra","","",""
"","constructor","destructor","finalizer"
"ABAP Objects","","N/A","N/A"
"C++ (STL)","","",""
"C#","","",""
"D","","",""
"Java","","",""
"Eiffel","","",""
"Objective-C (Cocoa)","","",""
"Swift","","",""
"Python","","",""
"Visual Basic .NET","","",""
"Xojo","","",""
"PHP","","",""
"Perl","","",""
"Perl 6","","",""
"Ruby","","N/A","N/A"
"Windows PowerShell","N/A","N/A","N/A"
"OCaml","","N/A","N/A"
"F#","","",""
"JavaScript","","N/A","N/A"
"COBOL","N/A","N/A","N/A"
"Cobra","","",""
"","public","private","protected","friend"
"ABAP Objects","","","",""
"C++ (STL)","","","",""
"C#","","","",""
"D","","","",""
"Java","","","",""
"Eiffel","","","",""
"Objective-C","","","",""
"Swift","N/A","N/A","N/A","N/A"
"Smalltalk","N/A","N/A","","N/A"
"Python","","N/A","N/A","N/A"
"Visual Basic .NET","","","",""
"Xojo","","","","N/A"
"PHP","","","",""
"Perl","","N/A","N/A","N/A"
"Perl 6","","","N/A","N/A"
"Ruby","N/A","N/A","",""
"Windows PowerShell","","N/A","N/A","N/A"
"OCaml","N/A","N/A","","N/A"
"F#","N/A","","N/A","N/A"
"JavaScript","","","",""
"COBOL","N/A","level-number field clauses.","N/A","N/A"
"Cobra","","","",""
"","basic/void method","value-returning method"
"ABAP Objects","",""
"C++","",""
"C#","",""
"D","",""
"Java","",""
"Eiffel","",""
"Objective-C","",""
"Swift","",""
"Python","",""
"Visual Basic .NET","",""
"Xojo","",""
"PHP","",""
"Perl","",""
"Perl 6","",""
"Ruby","",""
"Windows PowerShell","",""
"OCaml","N/A",""
"F#","N/A",""
"JavaScript","",""
"COBOL","",""
"Cobra","",""
"","read-write","read-only","write-only"
"ABAP Objects","N/A","N/A","N/A"
"C++ (STL)","N/A","N/A","N/A"
"C#","","",""
"D","","",""
"Java","N/A","N/A","N/A"
"Objective-C 2.0 (Cocoa)","and then inside","and then inside","N/A"
"Swift","","","N/A"
"Eiffel","","",""
"Python","","",""
"Visual Basic .NET","","",""
"Xojo","","",""
"PHP","","",""
"Perl","","",""
"Perl 6","N/A","N/A","N/A"
"Ruby","","",""
"Windows PowerShell","","",""
"OCaml","N/A","N/A","N/A"
"F#","","",""
"COBOL","","",""
"Cobra","","",""
"","read-write","read-only","write-only"
"ABAP Objects","N/A","N/A","N/A"
"C++ (STL)","N/A","N/A","N/A"
"C#","","",""
"D","","",""
"Java","N/A","N/A","N/A"
"Objective-C 2.0 (Cocoa)","and then inside","and then inside","N/A"
"Swift","","","N/A"
"Eiffel","","",""
"Python","","",""
"Visual Basic .NET","","",""
"PHP","","",""
"Perl","","",""
"Perl 6","N/A","N/A","N/A"
"Ruby","","",""
"Windows PowerShell","","",""
"OCaml","N/A","N/A","N/A"
"F#","","",""
"COBOL","","",""
"Cobra","","",""
"","unary","binary","function call"
"ABAP Objects","N/A","N/A","N/A"
"C++ (STL)","","",""
"C#","","","N/A"
"D","","",""
"Java","N/A","N/A","N/A"
"Objective-C","N/A","N/A","N/A"
"Swift","(outside class)","(outside class)",""
"Eiffel","","",""
"Python","","",""
"Visual Basic .NET","","","N/A"
"Xojo","","N/A","N/A"
"PHP","","",""
"Perl","","",""
"Perl 6","","",""
"Ruby","","","N/A"
"Windows PowerShell","N/A","N/A","N/A"
"OCaml","N/A","N/A","N/A"
"F#","","","N/A"
"COBOL","N/A","N/A","N/A"
"","read-write","read-only","write-only"
"ABAP Objects","N/A","N/A","N/A"
"C++ (STL)","","",""
"C#","","",""
"D","","",""
"Java","N/A","N/A","N/A"
"Objective-C (recent Clang compiler)","N/A","",""
"Swift","","",""
"Eiffel","","",""
"Python","","",""
"Visual Basic .NET","","",""
"PHP","","",""
"Perl","","",""
"Perl 6","","","N/A"
"Ruby","","",""
"Windows PowerShell","N/A","N/A","N/A"
"OCaml","N/A","N/A","N/A"
"F#","","",""
"COBOL","N/A","N/A","N/A"
"Cobra","","",""
"","downcast","upcast"
"ABAP Objects","N/A","N/A"
"C++ (STL)","",""
"C#","",""
"D","",""
"Java","N/A","N/A"
"Objective-C","N/A","N/A"
"Eiffel","N/A","N/A"
"Python","N/A","N/A"
"Visual Basic .NET","",""
"Perl 6","",""
"PHP","N/A","N/A"
"Perl","N/A","N/A"
"Ruby","N/A","N/A"
"Windows PowerShell","N/A","N/A"
"OCaml","N/A","N/A"
"F#","",""
"COBOL","N/A","N/A"
"","object member","object member","object member","class member","namespace member"
"","method","field","property","class member","namespace member"
"ABAP Objects","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"","Has member?","Has member?","Handler for missing member","Handler for missing member"
"","Method","Field","Method","Field"
"ABAP Objects","N/A","N/A","N/A","N/A"
"C++ (STL)","N/A","N/A","N/A","N/A"
"Objective-C (Cocoa)","","N/A","","N/A"
"Smalltalk","","N/A","","N/A"
"C#","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"Java","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"D","","","",""
"Eiffel","N/A","N/A","N/A","N/A"
"Python","","","",""
"Visual Basic .NET","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"Xojo","(using Introspection)","(using Introspection)","(using Introspection)","(using Introspection)"
"Windows PowerShell","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"F#","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"Ruby","","N/A","","N/A"
"PHP","","","",""
"Perl","","","AUTOLOAD",""
"Perl 6","","","AUTOLOAD",""
"OCaml","N/A","N/A","N/A","N/A"
"JavaScript","","","",""
"COBOL","N/A","N/A","N/A","N/A"
"","current object","current object's parent object","null reference","Current Context of Execution"
"Smalltalk","","","",""
"ABAP Objects","","","",""
"C++ (STL)","","","",""
"C#","","","",""
"Java","","","",""
"D","","","",""
"JavaScript","","","",""
"Objective-C","","","",""
"Swift","","","",""
"Python","","(3.x only)","",""
"Visual Basic .NET","","","",""
"Xojo","","","",""
"Eiffel","","","",""
"PHP","","","",""
"Perl","","","",""
"Perl 6","","","",""
"Ruby","","","",""
"Windows PowerShell","","","",""
"OCaml","","","N/A",""
"F#","","","",""
"COBOL","","","",""
"Cobra","","","",""
"","String representation","String representation","Object copy","Value equality","Object comparison","Hash code","Object ID"
"","Human-readable","Source-compatible","Object copy","Value equality","Object comparison","Hash code","Object ID"
"ABAP Objects","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"C++ (STL)","","","","","","","pointer to object can be converted into an integer ID"
