"Rank","Country","Current
equivalent
states","GDP (Billions of US$ in PPP)"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"1","China","United States","16,149.1"
"2","India","California  Texas  New York  New England  Florida","6,776.0"
"3","Japan","California  Texas  New England","4,667.6"
"4","Germany","California  New York","3,512.8"
"5","Russia","California  New York","3,491.6"
"6","Brazil","California  Florida","3,012.9"
"7","France","California  Colorado","2,534.5"
"8","Indonesia","California  South Carolina","2,389.0"
"9","United Kingdom","California  Washington, D.C.","2,320.4"
"10","Mexico","Texas  New Jersey","2,058.9"
"11","Italy","Texas  North Carolina","2,035.4"
"12","South Korea","Texas  Iowa","1,697.0"
"13","Saudi Arabia","Texas","1,553.1"
"14","Canada","Texas","1,518.4"
"15","Spain","New York  Iowa","1,488.8"
"16","Turkey","New York  Nevada","1,443.5"
"17","Iran","Florida  Massachusetts","1,244.3"
"18","Australia","Florida  Louisiana","1,052.6"
"19","Nigeria","New England  West Virginia","972.6"
"20","Taiwan","Florida  Iowa","970.9"
"21","Thailand","Florida  Iowa","964.5"
"22","Argentina","Florida  Nevada","927.9"
"23","Egypt","New England","909.8"
"24","Poland","New England","896.8"
"25","Pakistan","Florida","835.1"
"26","Netherlands","Florida","780.3"
"27","Malaysia","Pennsylvania  South Dakota","693.6"
"28","South Africa","Pennsylvania","662.6"
"29","Philippines","Pennsylvania","643.1"
"30","Colombia","Ohio  Vermont","602.0"
"31","United Arab Emirates","Ohio","570.6"
"32","Venezuela","Ohio","553.3"
"33","Algeria","New Jersey","543.0"
"34","Bangladesh","North Carolina","499.6"
"35","Vietnam","North Carolina","475.0"
"36","Belgium","Georgia (U.S. state)","455.0"
"37","Switzerland","Michigan","432.0"
"38","Singapore","Michigan","425.3"
"39","Sweden","Michigan","418.2"
"40","Chile","Washington","395.6"
"41","Kazakhstan","Washington","395.5"
"42","Ukraine","Washington","392.5"
"—","Hong Kong","Washington","382.5"
"43","Austria","Maryland  Vermont","376.7"
"44","Romania","Maryland  Vermont","371.2"
"45","Peru","Maryland","357.6"
"46","Norway","Colorado","328.0"
"47","Qatar","Indiana","298.4"
"48","Czech Republic","Tennessee","287.6"
"49","Greece","Arizona","278.0"
"50","Kuwait","Missouri","275.4"
"","/!\ This cell is not defined /!\"
"",""
"Rank","Country","GDP (Billions of US$)"
"","style=""text-align:left""|World||style=""text-align:left""|101,933.9","/!\ This cell is not defined /!\"
"2","China","16,149.1"
"3","India","6,776.0"
"4","Japan","4,667.6"
"5","Germany","3,512.8"
"6","Russia","3,491.6"
"7","Brazil","3,012.9"
"8","France","2,534.5"
"9","Indonesia","2,389.0"
"10","United Kingdom","2,320.4"
"—","California","2,202.6"
"11","Mexico","2,058.9"
"12","Italy","2,035.4"
"13","South Korea","1,697.0"
"14","Saudi Arabia","1,553.1"
"—","Texas","1,532.6"
"15","Canada","1,518.4"
"16","Spain","1,488.8"
"17","Turkey","1,443.5"
"18","Iran","1,244.3"
"—","New York","1,310.7"
"19","Australia","1,052.6"
"20","Nigeria","972.6"
"21","Taiwan","970.9"
"22","Thailand","964.5"
"23","Argentina","927.9"
"24","Egypt","909.8"
"—","New England States","900.8"
"25","Poland","896.8"
"26","Pakistan","835.1"
"—","Florida","800.4"
"27","Netherlands","780.3"
"—","Illinois","720.6"
"28","Malaysia","693.6"
"29","South Africa","662.6"
"—","Pennsylvania","644.9"
"30","Philippines","643.1"
"31","Colombia","602.0"
"32","United Arab Emirates","570.6"
"—","Ohio","565.2"
"33","Venezuela","553.3"
"—","New Jersey","543.0"
"34","Algeria","522.6"
"35","Iraq","499.6"
"36","Bangladesh","496.0"
"37","Vietnam","475.0"
"—","North Carolina","471.3"
"38","Belgium","455.0"
"—","Georgia (U.S. state)","454.5"
"—","Virginia","452.5"
"—","Massachusetts","446.3"
"—","Michigan","432.5"
"39","Switzerland","432.0"
"40","Singapore","425.3"
"41","Sweden","418.2"
"—","Washington","408.0"
"42","Chile","395.6"
"43","Kazakhstan","395.5"
"44","Ukraine","392.5"
"—","Hong Kong","382.5"
"45","Austria","376.7"
"46","Romania","371.2"
"47","Peru","357.6"
"—","Maryland","342.3"
"48","Norway","328.0"
"—","Colorado","317.1"
"—","Minnesota","312.0"
"49","Qatar","298.4"
"—","Indiana","294.4"
"—","Tennessee","287.6"
"50","Czech Republic","287.6"
"—","Wisconsin","282.4"
"—","Arizona","279"
"51","Greece","278.0"
"—","Missouri","276.3"
"52","Kuwait","275.4"
"53","Portugal","268.8"
"54","Israel","257.5"
"—","Louisiana","253.5"
"—","Connecticut","249.2"
"55","Morocco","241.7"
"56","Denmark","240.9"
"57","Hungary","229.6"
"58","Myanmar","221.5"
"—","Oregon","219.5"
"59","Finland","218.3"
"60","Ireland","213.3"
"61","Sri Lanka","199.5"
"—","Alabama","193.5"
"—","South Carolina","183.5"
"—","Kentucky","183.3"
"—","Oklahoma","182.0"
"62","Ecuador","172.1"
"63","Belarus","166.8"
"64","Angola","166.1"
"—","Iowa","165.7"
"65","Azerbaijan","158.5"
"66","Uzbekistan","156.5"
"67","Oman","155.6"
"68","Sudan","152.3"
"69","New Zealand","150.7"
"—","Kansas","144.0"
"70","Slovakia","144.0"
"—","Utah","141.2"
"—","Nevada","132.0"
"71","Dominican Republic","126.8"
"72","Ethiopia","126.7"
"73","Libya","126.6"
"74","Kenya","125.8"
"—","Arkansas","124.2"
"75","Tunisia","119.7"
"76","Bulgaria","119.6"
"77","Syria","115.1"
"—","Washington, D.C.","113.3"
"78","Guatemala","112.9"
"—","Nebraska","109.6"
"—","Mississippi","105.5"
"79","Ghana","103.0"
"80","Yemen","102.3"
"—","New Mexico","92.2"
"81","Serbia","89.7"
"82","Croatia","86.6"
"83","Tanzania","84.9"
"84","Lebanon","77.4"
"85","Jordan","76.2"
"86","Lithuania","75.4"
"—","Hawaii","75.2"
"—","West Virginia","73.9"
"87","Turkmenistan","73.4"
"88","Panama","71.0"
"—","New Hampshire","67.8"
"89","Costa Rica","67.6"
"90","Uruguay","66.8"
"91","Bolivia","65.4"
"92","Cote d'IvoireCôte d'Ivoire","65.2"
"93","Cameroon","62.9"
"—","Delaware","62.7"
"94","Nepal","62.4"
"—","Idaho","62.2"
"95","Uganda","61.9"
"—","Alaska","59.3"
"96","Afghanistan","58.8"
"97","Slovenia","58.7"
"98","Bahrain","58.3"
"99","Zambia","57.1"
"—","North Dakota","56.3"
"—","Maine","54.7"
"100","Paraguay","54.7"
"—","Rhode Island","53.1"
"101","Congo, Democratic Republic of","50.5"
"102","El Salvador","49.2"
"103","Luxembourg","48.5"
"—","South Dakota","46.7"
"104","Latvia","46.5"
"105","Cambodia","46.1"
"—","Wyoming","45.4"
"—","Montana","44.0"
"106","Trinidad and Tobago","40.6"
"107","Honduras","37.2"
"108","Bosnia and Herzegovina","37.1"
"109","Estonia","34.4"
"110","Madagascar","32.1"
"111","Georgia","32.1"
"112","Gabon","32.1"
"113","Botswana","31.7"
"114","Senegal","31.7"
"115","Laos","31.6"
"116","Brunei Darussalam","30.0"
"—","Vermont","29.5"
"117","Albania","29.5"
"118","Nicaragua","28.2"
"119","Burkina Faso","27.7"
"120","Mozambique","27.0"
"121","Mongolia","26.8"
"122","Chad","26.8"
"123","South Sudan","26.1"
"124","Macedonia","26.1"
"125","Congo, Republic of the","26.1"
"126","Zimbabwe","25.6"
"127","Equatorial Guinea","25.6"
"128","Cyprus","25.3"
"129","Mali","25.2"
"130","Jamaica","23.6"
"131","Armenia","23.1"
"132","Mauritius","22.3"
"133","Namibia","22.2"
"134","Tajikistan","20.6"
"135","Benin","18.5"
"136","Kyrgyzstan","18.2"
"137","Haiti","17.6"
"138","Rwanda","17.4"
"139","Papua New Guinea","16.8"
"140","Moldova","16.6"
"141","Niger","16.3"
"142","Kosovo","16.2"
"143","Guinea","14.7"
"144","Iceland","13.2"
"145","Malta","12.9"
"146","Malawi","12.8"
"147","Mauritania","11.8"
"148","Sierra Leone","11.7"
"149","Togo","9.5"
"150","Timor-Leste","9.2"
"151","Montenegro","9.1"
"152","Suriname","8.8"
"153","Bahamas, The","8.8"
"154","Swaziland","8.4"
"155","Burundi","7.9"
"156","Eritrea","7.6"
"157","Fiji","6.9"
"158","Bhutan","5.4"
"159","Lesotho","5.3"
"160","Guyana","5.2"
"161","Barbados","4.5"
"162","Maldives","4.0"
"163","Liberia","3.6"
"164","Cape Verde","3.2"
"165","Gambia, The","3.1"
"166","Belize","2.8"
"167","Central African Republic","2.8"
"168","Djibouti","2.7"
"169","Guinea-Bissau","2.4"
"170","Seychelles","2.2"
"171","San Marino","1.97"
"172","Antigua and Barbuda","1.92"
"173","Saint Lucia","1.88"
"174","Grenada","1.21"
"175","Saint Kitts and Nevis","1.16"
"176","Saint Vincent and the Grenadines","1.16"
"177","Comoros","1.15"
"178","Solomon Islands","1.03"
"179","Samoa","0.96"
"180","Dominica","0.73"
"181","Vanuatu","0.65"
"182","Sao Tome and PrincipeSão Tomé and Príncipe","0.57"
"183","Tonga","0.50"
"184","Micronesia","0.32"
"185","Palau","0.26"
"186","Kiribati","0.17"
"187","Marshall Islands","0.17"
"188","Tuvalu","0.03"
