"Network","ASN","Routes Carried","Customer Routes","Maximum Prefix Length","Partitioned From","Updated"
"route-views6","","17,649","","/48","","2014-04-27"
"AT&T","7018","17,370","455","","","2014-04-27"
"Cable & Wireless Worldwide","1273","12,971","408","","","2013-07-29"
"Cogent Communications","174","8,852","","","AS6830, AS6939, AS20825, AS29562, AS30071","2012-10-03"
"Comcast","7922","15,474","153","/48","","2013-01-28"
"Global Crossing","3549","7,299","2,267","","","2011-12-31"
"Hurricane Electric","6939","16,922","9,367","/48","AS174","2014-04-27"
"IIJ","2497","17,196","162","","","2014-04-27"
"Init Seven AG","13030","17,663","419","","","2014-04-27"
"Internap","10913, others","10,495","","","","2012-10-12"
"Internet 2","11537","7,546","754","","","2011-12-31"
"Internode","4739","17,594","","","","2014-04-27"
"KPN","286","13,177","400","","","2013-07-29"
"Level 3 Communications","3356","16,974","5,818","/48","","2014-04-27"
"Neotelecoms","8218","7,269","117","/48","","2011-10-31"
"nLayer Communications (now Global Telecom & Technology)","4436","17,324","423","/48","","2014-04-27"
"NTT Communications","2914","17,111","4,468","/48","","2014-04-27"
"Qwest","209","17,360","726","/48","","2014-04-27"
"Savvis","3561","11,055","190","/48","","2012-12-29"
"Sprint","1239","9,131","","/48","","2012-07-10"
"Sprint","6175","3,766","","/48","","2010-12-22"
"Tata Communications","6453","5,033","480","/48","","2011-04-21"
"Telecom Italia Sparkle","6762","17,044","958","/48","","2014-04-27"
"TeliaSonera International Carrier","1299","13,067","3,734","/48","","2013-07-27"
"Inteliquent (formerly Tinet)","3257","16,728","3,633","/48","","2014-04-27"
"Liberty Global","6830, 20825, 29562, others","17,376","107","/48","AS174","2014-05-01"
"Verizon Business","701","12,080","452","/48","","2013-03-28"
"XO Communications","2828","11,862","424","/48","","2013-01-10"
"PIPE Networks","24130","9,615","47","/48","","2012-07-31"
