"NMDC hub","FOSS","Software license","Active","Latest version (release date)","GUI","CLI","Other","IPv6 support","Programming language","Based on","Notes"
"UFOHub","No","Proprietary
Freeware","Yes","8.14.12 (2014-Dec-07)","Yes","Unknown","Unknown","Yes","Unknown","UFOHub","Available"
"PTDCH","Yes","GNU GPL","Yes","Never released since 2008","Yes","Unknown","Unknown","No","Visual Basic, Jscript, VBscript","DDCH","/!\ This cell is not defined /!\"
"Dtella","Yes","GNU GPL","Yes","1.2.7 (2012-08-15)","No","No","Yes","No","Python","","/!\ This cell is not defined /!\"
"HeXHub","Yes","Open Software License","Yes","5.07 (2011-05-29)","Yes","Unknown","Unknown","No","Assembly","","/!\ This cell is not defined /!\"
"Open Direct Connect Hub","Yes","GNU GPL","No","0.8.2 (2010-04-09)","No","Unknown","Unknown","No","C, Perl","","Available in Debian and OpenWrt"
"Flexhub","Yes","GNU AGPL","Yes","Beta0.2svn1469 (2013-10-22)","Pending","Yes","Unknown","No","Lua","","/!\ This cell is not defined /!\"
"PtokaX","Yes","GNU GPL","Yes","0.5.0.2 (2014-04-13)","Yes","Yes","Unknown","Yes","C++, Lua","","/!\ This cell is not defined /!\"
"RusHub","Yes","GNU GPL","Yes","2.3.10 (2012-06-10)","No","Yes","Unknown","Yes","C++, Lua","Verlihub","/!\ This cell is not defined /!\"
"VerliHub","Yes","GNU GPL","Yes","0.9.8e-r2 (2009-07-20)","No","Yes","Unknown","No","C++, Lua, Python","","/!\ This cell is not defined /!\"
"Eximius","No","Proprietary
Freeware","Yes","2007","Yes","Unknown","Unknown","No","C#, Lua","","/!\ This cell is not defined /!\"
"DB Hub","Yes","GNU GPL","No","2008","Unknown","Unknown","Unknown","No","Unknown","OpenDCHub","/!\ This cell is not defined /!\"
"openDCd","Yes","GNU GPL","No","2002","Unknown","Unknown","Unknown","No","Unknown","","/!\ This cell is not defined /!\"
"DDCH DevDirect Connect Hub","Unknown","Unknown","No","","Yes","No","No","No","Visual Basic, Jscript","","/!\ This cell is not defined /!\"
"py-dchub","Yes","MIT License","No","0.2.4 (2006-02-13)","Unknown","Unknown","Unknown","No","Python","","/!\ This cell is not defined /!\"
"Aquila","Yes","GNU GPL","No","2012","No","Yes","No","No","C++, Lua","","/!\ This cell is not defined /!\"
"YnHub","No","Proprietary
Freeware","Yes","1.0363 (2014-02-20)","Yes","No","No","No","Delphi","","/!\ This cell is not defined /!\"
"LamaHub","Yes","GNU GPL","No","0.0.6.3 (2010-04-25)","Unknown","Unknown","Unknown","No","C","","/!\ This cell is not defined /!\"
"DC Sharp Hub","Yes","GNU GPL","No","3.0.4 beta (2004-09-06)","Unknown","Unknown","Unknown","No","C#","","/!\ This cell is not defined /!\"
"NMDC hub","FOSS","Software license","Active","Latest version (release date)","GUI","CLI","Other","IPv6 support","Programming language","Based on","/!\ This cell is not defined /!\"
"NMDC hub","Windows","Linux","Mac OS X","Other"
"UFOHub","Yes","No","No","No"
"Eximius","Yes","No","No","No"
"PTDCH","Yes","No","No","No"
"Aquila","Yes","Yes","No","No"
"Dtella","Yes","Yes","Yes","No"
"HeXHub","Yes","No","No","No"
"Open Direct Connect Hub","No","Yes","No","OpenWrt"
"Flexhub","Yes","Yes","No","Qnap and Synology NAS Devices"
"openDCd","Yes","Yes","No","No"
"DDCH DevDirect Connect Hub","Yes","No","No","No"
"DBHub","No","Yes","No","No"
"PtokaX","Yes","Yes","No","FreeBSD, Nexenta, Solaris, Haiku"
"py-dchub","Yes","Yes","Yes","Any Python compatible platform"
"RusHub","Yes","Yes","Yes","FreeBSD, Solaris"
"VerliHub","No","Yes","No","No"
"Yhub","Yes","No","No","No"
"Ynhub","Yes","No","No","No"
"LamaHub","Yes","Yes","Yes","OS/2, OpenBSD, NetBSD, PC-BSD, FreeBSD, ZeX/OS"
"DC Sharp Hub","Yes","No","No","No"
"NMDC hub","Windows","Linux","Mac OS X","Other"
"NMDC Client","FOSS","Software license","Active","Windows","Linux","Mac OS X","Other OS","GUI","CLI","Other UI","Programming language","Based on"
"MLDonkey","Yes","GNU GPL","Yes","Yes","Yes","Yes","No","Yes","Yes","WebUI","OCaml, C, assembly",""
"Shareaza","Yes","GNU GPL","Yes","Yes","No","No","No","Yes","Unknown","Unknown","C++",""
"NeoModus Direct Connect","No","Proprietary
Freeware","No","Yes","Yes","No","No","Yes","No","No","Visual Basic, C++",""
"ShakesPeer","Yes","GNU GPL","No","No","No","Yes","No","Yes","No","No","C",""
"Valknut","Yes","GNU GPL","No","No","Yes","No","FreeBSD","Yes","No","No","C++",""
"DCTC","Yes","GNU GPL","No","","","","","No","No","Yes","C++",""
"DC#","Yes","GNU GPL","No","Yes","No","No","No","Yes","No","No","C#",""
"LDCC","Unknown","Unknown","No","No","Yes","No","No","No","No","Yes","C",""
"DCDM++","Yes","GNU GPL","No","Yes","No","No","No","Yes","No","No","C++","DC++"
"fulDC","Yes","GNU GPL","No","Yes","No","No","No","Yes","No","No","C++","DC++"
"RevConnect","Yes","GNU GPL","No","Yes","No","No","No","Yes","No","No","C++","DC++"
"CzDC","Yes","GNU GPL","Yes","Yes","No","No","No","Yes","No","No","C++","DC++"
"EiskaltDC","Yes","GNU GPL","No","No","Yes","Yes","FreeBSD","Yes","No","No","C++","Valknut"
"ncdc","Yes","MIT Licence","Yes","No","Yes","Yes","FreeBSD","No","Yes","No","C",""
"NMDC Client","FOSS","Software license","Active","Windows","Linux","Mac OS X","Other OS","GUI","CLI","Other UI","Programming language","Based on"
"Other software","Software type","FOSS","Software license","Active"
"jDCBot","General library","Yes","GNU GPL","Yes"
"Net::DirectConnect","General library","Yes","Unknown","Yes"
"FlowLib","General library","Yes","GNU GPL","Yes"
"DC-hublink","Link","Yes","GNU GPL","No"
"Hub-Link","Link","Yes","GNU GPL","No"
"MyIrcDcLinks","Link","Yes","GNU GPL","Yes"
"NetChatLink","Link","Yes","GNU GPL","Yes"
"Kitty","Bot","Yes","GNU GPL","No"
"Other software","Software type","FOSS","Software license","Active"
"Other software","Windows","Linux","Mac OS X","Other"
"jDCBot","Yes","Yes","Yes","Any Java compatible platform"
"Net::DirectConnect","Yes","Yes","Yes","Any Perl compatible platform"
"FlowLib","Yes","Yes","Yes","Any C# compatible platform"
"DC-hublink","Yes","No","No","No"
"Hub-Link","Yes","No","No","No"
"MyIrcDcLinks","Yes","No","No","No"
"NetChatLink","Yes","No","No","Runs under WINE"
"Kitty","Yes","No","No","No"
"Other software","Windows","Linux","Mac OS X","Other"
"Other software","GUI","CLI","Other","Programming language","Based on"
"jDCbot","No","No","No","Java",""
"Net::DirectConnect","No","No","No","Perl",""
"FlowLib","No","No","No","C#",""
"DC-hublink","Yes","No","No","Visual Basic",""
"Hub-Link","Yes","No","No","Visual Basic",""
"MyIrcDcLinks","Yes","No","No","Delphi",""
"NetChatLink","Yes","No","No","Delphi",""
"Kitty","Unknown","Unknown","Unknown","C#",""
"Other software","GUI","CLI","Other","Programming language","Based on"
