"Age range","British English","British English","British English","American English","American English"
"Age range","Name","Alternative/Old name","Syllabus","Name","Alternative name"
"1–4","Preschool (optional)","Preschool (optional)","Preschool (optional)"," "," "
"1–4","Nursery","Playgroup","Foundation Stage 1","Day care","Preschool"
"3–5","Primary school","Primary school","Primary school"," "," "
"3–5","Reception","Infants reception","Foundation Stage 2","Pre-kindergarten","Pre-K"
"5–6","Year 1","Infants year 1","Key Stage 1","Kindergarten",""
"5–6","Year 1","Infants year 1","Key Stage 1","Elementary school","Elementary school"
"6–7","Year 2","Infants year 2","Key Stage 1","1st grade"," "
"7–8","Year 3","First year Junior","Key Stage 2","2nd grade"," "
"8–9","Year 4","Second year Junior","Key Stage 2","3rd grade"," "
"9–10","Year 5","Third year Junior","Key Stage 2","4th grade"," "
"10–11","Year 6","Fourth year Junior","Key Stage 2","5th grade"," "
"11–12","Secondary school / High School","Secondary school / High School","Secondary school / High School","Middle school","Junior high school"
"11–12","Year 7","First form","Key Stage 3","6th grade"," "
"12–13","Year 8","Second form","Key Stage 3","7th grade"," "
"13–14","Year 9","Third form","Key Stage 3","8th grade"," "
"14–15","Year 10","Fourth form","Key Stage 4, GCSE","High school","High school"
"14–15","Year 10","Fourth form","Key Stage 4, GCSE","9th grade","Freshman year"
"15–16","Year 11","Fifth form","Key Stage 4, GCSE","10th grade","Sophomore year"
"16–17","Sixth form / FE College","Sixth form / FE College","Sixth form / FE College","11th grade","Junior year"
"16–17","Year 12","Lower sixth (AS)","Key Stage 5, A level","11th grade","Junior year"
"17–18","Year 13","Upper sixth (A2)","Key Stage 5, A level","12th grade","Senior year"
"UK","US"
"accelerator","gas [pedal], accelerator"
"bonnet","hood"
"boot","trunk"
"mudguard, wheel arch, wing","fender"
"hood, soft/hard top","convertible top"
"car park","parking lot"
"driving licence","driver's license"
"dual carriageway","divided highway"
"estate car","station wagon"
"flyover","overpass, flyover"
"gearbox","transmission"
"hard shoulder","shoulder"
"hired care, hire car","rental car, rental"
"juggernaut, lorry","18 wheeler, tractor-trailer"
"lorry","truck"
"articulated lorry","trailer truck, semi"
"manual","stick shift, manual"
"motorway","freeway or highway"
"pavement","sidewalk"
"roadworks","construction zone, roadwork"
"petrol","gasoline or gas"
"saloon","sedan"
"silencer","muffler"
"spanner","wrench"
"ticking over","idling"
"windscreen","windshield"
"car valeting","auto detailing"
"British English","American English"
"not touch something with a bargepole","not touch something with a ten-foot pole"
"sweep under the carpet","sweep under the rug*"
"touch wood","knock on wood"
"see the wood for the trees","see the forest for the trees"
"put a spanner in the works","throw a (monkey) wrench (into a situation)"
"put (or stick) your oar in
but it won't make a ha'porth of difference
to put your two penn'orth (or tuppence worth) in","to put your two cents (or two cents' worth) in"
"skeleton in the cupboard","skeleton in the closet"
"a home from home","a home away from home"
"blow one's own trumpet","blow (or toot) one's own horn"
"a drop in the ocean","a drop in the bucket, a spit in the ocean"
"flogging a dead horse","beating a dead horse"
"haven't (got) a clue","don't have a clue or have no clue (haven't got a clue is also acceptable)"
"a new lease of life","a new lease on life"
"lie of the land","lay of the land"
"take it with a pinch of salt","take it with a grain of salt"
"a storm in a teacup","a tempest in a teapot"
