"System","Creator","License","Platform","First Release Date","Features","Integration"
"Precursive","Precursive Ltd","SaaS","Cloud computing based application running natively on Force.com","2011","Forecasting, Resource Management, Recruiting, Delivery Management, Delivery Governance, Time Reporting, Expense Management, Project Billing, Operational Reporting, KPI Dashboards","Salesforce.com, Outlook, Gmail, Accounting Packages (Sage, Xero and Kashflow).  Via our partnership with Jitterbit we can integrate with cloud and legacy system."
"PROMYS PSA","PROMYS Inc.","SaaS","Web-Based HTML 5 supporting any Mobile device","2003","Some the largest IT solution providers in North America, UK & Australia are replacing their legacy PSA's with the PROMYS Enterprise PSA software. In addition to strong Help Desk, Project Management, Time & Billing, PROMYS is equally strong in CRM, Quoting, equipment Bill of materials tracking, resource scheduling, Inventory and customer portal.  PROMYS is accessible from any Mobile device.","Microsoft Dynamics GP, Sage Group, Quickbooks, Microsoft Outlook, RMM Monitoring tools and custom integrations through Web Service."
"HarmonyPSA","Datalogic Solutions Ltd","SaaS \OnPremise","Web-based","2011","Specifically targeting the technology services sector, includes functionality covering sales campaigns, opportunity management, multi currency and jurisdictional price book modelling, integrated quotes and orders processing, project management, ticketing, assets, customer portal with support for reseller model, timesheets and Expenses, straight through billing automation will support for volume charge and recurring contracts, rich contract management module, journal level accounting rules engine and deferred revenue management, purchase order processing, online data analysis with pivot tables","Any accounting system, email parsing for tickets and CRM, excel exports and imports, iCal interface for Outlook\Google Apps etc., 2 Factor Authentication, SharePoint"
"10,000ft","Artefact Product Group","SaaS","Web-based application with mobile app for iPhone","2012","10,000 ft is a strategic planning solution to help you manage your business. Feature include: Visual Resource Planning and Forecasting; Project Planning; Tasks and Notes; Time and Expense Tracking; Analytics and Reports","Quickbooks; CSV; custom integrations through API"
"moon","MoonPSA","SaaS","Web-based application with mobile app for iPhone","2013","moon includes all-in-one CRM, Project Management, Knowledge Management, Time Tracking, Invoicing, Cash Management, HR Management / People Development, together with real time P&L forecasts, budgeting, KPI dashboard, and Performance Review - Source of changes analysis; used by professionals, support staff, and management","Accounting software; CSV; custom integrations through API"
"Pie","PIEmatrix","SaaS","Web-based application","2009","PIEmatrix Pie is a visual process flow-based application for management consulting firms, systems integrator, and professional services organizations or departments. Features include project management, portfolio management, time tracking for billable or non-billable tasks, plan versus actual time tracking, reports, metrics, and dashboards. Methodology and best practice management is also included.","Integrates and synchronizes with Microsoft Project; Office Files, Google Docs, Email, and CSV"
"Atollon Lagoon","Atollon","SaaS or On-site","Web-based","2006","Atollon Lagoon is a platform for growth & management of professional services organizations. Atollon platform helps streamline business processes ranging from sales & marketing, request tracking, business transactions tracking, resource management, projects delivery, task tracking, time sheet entry, billing automation over to financial profitability reporting. Atollon Lagoon platform is highly configurable to very quickly adopt to user's needs.","Atollon integrates with Google Apps, including Calendar, Tasks and Contacts, as well as MS Exchange and Office 365."
"Mavenlink","Mavenlink","SaaS","Web-based and mobile application","2010","Mavenlink is a Growth Management Software company specializing in advanced project management for professional services businesses. The Mavenlink platform improves and streamlines all project-related team collaboration, tasks, activities, file sharing, resource management, budgeting, financial analytics and reporting, significantly improving the execution, efficiency and delivery of projects. Mavenlink customers can create and manage custom Gantt charts to track project dependencies and assess completion status, generate invoices, assign and allocate resources and personnel, and perform job costing and margin analysis.","Mavenlink integrates with Google Apps, including Drive, Calendar, Tasks and Contacts, as well as Intuit Quickbooks, PayPal and Microsoft Office 2013."
"V1 PSA (Formerly Sharpowl)","V1 Ltd","Active resource","Microsoft Server 2008, Microsoft SQL Server 2008","2002","Project Administration, Project Accounting, Time and Expense Management, Billing Management, Budget Management, Revenue recognition, Microsoft Project Integration, Resource Management, Intra-Company Charging, Reporting And Analytics.","Microsoft Office, Microsoft Project, integrates with most modern accounting CRM and HR systems"
"Autotask","Autotask Corporation","SaaS","Web-based","2001","Designed for IT consultants, ITSPs, VARs, MSPs.   CRM, Opportunity and Quote Management, Asset Management, Service Desk and Ticketing, Resource Dispatching, Expense/Timesheet Management, Invoicing, Project Management","N-able, Kaseya, BrightGauge, Cisco, QuickBooks, FreshBooks, Xero, Microsoft Exchange, Continuum, Managed Workplace, SalesForce, LPI, Intronis, Axcient, Kaseya, GFI, Zenith Infotech, CNET, QuoteWerks, Quosal, LabTech Software, Datto, CentraStage, iBiz10,  Xerox PagePack, Microsoft Outlook"
"Tigerpaw Business Suite","Tigerpaw Software, Inc.","OnPremise/SaaS","On-Premise; Web-Based; HTML 5 Web-Based Mobile Solution","1984","The Tigerpaw Business Suite is a comprehensive tool for helping IT, telephony, security, Audio/Video, and POS businesses increase growth and make informed business decisions.  It enables businesses to manage, automate and integrate business functions including service ticketing, expense and time management, project management, accounting, CRM, inventory, sales, marketing, purchasing, and workflow within one easy-to-use system.","AVG/Level PIatforms, N-able, Kaseya, QuickBooks, Peachtree/SAGE50, Microsoft Exchange, Continuum, LabTech, IT Control Suite, Ipswitch, HyBlue, Servoyant, GFI, Microsoft Outlook"
"Clarizen","Clarizen","SaaS","Web-based","2007","Project Management, Professional Services Automation, Social Collaboration, Resource Management, Resource Planning, Workflow Automation, Time Tracking, Issue Management, Budget Management","Salesforce.com, Box.com, Google Drive, Intaact, Intuit Quickbooks, iCal, JIRA, Microsoft Exchange, Microsoft Excel, Microsoft Outlook"
"allocPSA","Cyber IT Solutions","Affero General Public License & SaaS","Web-Based","2003","Professional Services Automation (PSA) and Task/Issue tracking, Resources, Customer, Opportunity, Project, and Financial Management. Invoicing and Sales.","Export to CSV"
"Changepoint","Compuware","SaaS, Buy and Host & On-Premises","Web-Based Mobility solutions for tablets and smartphone devices through multiple browsers","1994","Professional Services Automation (PSA) and Project Portfolio Management (PPM) solutions, including tools for Resource, Customer, Opportunity, Project, and Financial Management.","Salesforce.com  95% of Changepoint clients have at least one integration.    CRM SYSTEMS - Microsoft Dynamics, SalesForce, Suger, Sage, Oracle and industry specific systems.  FINANCIALS - SAP, Oracle, Sage, Great Plains, Navision, SUN, and other industry standard and industry specific systesm.   HR - Workday, Oracle, SAP and others.    OTHERS, Concur, RevPro, Microsoft Sharepoint, and other industry specific and generic software systesm."
"CommitCRM","Commit Business Solutions Ltd","Commercial","Windows, Web-Based","2003","PSA for IT Services Providers and MSPs - Service Tickets, Contracts & Billing, SLA, Customer Web Portal, Quoting, Employee & Sub-Contractor Management, Time Tracking, Dispatching & Calendaring, Asset Tracking, Sales Opportunity Management, Statistics, CRM, Knowledge Base, RMM Integration and full API.","QuickBooks, Continuum, GFI MAX, QuoteWerks, Microsoft Outlook, Microsoft Excel among others."
"FinancialForce PSA","FinancialForce.com","SaaS","Cloud based application running natively on Force.com","2010","FinancialForce PSA is native to Salesforce CRM and is built on the Force.com platform. Manage people, customers, projects & financials in one integrated app. Deliver projects on time, within scope & under-budget. Includes timecards, expenses, project management, reporting, and accounting.","FinancialForce Accounting, FinancialForce ERP and Salesforce.com"
"AffinityLive","AffinityLive","SaaS","Web-Based","2011","Integrated CRM, Project Management, Client Services & Support Tickets, Time Billing, Invoicing, Schedules & Resource Forecasting, Task Tracking, Client Collaboration.","Google Apps, Microsoft Exchange, Microsoft Office 365, Quickbooks, Xero, Yammer, Twitter, and Business Catalyst"
"AtTask","AtTask","SaaS","Web-Based or On-Premises","2001","Project management tools, time and expense entry, capacity planning, task tracking, ticket tracking, and collaboration environments.","Oracle Financials, SAP, Peoplesoft, and Salesforce.com"
"Vision","Deltek","Commercial","Locally hosted Web-Based client","??","Resource and Project management, time and expense entry, purchasing, payroll, and billing","Microsoft Office and other custom integrations through APIs"
"Projectex","AIT TMS","Commercial","Desktop Client-Server","??","Workflow, Project Management, Expense Tracking, Word Count, Time Tracking","ODBC, CSV"
"Kimble","Kimble Applications","SaaS","Cloud based application running natively on Force.com","2011","CRM, Opportunity Management, Forecasting, Resource Management, Recruiting, Delivery Management, Delivery Governance, Time Reporting, Expense Management, Project Billing, Operational Reporting,  KPI Dashboards, and Customer Service","Salesforce.com, other CRM, Outlook, Gmail, variety of Accounting Packages and custom interfaces via API"
"OpenAir","NetSuite","SaaS","Web-Based","2000","Project management, resource management, project portfolio management, project billing and accounting, timesheet management, expense management and reporting, and KPI dashboards.","salesforce.com, Netsuite, Oracle, Microsoft Dynamics GP and CRM, SAP, Peoplesoft, and JD Edwards"
"Projector","Projector PSA","SaaS","Cloud or Web-Based application with mobile web apps for iPhone, Android, BlackBerry or Windows Mobile","2003","Resource scheduling and management, project management, billing review, invoicing, time and expense entry, extensive analytical reporting and dashboards, and integration with accounting, HR, and payroll systems.","Salesforce.com, Microsoft Dynamics GP, Microsoft Project, QuickBooks, and custom integrations through web services API"
"Q360 Enterprise","Solutions360 Inc.","Concurrent or Named","MS/SQL Server On Premises or Hosted with Mobile Smart Device access","1999","Q360 Enterprise is Business Management Software for Technology Integration companies from 15M in sales and up who need robust Professional Services Automation (PSA) functionality with built in accounting. Within the fabric of Q360 is quoting, material management and procurement full Project Management, project accounting, deferred income automation, field service management, sales opportunity management, Forecasting and reporting capabilities that include ad hoc reports, dashboards, dynamic workflow and business intelligence. Major components include CRM, Quoting, Forecasting, Order Fulfillment, Inventory, Purchasing, Project Management, Resource Scheduling, Full Accounting (A/R, A/P, G/L), time and expense entry, Job Costing, Customer Self Serve Web Portal and Field Service Management and Human Resource Management..","Q360 Enterprise is a fully integrated system out of the box.  Integration can be provided for Vendor pricing and inventory, credit card gateways and various RMM Monitoring tools and other custom integrations through Web Service"
"PacketTrap","PacketTrap PSA","SaaS","Cloud or Web-Based application with mobile web apps for iPhone, Android, BlackBerry or Windows Mobile","2012","Resource scheduling and management, project management, billing review, invoicing, time and expense entry, extensive analytical reporting and dashboards, and integration with Quickbooks, and Google.","Quicken.com, QuickBooks, and custom integrations through web services API"
