imdbID;title;totalSeasons;imdbRating;imdbVotes;genre;director;writer;actors;language;country;year;metascore;poster;plot;
"tt0944053";"China from the Inside";"N/A";"7.9";"50";"Documentary";"N/A";"N/A";"Andrée Bernard";"English";"UK";"2007–";"N/A";"N/A";"N/A";
"tt0944054";"Diät Duell";"N/A";"N/A";"N/A";"Reality-TV";"N/A";"N/A";"N/A";"German";"Germany";"2005–";"N/A";"N/A";"N/A";
"tt0944055";"Dresdner Schnauzen";"N/A";"5.7";"6";"Documentary, Reality-TV";"N/A";"N/A";"Hendrik Collmar, Gerd Grätz, Michael Hoffmann, Michi Scheffert";"German";"Germany";"2007–";"N/A";"N/A";"N/A";
"tt0944056";"Der Ferienarzt";"3";"2.8";"16";"N/A";"N/A";"N/A";"Janina Flieger, Marek Erhardt";"German";"Germany";"2004–";"N/A";"N/A";"N/A";
"tt0944057";"Impact: Songs That Changed the World";"N/A";"N/A";"N/A";"Documentary, Music";"N/A";"N/A";"Chuck Berry, Elvis Presley, The Beatles, Aretha Franklin";"English";"Canada";"2007";"N/A";"N/A";"http://www.imdb.com/title/null/plotsummary?ref_=tt_ov_pl";
"tt0944058";"Jazz Session";"N/A";"N/A";"N/A";"Music";"N/A";"N/A";"Roy Crimmins, George Melly, Archie Semple, Ken Sykora";"N/A";"UK";"1957–";"N/A";"N/A";"N/A";
"tt0944059";"Karen in Action!";"N/A";"N/A";"N/A";"Documentary";"N/A";"N/A";"Karen Markwardt";"German";"Germany";"2003–";"N/A";"N/A";"N/A";
"tt0944060";"Per Anhalter durch Mitteldeutschland";"N/A";"N/A";"N/A";"Documentary";"N/A";"N/A";"Axel Bulthaupt";"German";"Germany";"2005–";"N/A";"N/A";"N/A";
"tt0944061";"Sea and Ships";"N/A";"N/A";"N/A";"Documentary";"N/A";"N/A";"Joe Beckett, Anthony Jacobs, A.J. Villiers";"N/A";"UK";"1957–";"N/A";"N/A";"N/A";
"tt0944062";"Sibiriens Schicksalsstrom - Der Jenissei";"1";"N/A";"N/A";"Documentary";"N/A";"N/A";"N/A";"N/A";"Germany";"2005–";"N/A";"N/A";"N/A";
"tt0944063";"Tapetenwechsel";"N/A";"N/A";"N/A";"Documentary";"N/A";"N/A";"Wolfgang Binder";"German";"Germany";"1998–";"N/A";"N/A";"N/A";
"tt0944064";"Wired Science";"1";"7.7";"38";"Documentary, Family";"N/A";"N/A";"Aomawa Baker, Kamala Lopez, Ziya Tong, Brian Unger";"N/A";"USA";"2007–";"N/A";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NDE0MzY1OV5BMl5BanBnXkFtZTgwMTY2MTA2MDE@._V1_SX300.jpg";"http://www.imdb.com/title/null/plotsummary?ref_=tt_ov_pl";
"tt0944108";"Hunajan maku";"1";"N/A";"N/A";"Drama";"N/A";"N/A";"Taneli Mäkelä, Erja Manto, Vesa Vierikko, Martti Suosalo";"Finnish";"Finland";"1993–";"N/A";"N/A";"N/A";
"tt0944172";"Spies, Lies and the Superbomb";"1";"8.4";"99";"Drama";"N/A";"N/A";"Joe Jones, Marco Hofschneider, Shannon Whirry, Slade Hall";"English";"UK";"2007";"N/A";"N/A";"http://www.imdb.com/title/null/plotsummary?ref_=tt_ov_pl";
"tt0944178";"Actors Notes";"N/A";"N/A";"N/A";"Documentary";"N/A";"N/A";"Jennifer Dale";"English";"Canada";"2004–";"N/A";"N/A";"N/A";
"tt0944179";"Che sarà sarà";"N/A";"N/A";"N/A";"Documentary";"N/A";"N/A";"N/A";"Italian";"Italy";"2005–";"N/A";"N/A";"N/A";
"tt0944180";"Geek-Ray Vision";"N/A";"N/A";"N/A";"News";"N/A";"N/A";"Stan Lee";"English";"USA";"2006–";"N/A";"N/A";"N/A";
"tt0944181";"Most Shocking";"8";"7.0";"150";"Documentary, Comedy";"N/A";"Malcolm Barbour, John Langley";"John Bunnell, Karen Custer, Johnny Agnew, Alex Dyer";"English";"USA";"2006–";"N/A";"N/A";"http://www.imdb.com/title/null/plotsummary?ref_=tt_ov_pl";
