"     – Indigenous manned missions","   ","     – Manned missions","","     – Lunar or Interplanetary missions","","     – Other missions"
"Date","Nation","Name","The firsts in Asia","World achievements"
"China","1981
(FB-1)
3 Sats","1990
CZ-2E
 science satellite","1984
Dong Fang Hong 02
(by CZ-3)","1975
FSW-0","2011
Tiangong 1","2000
Beidou","2008
Tianlian I","2011 
Yinghuo-1
 (Failure)","(planned)
Solar Space Telescope","2015 
Space Hard X-Ray Modulation Telescope"
"India","1999
(PSLV-CA C2)
3 Sats","1999
PSLV
 KitSat 3
 DLR-Tubsat","2001
GSAT
(by GSLV)","2007
SRE-1","planned","2013 
IRNSS","2002
Kalpana-1","2013 
 Mangalyaan
(orbiter)","2017/18 (planned)
Aditya","2015 (planned)
Astrosat"
"Japan","1986
(H-I H15F)
3 Sats","2002
H-IIA
 FedSat","1977
ETS-II
(by N-I)","1994
OREX","1997
ETS-VII","2010
QZSS","2002
Kodama","1998
Nozomi
(orbiter) (Failure)","1975
Taiyo","1979
Hakucho"
"","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Total"
"China","1","5","7","8","5","6","9","11","6","15","19","19","15","6","132"
"Japan","1","3","3","-","2","6","2","1","3","2","3","2","3","3","34"
"India","2","1","2","1","1","1","3","3","2","3","3","2","4","4","32"
"Iran","-","-","-","-","-","-","-","1","1","-","1","3","1","-","7"
"North Korea","-","-","-","-","-","-","-","-","1","-","-","2","-","-","3"
"Israel","-","1","-","1","-","-","1","-","-","1","-","-","-","1","5"
"South Korea","-","-","-","-","-","-","-","-","1","1","-","-","1","-","3"
"Total","4","10","12","10","8","13","15","16","14","22","26","28","23","10","/!\ This cell is not defined /!\"
