"Display technology","Screen shape","Largest known diagonal","Largest known diagonal","Typical use","Usable in bright room"
"Display technology","Screen shape","(in)","(cm)","Typical use","Usable in bright room"
"Eidophor front projection","Flat","(limited only by brightness)","(limited only by brightness)","TV","No"
"Shadow mask CRT","Spherical curve or Flat","42","107","Computer monitor, TV","Yes"
"Aperture grille CRT","Cylindrical curve or Flat","42","107","Computer monitor, TV","Yes"
"Monochrome CRT","Spherical curve or Flat","30","76","Computer monitor, TV, 
Radar display, Oscilloscope","Yes"
"Direct view Charactron CRT","Spherical curve","24","61","Computer monitor,
Radar display","No"
"CRT self-contained rear-projection","Flat lenticular","80","203","TV","Yes"
"CRT front projection","Flat","(limited only by brightness)","(limited only by brightness)","TV or presentation","No"
"Plasma display panel (PDP)","Flat","152","386","TV","Yes"
"Direct view LCD","Flat","108","274","Computer monitor, TV","Yes"
"LCD self-contained rear-projection","Flat lenticular","70","178","TV","Yes"
"LCD front-projection","Flat","(limited only by brightness)","(limited only by brightness)","TV or presentation","Yes"
"DLP self-contained rear-projection","Flat lenticular","120","305","TV","Yes"
"DLP front-projection","Flat","(limited only by brightness)","(limited only by brightness)","TV or presentation","Yes"
"LCoS self-contained rear-projection","Flat","110","279","TV","Yes"
"LCoS front-projection","Flat","(limited only by brightness)","(limited only by brightness)","TV or presentation","Yes"
"Laser self-contained Rear Projection","Flat lenticular","75","191","TV","Yes"
"LED","Flat","23 ft 3.92 in","711","Billboard, TV","Yes"
"SED","Flat","55","140","Computer monitor, TV","Yes"
"FED","Flat","?","?","Computer monitor, TV","Yes"
"EPD (e-paper)","Flat (flexible)","?","?","Electronic paper","Yes"
"OLED","Flat","55","140","Computer monitor, TV, Mobile phone","Yes"
"QDLED","N/A","N/A","N/A","N/A","Yes"
"IMOD","Flat","1.2","3","Mobile phone","Yes"
"Laser Phosphor Display (LPD)","Flat / Box","?","?","Computer monitor","Yes"
"Virtual retinal display","Any shape","N/A","N/A","Experimental, possibly
virtual reality","Depends
on system"
"Display technology","Screen shape","Largest known diagonal","Largest known diagonal","Typical use","Usable in
bright room"
"Display technology","Screen shape","(in)","(cm)","Typical use","Usable in
bright room"
