"Manager","Latest stable release","License / Price (USD)","Adware, Malware & Spyware","CLI","GUI","Web","Linux","Windows","Mac OS X"
"4K Video Downloader","3.0.2.1
(November 6, 2013; 10 months ago)","Proprietary / Freemium","No","No","Yes","No","Yes","Yes","Yes"
"BitComet","1.37 (December 31, 2013; 9 months ago) 
                                                               ","Proprietary / freeware","Adware from version 0.85 to 0.97;
Potentially sensitive information reported to BC Servers","Partial","Yes","Yes","No","Yes","No"
"Download Accelerator Manager","?","Freeware, $24.95 for Ultimate","No","?","?","?","?","Yes","?"
"Download Accelerator Plus","10.0.5.7
(November 27, 2013; 10 months ago)","Proprietary / Adware Free, $24.95 for Premium","Adware on free version","Yes","Yes","Yes","No","Yes","No"
"Download Express","1.9.341
(June 27, 2007; 7 years ago)","Proprietary / Freeware, $9.95 for advanced mode","None Known","Yes","Yes","No","No","Yes","No"
"DownloadStudio","7.0.5.0
(October 20, 2011; 2 years ago)","Shareware / $24.95","None Known","Yes","Yes","Yes","No","Yes","No"
"DownThemAll!","2.0.17 (April 30, 2014; 5 months ago)","GPL /","None Known","No","Yes","No","Requires Firefox","Requires Firefox","Requires Firefox"
"EagleGet","1.1.7.9
(February 18, 2014; 7 months ago)","Freeware","?","?","?","?","No","Yes","No"
"FlashGet","3.7.0.1195
(January 10, 2012; 2 years ago)","Proprietary / Freeware","Cydoor Pop-up ads,
banners","No","Yes","Yes","No","Yes","No"
"Folx","3.0.870
(October 9, 2013; 11 months ago)","Shareware / $19.95","No","Yes","Yes","Yes","No","No","Yes"
"Free Download Manager","","GPL /","Software Informer (optional install)","No","Yes","No","No","Yes","No"
"Freemake Video Downloader","3.0.0.20
(February 17, 2012; 2 years ago)","Proprietary / Freeware","None Known","No","Yes","No","No","Yes","No"
"Free Studio","6.3.1.514
(May 16, 2014; 4 months ago)","Proprietary / Freeware","Adware Mobogenie (optional install)","No","Yes","No","No","Yes","No"
"FreshDownload","?","freeware, name and e-mail required","?","?","?","?","?","?","?"
"GetRight","6.5 (January 24, 2011; 3 years ago)","Proprietary / $49.95 for Pro","No","Yes","Yes","Yes","No","Yes","No"
"Go!Zilla","5.03
(February 1, 2008; 6 years ago)","Proprietary / $19.95","None as of Version 5;
Aureate adware prior to that","No","Yes","Yes","No","Yes","Yes"
"Internet Download Accelerator","5.14.2.1329
(December 27, 2012; 21 months ago)","Proprietary / Freeware, $9.95 single/$24.95 family pack for Pro","Adware on free version","No","Yes","No","No","Yes","No"
"Internet Download Manager","6.21 Build 7
(August 30, 2014; 41 days ago)","Proprietary / $29.95","None Known","Yes","Yes","No","No","Yes","No"
"JDownloader","0.9.581
(19 January 2011; 3 years ago)","GPL /","Adware Mobogenie (optional install);
Adware browser hijacker Mysearchdial (Mandatory)","No","Yes","Yes","Yes","Yes","Yes"
"Jigdo","0.7.3-3
(8 May 2006; 8 years ago)","GPLv2 /","No","Yes","No","No","Yes","Yes","Yes"
"KGet","4.14.1 (September 16, 2014; 24 days ago)","GPL /","None Known","Yes","Yes","No","Yes","Part of KDE for Windows","Part of KDE for Mac"
"MiniDM","2.5.1
(June 2, 2010; 4 years ago)","Proprietary / Freeware","None Known","No","Yes","No","No","Yes","No"
"MLDonkey","3.1.5 (March 22, 2014; 6 months ago)","GPL /","None Known","Yes","Yes","Yes","Yes","Yes","No"
"Shareaza","2.7.7.0 (September 14, 2014; 26 days ago)","GPL /","Original Client:
None Known","Yes","Yes","Yes","No","Yes","No"
"uGet",":Template:Latest stable software release/UGet","LGPL /","None","Yes","Yes","No","Yes","Yes","No"
"Manager","Latest stable release","License / Price (USD)","Adware, Malware & Spyware","CLI","GUI","Web","Linux","Windows","Mac OS X"
"Manager","HTTP","HTTPS","FTP","SFTP","MMS","RTSP","Metalink","Magnet link","Podcast","RTMP","BitTorrent","eDonkey"
"4K Video Downloader","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"BitComet","Yes","?","Yes","?","?","?","?","?","?","?","Yes","?"
"Download Accelerator Manager","Yes","Yes","Yes","?","?","?","?","?","?","?","No","?"
"Download Accelerator Plus","?","?","?","?","?","?","?","?","?","?","?","?"
"Download Express","?","?","?","?","?","?","?","?","?","?","?","?"
"DownloadStudio","?","?","?","?","?","?","?","?","?","?","?","?"
"DownThemAll!","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No"
"EagleGet","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No"
"FlashGet","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Folx","?","?","?","?","?","?","?","?","?","?","?","?"
"Free Download Manager","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No"
"Freemake Video Downloader","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Free Studio","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"FreshDownload","Yes","?","Yes","?","?","?","?","?","?","?","No","?"
"GetRight","Yes","Yes","Yes","No","No","No","Yes","?","Yes","No","Yes","No"
"Go!Zilla","?","?","?","?","?","?","?","?","?","?","?","?"
"Internet Download Accelerator","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No"
"Internet Download Manager","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No"
"JDownloader","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No"
"Jigdo","Yes","?","Yes","?","No","No","No","No","No","No","No","No"
"KGet","Yes","Yes","Yes","Yes","Yes","No","Yes","?","No","No","Yes","No"
"MiniDM","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No"
"MLDonkey","Yes","?","Yes","?","No","No","No","?","No","No","Yes","Yes"
"Net Transport","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Orbit Downloader","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No"
"Shareaza","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes"
"uGet","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","No"
"wxDownload Fast","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No"
"Manager","HTTP","HTTPS","FTP","SFTP","MMS","RTSP","Metalink","Magnet link","Podcast","RTMP","BitTorrent","eDonkey"
"Manager","Web browser integration","Resuming","Download acceleration","URL per file","Mirror search","Auto dial/hangup","Categorized downloads","Cookies import","Speed limit","File browser","ZIP preview","Add-on support","Scheduler","Checksum verification","Remote Access/Control","Modified Time-stamp preserved"
"4K Video Downloader","No","Yes","Yes","?","No","No","No","No","No","Yes","No","No","No","No","No","?"
"BitComet","Yes","Yes","Yes","?","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes"
"Download Accelerator Manager","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Download Accelerator Plus","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Download Express","Yes","Yes","Yes","1","No","Advanced mode","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?","?"
"DownloadStudio","Yes","Yes","Yes","1","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","?"
"DownThemAll!","Requires Firefox","Yes","Yes","10","Beta","No","Yes","No","Beta","No","No","No","No","Yes","No","Yes"
"EagleGet","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","No","No","?","Yes","?","No","?"
"FlashGet","Yes","Yes","Yes","1","Yes","Yes","Yes","Yes","All downloads","Yes","No","Yes","N/A","No","No","?"
"Folx","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Free Download Manager","Yes","Yes","Yes","?","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Freemake Video Downloader","for Firefox and Chrome","Yes","Yes","?","No","No","No","No","No","No","No","No","No","No","No","?"
"Free Studio","Yes","Yes","Yes","unlimited","No","No","No","No","No","No","No","No","No","No","No","?"
"FreshDownload","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GetRight","Yes","Yes","10 streams, needs mirrors for >4 streams","unlimited","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Scripting","Yes","Yes","Yes","Yes"
"Go!Zilla","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Internet Download Accelerator","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Internet Download Manager","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","No","Yes"
"JDownloader","Yes","Yes","Yes","1","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","?"
"Jigdo","No","Yes","?","unlimited","?","No","No","No","No","No","No","?","No","Yes","No","?"
"KGet","Konqueror, Fx (via Flashgot plugin)","Yes","Yes","unlimited","Yes","Yes","Yes","Yes","BitTorrent Only","Yes","No","Yes","?","Yes","Yes","?"
"MiniDM","Yes","Yes","Yes","unlimited","No","No","No","No","No","Yes","No","Yes","?","Yes","Yes","?"
"MLDonkey","Partial","Yes","No","unlimited","No","No","Yes","No","Yes","No","No","Yes","?","Yes","Yes","?"
"Net Transport","Yes","Yes","Yes","10","?","?","Yes","?","All downloads","?","?","?","?","Yes","No","?"
"Orbit Downloader","Yes","Yes","Yes","60","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?"
"Shareaza","IE; Fx and similar: ext. plugin","Yes","Yes","unlimited","Yes","via Scheduler","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"uGet","Firefox (via FlashGot); Chrome & Opera in development","Yes","Yes","unlimited","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?","No","?"
"wxDownload Fast","Firefox Only","Yes","Yes","1-9","No","Yes","No","No","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"Manager","Web browser integration","Resuming","Download acceleration","URL per file","Mirror search","Auto dial/hangup","Categorized downloads","Cookies import","Speed limit","File browser","ZIP preview","Add-on support","Scheduler","Checksum verification","Remote Access/Control","Modified Time-stamp preserved"
