"","Design Authority","Software license"
"AutoCAD DXF","",""
"Cartesian coordinate system","",""
"Geography Markup Language GML","Open Geospatial Consortium","?"
"GeoMedia","",""
"MapInfo TAB format","",""
"National Transfer Format","",""
"Shapefile","ESRI",""
"TIGER","",""
"Vector Product Format (VPF)","",""
"","",""
"","Point","Multipoint","Line","Polyline","MultiPolyline","Polygon","Multipolygon"
"Personal Geodatabase","Yes","No","Yes","No","No","Yes","No"
"Shapefile","Yes","Yes","?","Yes","Yes","Yes","No"
