"Afrikaans","Dutch","English"
"Verstaan jy my?","Versta jij mij? / Begrijp je me?","Do you understand me?"
"Ek verstaan dit","Ik versta dit / Ik begrijp het","I understand it"
"Wat is jou naam?","Wat is jouw naam?","What is your name?"
"Wat maak jy?","Wat ben je aan het doen?
Compare Dutch Wat maak jij? (What are you making?)","What are you doing?"
"Ek is lief vir jou","Ik hou van jou 
Compare Dutch Ik ben lief voor jou (I am sweet to you)","I love you"
"Ek het jou lief","Ik heb jou lief / Ik hou van jou","I love you"
"Is jy honger?","Heb je honger? / Heb jij honger?","Are you hungry?"
"Dié boek is vir jou","Dit boek is voor jou","This book is for you"
"Ek het al geëet","Ik heb al gegeten","I have already eaten"
"Stem jy saam?","Ben je het daarmee eens?
Stem jij daarmee in?","Do you agree?"
"Stem jy [daartoe] in?","Stem jij daarmee in? / Ga je daarmee akkoord?","Do you agree [to it]?"
"Oop vanaand","Open vanavond","Open tonight"
"Hulle woon hier","Ze wonen hier","They live here"
"Kan ons die middestad besoek?","Kunnen we de binnenstad bezoeken?","Can we visit the city centre?"
"piesang","banaan
Compare Dutch: ik ben de pisang (I am screwed)","banana"
"hoender","kip
Less common: hoen","chicken"
"spinnekop","spin / spinnekop
Compare Dutch: spinnekop (type of windmill)","spider"
"padda","kikker
Compare Dutch pad (toad)","frog"
"baadjie 
jas","jasje, vest","jacket"
"Ek is halfpad daar","Ik ben halverwege","I am halfway there"
"Hierdie vrug smaak sleg","Die vrucht hier smaakt slecht","This fruit tastes bad"
"Het jy dit gesê?","Heb jij dit gezegd?","Did you say that?"
"Hy het op die lughawe aangekom","Hij is op de luchthaven aangekomen","He has arrived at the airport"
"As dit reën, sal dié sambreel jou beskerm","Als het regent, zal deze paraplu je beschermen","If it rains, this umbrella will protect you"
"'n Lemoen is 'n oranjekleurige vrug","Een sinaasappel is een oranjekleurige vrucht","An orange is an orange-coloured fruit"
"'n Lemmetjie is 'n klein groen sitrusvrug","Een limoen is een kleine groene citrusvrucht","A lime is a small green citrus fruit"
"Ons hou daarvan om te braai","Wij houden ervan om te barbecueën","We love to barbecue"
"Ek kan dit nie glo nie","Ik kan dit niet geloven","I cannot believe it"
"Afrikaans","Dutch","English translation (literal)"
"Uit die blou van onse hemel,","Uit het blauw van onze hemel","From the blue of our sky"
"Uit die diepte van ons see,","Uit de diepte van onze zee,","From the depths of our sea,"
"Oor ons ewige gebergtes","Over onze eeuwige gebergtes,","Over our eternal mountains"
"Waar die kranse antwoord gee.","Waar de rotsen antwoord geven.","Where the cliffs give answer"
"Deur ons vêr verlate vlaktes","Door onze ver verlaten vlaktes","Through our far-deserted plains"
"Met die kreun van ossewa.","Met het gekreun van ossenwagens","With the groan of ox-wagon"
"Ruis die stem van ons geliefde,","Ruist de stem van ons geliefde,","Rouses the voice of our beloved,"
"Van ons land Suid-Afrika.","Van ons land Zuid-Afrika.","Of our country South Africa"
"Ons sal antwoord op jou roepstem,","We zullen antwoorden op je roepen","We will answer to your calling,"
"Ons sal offer wat jy vra:","We zullen offeren wat jij vraagt","We will sacrifice what you ask"
"Ons sal lewe, ons sal sterwe,","We zullen leven, we zullen sterven","We will live, we will die"
"Ons vir jou, Suid-Afrika.","Wij voor jou, Zuid-Afrika.","We for Thee, South Africa."
