"","HTML5 standard","HTML web browser features","Adobe Flash features"
"Date started","Work began in 2003 
 Working Draft as of 2011","N/A","Work began in 1996 
 Version 1 released in 1997"
"Desktop operating systems","N/A","Microsoft Windows, Apple Mac OS X, Linux","Microsoft Windows, Apple Mac OS X, 
 Linux (PPAPI-only after 11.2), Solaris"
"Mobile operating systems","N/A","Windows Phone 8+, Android 2.3+, Apple iOS 6+, Symbian Belle+, BlackBerry OS 7+","Up to Android 4.0 (unofficially for Android 4.1), Windows RT"
"Video game console","PlayStation Vita","Xbox 360, Sony PlayStation 3, Nintendo Wii","Sony PlayStation 3 (Flash 9 only), Nintendo Wii (Flash Lite only)"
"Device support","N/A","Limited access to web camera, microphone, accelerometer, GPS","Full access to web camera, microphone, accelerometer, GPS"
"Market penetration","N/A","~96% of internet connected PCs are CSS 2/3 ACID compliant,
 ~99% support JavaScript 1.5 or above, ~84% of devices support basic SVG","~95% of internet connected PCs
(~83% have Flash Player 11, ~17% have 10 and below)"
"Vector graphics formats","N/A","Scalable Vector Graphics (SVG) supported on ~84% of browsers","SWF with embedded graphics"
"Bitmap effects","Yes","Varying support of Filters in CSS3 (eg. Glow, Blur, Drop Shadow, Sepia)","Yes, applied to text or graphics (eg. Glow, Drop Shadow, Bevel)"
"Vector text display","Yes","Yes","Yes, with Saffron Type System"
"Font support","N/A","Installed fonts and custom fonts using CSS 3 web fonts","Installed fonts and embedded fonts"
"Text anti-aliasing","N/A","Yes, implemented in most browsers, for system and custom fonts","/!\ This cell is not defined /!\"
