"Name","Creator","Genre","Client sale method","Client purchase price","Monthly fee required","Monthly subscription available","Release date(s)","Last update"
"Age of Conan","Funcom","Sword & Sorcery","Download","Free","No","Subscriptions available","May 20, 2008","January 18, 2011 (18.1.11)"
"Aion: The Tower of Eternity","NCSoft","Fantasy","Retail sale or Download","Free","No","No","September 22, 2009","June 18, 2014 (4.5.0.18)"
"Anarchy Online","Funcom","Science fiction","Download","Free","No","€17.19/month full access","June 7, 2001","July 19, 2012 (18.5.1)"
"Asheron's Call","Turbine","Fantasy","Download","US$9.99","Yes","US$12.95/month","October 31, 1999","July 13, 2010"
"Champions Online","Cryptic Studios","Superhero comic book genre","Retail sale or Download","Free as of January 2011
(Originally $49.99)","No
(Originally required.)","Gold Subscriptions available
Adds additional archetypes and character creation options.","September 1, 2009 
September 10, 2009","February 20, 2014"
"City of Heroes","NCSoft / Paragon Studios","Superhero comic book","Shut Down 11/30/2012","","","","April 28, 2004","April 15, 2011 (Last update before closing)"
"Darkfall","Aventurine SA","Fantasy","Retail sale or Download","€29.95","Yes","€11.77","February 26, 2009","Unknown"
"DarkSpace","PaleStar","Science fiction","Download","Free","No","No","2001","April 3, 2011 (1.660)"
"Dark Age of Camelot","Mythic Entertainment","Fantasy","Download","Free","Yes","US$14.95/month","October 10, 2001","August 28, 2014 (1.115c)"
"Dofus","Ankama Studio","Fantasy","Download","Free","No","US$7/month full access","August 23, 2004 
September 1, 2005","August 10, 2010 (2.0)"
"Dragonica","Barunson Interactive","Manga Fantasy Action","Download","Free","No","No","June 10, 2009","March 29, 2011 (Verdourus Forest 0.914.93)"
"Dragon Oath","Changyou.com","Fantasy","Download","Free","No","No","2007","2010"
"Dungeons & Dragons Online: Eberron Unlimited","Turbine","Fantasy","Download","Free","No","US$14.95 per month.","February 28, 2006","December 11, 2013 (Update 20.1)"
"Elder Scrolls Online","ZeniMax Online Studios","Medieval Fantasy","Download","$14.99 per month","Yes","$14.99 per month","April 4, 2014","May 2, 2013"
"Eternal Lands","Eternal Lands","Medieval Fantasy","Download","Free","No","No","February 13, 2003","February 14, 2012 1.9.3"
"EVE Online","CCP Games","Science Fiction, Space simulation","Download","Free - US$19.99","Yes","US$14.95 / Can be paid with ingame currency","May 6, 2003 
May 23, 2003","November 3, 2014 (Phoebe)"
"EverQuest","Verant Interactive","Fantasy","Download","Free","No","US$14.99/month","March 16, 1999","July 28, 2010"
"EverQuest II","Sony Online Entertainment","Fantasy","Retail sale or Download","Free","No","US$14.99","November 8, 2004","August 4, 2010"
"Final Fantasy XI","Square Enix","Fantasy","Retail sale","US$9.99 (PC)
US$14.99 (Xbox 360)
€19.99 (PC/Xbox 360)","Yes","US$12.95 + $1.00 per extra character
€12.95 + €1 per extra character","May 16, 2002","April 29, 2013"
"Game of Thrones Ascent","Disruptor Beam","Fantasy","Download","Free","No","No","February 10, 2013","November 1, 2014"
"Grand Fantasia","X-Legend Entertainment Corp.","Fantasy Anime/Steam-punk","Download","Free","No","No","November 6, 2009
February 26, 2010","December 13, 2010"
"Guild Wars","ArenaNet","Fantasy","Retail sale or Download","US$39.99 (includes Factions and Nightfall campaigns)
€34.99 (includes Factions and Nightfall campaigns)","No","No","April 28, 2005","August 25, 2011"
"Guild Wars 2","ArenaNet","Fantasy","Retail sale or Download","US$59.99 Digital Editions, US$79.99 Digital Deluxe Edition","No","No","August 28, 2012","November 26, 2013"
"Hero Online","Netgame","History","Download","Free","No","No","2006","Unknown"
"Knight Online","MGame Corporation and Noah System","Fantasy","Download","Free","No","No","December 6, 2004","August 5, 2010 (1840)"
"Lineage","NCsoft","Fantasy","Download","US$9.99","Yes","US$15/month","September 3, 1998","August 11, 2010 (Season 3, Episode 1)"
"Lineage II","NCsoft","Fantasy","Download","Free","No","Non-free","October 1, 2003 
April 27, 2004","July 25, 2012"
"The Lord of the Rings Online: Rise of Isengard","Turbine","Fantasy","Retail sale or download","Free","No","US$14.95/month","April 24, 2007","October 4, 2011"
"MapleStory","Wizet","Fantasy","Download","Free","No","No","May 2002 
November 2003 
December 2004 
July 4, 2005 
May 11, 2005 (Global)
June 23, 2005 (SEA)","July 19, 2010 (0.88) 
July 15, 2010 (0.63)"
"Minions of Mirth","Prairie Games","Fantasy","Download","Free - US$29.95","No","No","December 2005","Unknown"
"Omerta (video game)","Omerta Game Limited","Fantasy","Retail sale or Download","Free","No","No","September 2003","February 2013 ( Version 4.0 )"
"Perfect World","Beijing Perfect World","Fantasy","Retail sale or Download","Free","No","No","July 2005 
December 2006 
March 2007 
TBA 2007","March 2, 2011 (Patch version 484)"
"Pirates of the Burning Sea","Flying Lab Software","Fantasy","Retail sale or download","US$19.99 (free download)","Yes","US$12-month subscription: US$143($12/month) or 1-month subscription: US$14.99 
Part of Station Access","January 22, 2008","June 23, 2009, V. 1.15.52"
"Ragnarok Online","GRAVITY Co., Ltd.","Fantasy, Steampunk","Download","Free","No","US$10/month","August 31, 2002","December 4, 2009 (Episode 13.2)"
"Regnum Online","NGD Studios","Medieval fantasy","Download","Free","No","Lowest Ximerin (points) possible 5 USD; highest ximerin possible 60 USD","April 24, 2007","April 29, 2010"
"World of Warcraft","7,600,000","Avg. 34,000 as of 2013-5-12","246 as of 2013-5-12","?","Yes"
"","No. of players","No. of players per server / shards / worlds","No. of servers / shards / worlds","Common peak of players","Contains Instances"
"","Game engine type","Source code available?","Fully customizable user interface","Windowable","Custom UI Mods / Addons"
"Aion: The Tower of Eternity","3D","No","Partial","Yes","No"
"Anarchy Online","3D","No","Yes","Yes","/!\ This cell is not defined /!\"
"Asheron's Call","3D","No","?","Yes","/!\ This cell is not defined /!\"
"City of Heroes","3D","No","Partial","Yes","/!\ This cell is not defined /!\"
"DarkSpace","3D","Yes","No","Yes","/!\ This cell is not defined /!\"
"Dark Age of Camelot","3D","No","Yes","Yes","/!\ This cell is not defined /!\"
"Dofus","2D","No","Yes","Yes","/!\ This cell is not defined /!\"
"Dragon Oath","3D","No","Partial","Yes","/!\ This cell is not defined /!\"
"Dungeons & Dragons Online: Stormreach","3D","No","No","Yes","/!\ This cell is not defined /!\"
"EVE Online","3D","No","Adjustable/movable windows and Colors, no custom additions","Yes","No"
"EverQuest","3D","No","Yes","Yes","/!\ This cell is not defined /!\"
"EverQuest II","3D","No","Yes","Yes","/!\ This cell is not defined /!\"
"Final Fantasy XI","3D","No","No","Yes","/!\ This cell is not defined /!\"
"Guild Wars","3D","No","Adjustable/movable windows, no custom additions","Yes","/!\ This cell is not defined /!\"
"Guild Wars 2","3D","No","?","Yes","?"
"Knight Online","3D","No","Partial","Yes","/!\ This cell is not defined /!\"
"Lineage II","3D","No","Adjustable/movable windows","Yes","/!\ This cell is not defined /!\"
"The Lord of the Rings Online: Shadows of Angmar","3D","No","Partial","Yes","Yes"
"MapleStory","2D","No","No","Yes","/!\ This cell is not defined /!\"
"Perfect World","3D","No","Yes","Yes","/!\ This cell is not defined /!\"
"Pirates of the Burning Sea","3D","No","Yes","Yes","/!\ This cell is not defined /!\"
"Ragnarok Online","2D, 3D","No","Partial","Yes","/!\ This cell is not defined /!\"
"Rift (video game)","3D","No","Yes","Yes","Yes"
"Rise: The Vieneo Province","3D","No","Adjustable/movable windows","Yes","/!\ This cell is not defined /!\"
"RuneScape","3D","No","Yes","Yes","/!\ This cell is not defined /!\"
"Ryzom","3D","Yes","Partial","Yes","/!\ This cell is not defined /!\"
"Star Trek Online","3D","No","Yes","Yes","/!\ This cell is not defined /!\"
"Star Wars Galaxies","3D","No","No","Yes","/!\ This cell is not defined /!\"
"Star Wars The Old Republic","3D","No","Yes (update 1.2)","Yes","No"
"Tabula Rasa","3D","No","No","Yes","/!\ This cell is not defined /!\"
"Tibia","2D","No","Partial","Yes","/!\ This cell is not defined /!\"
"Ultima Online","2D, 3D","Some","Yes","Yes","/!\ This cell is not defined /!\"
"Vendetta Online","3D","No","Partial","Yes","Yes"
"WonderKing Online","2D","No","No","Yes","/!\ This cell is not defined /!\"
"World of Warcraft","3D","No","Yes","Yes","Yes"
"","Platform","CPU","RAM","Video card","HDD space","Software","Connection"
"Aion: The Tower of Eternity","Windows XP/Vista/7","Intel Pentium 4 2.4 GHz, AMD 2800","1 GB","GeForce 6600 / Radeon X1550","30 GB","DirectX 9.0c","Broadband"
"Asheron's Call","Windows 98","733 MHz","256 MB","32 MB","3 GB","DirectX 9.0c","56k"
"Dofus","Windows, Mac OS X, Linux","Intel Pentium III 700 MHz (or Mac equivalent)","128 MB","32 MB","100 MB","Lecteur Flash 7.0","56k"
"DarkSpace","Windows XP,","1 GHz","750 MB","32 MB with Hardware Transform and Lighting","150 MB","DirectX 9.0c","56k"
"DarkSpace","Windows Vista/7","1 GHz","1 GB","32 MB with Hardware Transform and Lighting","150 MB","DirectX 9.0c","56k"
"EVE Online","Windows XP","1 GHz","1 GB","64 MB with Shader Model 2.0","6 GB","DirectX 9.0c","56k"
"EVE Online","Windows Vista","1 GHz","1.5 GB","64 MB with Shader Model 2.0","6 GB","DirectX 9.0c","56k"
"EVE Online","Mac OS X","Intel at 1.8 GHz","1 GB","128 MB ATI Radeon X1600, NVIDIA GeForce 7300 GT","6 GB","Mac OS X 10.5.6","56k"
"Final Fantasy XI","PlayStation 2","N/A","N/A","N/A","7 GB","N/A","56k"
"Final Fantasy XI","Windows 2000","Intel Pentium III 800 MHz","128MB","32MB","6 GB","DirectX 8.1","56k"
"Final Fantasy XI","Xbox 360","N/A","N/A","N/A","8 GB","Xbox Live","Cable/DSL"
"Guild Wars","Windows 98","Intel Pentium III 1 GHz","512 MB","64 MB","3 GB","DirectX 9.0c","56k"
"The Lord of the Rings Online:
Shadows of Angmar","Windows XP","Intel Pentium 4 1.8 GHz or equivalent","512 MB","64 MB NVIDIA GeForce 3 or ATI Radeon 8500","7 GB","DirectX 9.0c","56k"
"MapleStory","Windows 98","Intel Pentium III 1 GHz","64 MB","3D acceleration card","1.0 GB","DirectX 8.1","56k"
"Perfect World","Windows 98","Intel Pentium III 800 MHz","256 MB","64 MB","3 GB","DirectX 9.0c","56k"
"Pirates of the Burning Sea","Windows XP","Pentium(r) IV 1.48 GHz or greater","1024 MB RAM","128 MB","6 GB","DirectX 9","Broadband"
"Ragnarok Online","Windows 98","Intel Pentium II 500 MHz or equivalent","128 MB","8 MB","1.67 GB","DirectX 8.0","56k"
"Rise: The Vieneo Province","Windows 2000 SP2","Intel Pentium III 800 MHz or AMD Athlon 800 MHz","512 MB","128 MB","3 GB","DirectX 9.0c","56k"
"RuneScape","Java Platform","1.5 GHz","256 MB","32 MB","600 MB ( approximately )","Java Platform","56k"
"Ryzom","Windows 98 SE or newer; Linux; Mac OS X","Intel Pentium III 1 GHz","512 MB","64 MB NVIDIA GeForce 2 or equivalent","7 GB","DirectX 8.0","56k"
"Second Life","Windows 2000 or Linux","800 MHz","256 MB","NVIDIA GeForce 6600 or better, ATI Radeon 8500, 9250 or better","75 MB + cache","OpenGL 2.0","Cable/DSL"
"Second Life","Mac OS X 10.3.9","1 GHz","512 MB","?","75 MB + cache","OpenGL 2.0","Cable/DSL"
"Star Wars Galaxies","Windows 98","Intel Pentium III 1 GHz","512 MB","32 MB with Hardware Transform and Lighting","2.14 GB","DirectX 9.0b","56k"
"Star Wars: The Old Republic","Windows XP Vista and 7","Intel Intel Core 2 Duo 2.0 GHz, AMD Athlon 64 X2 Dual-Core 4000+ or better","Windows XP: 1.5GB RAM Windows Vista and Windows 7: 2GB RAM","256 MB minimum video RAM, shader model 3.0","20 GB ( approximately )","DirectX 9.0b","Cable/DSL"
"Toontown Online","Windows 2000 or Mac OS X","?","256 MB","32 MB","2 GB","DirectX 9.0","56k"
"Ultima Online","Windows","Intel Pentium 200 MHz","32 MB","4 MB","383 MB","","28k"
"Vendetta Online","Windows, Mac OS X, Linux, Android","Intel Pentium 1 GHz or G3/G4","256 MB (Mac 384 Mb)","32 MB","200 MB","DirectX or openGL","56k"
"WonderKing Online","Windows 98/2000/XP/Vista","Intel Pentium III 800 MHz","256 MB","64 MB","2 GB","DirectX 9.0","56k"
"World of Warcraft","Mac OS X 10.3.9","933 MHz G4","512 MB","32 MB","6 GB","OpenGL","56k"
"World of Warcraft","Windows XP","Intel Pentium 4 1.3 GHz or AMD Athlon XP 1500+","1 GB or more","NVIDIA® GeForce® FX or ATI Radeon™ 9500 video card or better","25+GB","DirectX 9.0c","Broadband Internet connection"
"","PVE Group Instances","PVE Raid Instances","Open-world PVE Raid Content","PVP Group Instances","PVP Raid Instances","Open-world PVP Raid Content","Item appearance customization","Auction House / Broker","Jumping","Swimming","Mounts","Guild Housing"
"Aion: The Tower of Eternity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No (In development)"
"Anarchy Online","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Asheron's Call","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"City of Heroes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Dark Age of Camelot","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DarkSpace","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Dofus","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes"
"Dragon Oath","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Dungeons & Dragons Online: Stormreach","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes"
"EVE Online","No","No","Yes","No","No","Yes","N/A","Yes","N/A","N/A","N/A","No 
(In development)"
"EverQuest","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"EverQuest II","Yes","Yes","Yes","Yes","No","Partial","No 
(In development)","Yes","Yes","Yes","Yes","Yes"
"Final Fantasy XI","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Guild Wars","Yes","Partial","No","Yes","No","No","Yes","No","No","No","No","Yes"
"Guild Wars 2","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"Knight Online","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"The Lord of the Rings Online: Shadows of Angmar","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Lineage II","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"MapleStory","Yes","Yes","Yes","Yes","No","No","Yes","Partial","Yes","No","Yes","No"
"Perfect World","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
