"Name","Creator","Genre","Client sale method","Client purchase price","Monthly fee required","Monthly subscription available","Release date(s)","Last update"
"Age of Conan","Funcom","Sword & Sorcery","Download","Free","No","Subscriptions available","May 20, 2008","January 18, 2011 (18.1.11)"
"Aion: The Tower of Eternity","NCSoft","Fantasy","Retail sale or Download","Free","No","No","September 22, 2009","June 18, 2014 (4.5.0.18)"
"Anarchy Online","Funcom","Science fiction","Download","Free","No","€17.19/month full access","June 7, 2001","July 19, 2012 (18.5.1)"
"Asheron's Call","Turbine","Fantasy","Download","US$9.99","Yes","US$12.95/month","October 31, 1999","July 13, 2010"
"Champions Online","Cryptic Studios","Superhero comic book genre","Retail sale or Download","Free as of January 2011
(Originally $49.99)","No
(Originally required.)","Gold Subscriptions available
Adds additional archetypes and character creation options.","September 1, 2009 
September 10, 2009","February 20, 2014"
"City of Heroes","NCSoft / Paragon Studios","Superhero comic book","Shut Down 11/30/2012","","","","April 28, 2004","April 15, 2011 (Last update before closing)"
"Darkfall","Aventurine SA","Fantasy","Retail sale or Download","€29.95","Yes","€11.77","February 26, 2009","Unknown"
"DarkSpace","PaleStar","Science fiction","Download","Free","No","No","2001","April 3, 2011 (1.660)"
"Dark Age of Camelot","Mythic Entertainment","Fantasy","Download","Free","Yes","US$14.95/month","October 10, 2001","August 28, 2014 (1.115c)"
"Dofus","Ankama Studio","Fantasy","Download","Free","No","US$7/month full access","August 23, 2004 
September 1, 2005","August 10, 2010 (2.0)"
"Dragonica","Barunson Interactive","Manga Fantasy Action","Download","Free","No","No","June 10, 2009","March 29, 2011 (Verdourus Forest 0.914.93)"
"Dragon Oath","Changyou.com","Fantasy","Download","Free","No","No","2007","2010"
"Dungeons & Dragons Online: Eberron Unlimited","Turbine","Fantasy","Download","Free","No","US$14.95 per month.","February 28, 2006","December 11, 2013 (Update 20.1)"
"Elder Scrolls Online","ZeniMax Online Studios","Medieval Fantasy","Download","$14.99 per month","Yes","$14.99 per month","April 4, 2014","May 2, 2013"
"Eternal Lands","Eternal Lands","Medieval Fantasy","Download","Free","No","No","February 13, 2003","February 14, 2012 1.9.3"
"EVE Online","CCP Games","Science Fiction, Space simulation","Download","Free - US$19.99","Yes","US$14.95 / Can be paid with ingame currency","May 6, 2003 
May 23, 2003","November 3, 2014 (Phoebe)"
"EverQuest","Verant Interactive","Fantasy","Download","Free","No","US$14.99/month","March 16, 1999","July 28, 2010"
"EverQuest II","Sony Online Entertainment","Fantasy","Retail sale or Download","Free","No","US$14.99","November 8, 2004","August 4, 2010"
"Final Fantasy XI","Square Enix","Fantasy","Retail sale","US$9.99 (PC)
US$14.99 (Xbox 360)
€19.99 (PC/Xbox 360)","Yes","US$12.95 + $1.00 per extra character
€12.95 + €1 per extra character","May 16, 2002","April 29, 2013"
"Game of Thrones Ascent","Disruptor Beam","Fantasy","Download","Free","No","No","February 10, 2013","November 1, 2014"
"Grand Fantasia","X-Legend Entertainment Corp.","Fantasy Anime/Steam-punk","Download","Free","No","No","November 6, 2009
February 26, 2010","December 13, 2010"
"Guild Wars","ArenaNet","Fantasy","Retail sale or Download","US$39.99 (includes Factions and Nightfall campaigns)
€34.99 (includes Factions and Nightfall campaigns)","No","No","April 28, 2005","August 25, 2011"
"Guild Wars 2","ArenaNet","Fantasy","Retail sale or Download","US$59.99 Digital Editions, US$79.99 Digital Deluxe Edition","No","No","August 28, 2012","November 26, 2013"
"Hero Online","Netgame","History","Download","Free","No","No","2006","Unknown"
"Knight Online","MGame Corporation and Noah System","Fantasy","Download","Free","No","No","December 6, 2004","August 5, 2010 (1840)"
"Lineage","NCsoft","Fantasy","Download","US$9.99","Yes","US$15/month","September 3, 1998","August 11, 2010 (Season 3, Episode 1)"
"Lineage II","NCsoft","Fantasy","Download","Free","No","Non-free","October 1, 2003 
April 27, 2004","July 25, 2012"
"The Lord of the Rings Online: Rise of Isengard","Turbine","Fantasy","Retail sale or download","Free","No","US$14.95/month","April 24, 2007","October 4, 2011"
"MapleStory","Wizet","Fantasy","Download","Free","No","No","May 2002 
November 2003 
December 2004 
July 4, 2005 
May 11, 2005 (Global)
June 23, 2005 (SEA)","July 19, 2010 (0.88) 
July 15, 2010 (0.63)"
"Minions of Mirth","Prairie Games","Fantasy","Download","Free - US$29.95","No","No","December 2005","Unknown"
"Omerta (video game)","Omerta Game Limited","Fantasy","Retail sale or Download","Free","No","No","September 2003","February 2013 ( Version 4.0 )"
"Perfect World","Beijing Perfect World","Fantasy","Retail sale or Download","Free","No","No","July 2005 
December 2006 
March 2007 
TBA 2007","March 2, 2011 (Patch version 484)"
"Pirates of the Burning Sea","Flying Lab Software","Fantasy","Retail sale or download","US$19.99 (free download)","Yes","US$12-month subscription: US$143($12/month) or 1-month subscription: US$14.99 
Part of Station Access","January 22, 2008","June 23, 2009, V. 1.15.52"
"Ragnarok Online","GRAVITY Co., Ltd.","Fantasy, Steampunk","Download","Free","No","US$10/month","August 31, 2002","December 4, 2009 (Episode 13.2)"
"Regnum Online","NGD Studios","Medieval fantasy","Download","Free","No","Lowest Ximerin (points) possible 5 USD; highest ximerin possible 60 USD","April 24, 2007","April 29, 2010"
"Rift (video game)","Trion Worlds","Future fantasy","Download","Free","No","Paid with In-game Credits; US$12.99/Month","March 1, 2011","February 17, 2011"
"Rise: The Vieneo Province","Unistellar Industries","Science fiction, Space simulation","Download","Free","Yes","US$5.95","April 1, 2006","Unknown"
"Runes of Magic","Runewaker Entertainment","Fantasy","Download","Free","No","No","March 19, 2009","December 14, 2011"
"RuneScape","Jagex Ltd","Fantasy","Browser-based","Free","No","£4.95/month full access","January 4, 2001","July 31, 2014"
"Ryzom","Nevrax","Science Fantasy","Download","Free","No","US$10.95/month
€7.95","September 20, 2004","May 28, 2011 (1.12.0)"
"Star Trek Online","Cryptic Studios","Science fiction, Star Trek","Retail sale or Download","Free","No","Yes","February 2, 2010","January 30, 2014"
"Star Wars Galaxies","Sony Online Entertainment","Science fiction, Star Wars","Shut Down","","","","June 26, 2003",""
"Star Wars: The Old Republic","Bioware","Science fiction, Star Wars","Retail and Download","Free","No","Yes","December 20, 2011","December 17, 2013"
"Tabula Rasa","NCsoft","Science fiction","Shut down","US$49.99","Yes","US$14.99/month","November 2, 2007","October 27, 2008"
"A Tale in the Desert","eGenesis","Historical","Download","Free","Yes","US$13.95/month","February 3, 2003","August 7, 2010 (Fifth Telling)"
"Terra Militaris","SNAIL Game","Historical","Web","Free","No","No","2010","Unknown"
"Tibia","CipSoft","Fantasy","Download","Free","No","€7.45/month","1997","Unknown"
"Toontown Online","The Walt Disney Company","Classic cartoons","Download","Free","No","US$9.95/month","2003","June 2, 2010 (1.0.40.15)"
"Ultima Online","Origin Systems","Fantasy","Download","US$29.99","Yes","US$12.99/month","1997","December 6, 2013 (Publish 85)"
"Vanguard: Saga of Heroes","Sony Online Entertainment","Fantasy","Retail sale or download","Free (free download)","No","No","January 30, 2007","June 2, 2009 (Build 2461)"
"Vendetta Online","Guild Software","Space simulation","Download","Free","Yes","US$9.99/month
US$6.66/24 months","November 1, 2004","August 15, 2012 (VO 1.8.224)"
"Warhammer Online: Age of Reckoning","Mythic Entertainment","Fantasy","Shut Down","","","","September 18, 2008",""
"WonderKing Online","Ryu & Soft","Fantasy","Download","Free","No","No","March 20, 2006 
February 24, 2007 
June 19, 2009 
2009 
2009","September 12, 2009"
"World of the Living Dead: Resurrection","Ballardia","Survival Strategy","Browser-Based","Free","No","No","October 11, 2013","January 1, 2014 (2.1.9)"
"World of Warcraft","Blizzard Entertainment","Fantasy","Retail sale or Download","US$19.99 Battle Chest; Mists of Pandaria $19.99; Pre-Order Warlords Of Draenor $49.99","Yes","Free limited
(to Lvl 20)

Full US$14.99/month
€12.99","November 23, 2004 
February 11, 2005","November 12, 2014 (6.0)"
"Name","Creator","Genre","Client sale method","Client purchase price","Monthly fee required","Monthly subscription available","Release date(s)","Last update"
"Name","No. of players","No. of players per server / shards / worlds","No. of servers / shards / worlds","Common peak of players","Contains Instances"
"Anarchy Online","12,000","?","3","?","Yes (Missions)"
"Asheron's Call","?","?","9","?","Yes"
"City of Heroes","200,000","?","11 (American version), 4 (European version)","?","Yes (Missions)"
"DarkSpace","4,500","?","1","?","No"
"Dark Age of Camelot","125,000","?","6(?)","5,000 (America), 6,000 (Europe)","Yes"
"Dofus","10,000,000","?","44","45,000 per server (~6000 online)","Yes"
"Dungeons and Dragons Online: Stormreach","?","?","8","?","Yes (Entire world)"
"EVE Online","500,000","All","1","60,453 Live server, ~500 Test shard","No"
"EverQuest","200,000","~8,000","25 as of August 2007","~4,000","Yes (LDON, Plane of Time, Post GoD Raid Locations)"
"EverQuest II","185,000","~8,000","27 as of March 2008","~2,500 per server","Yes"
"Final Fantasy XI","500,000","15,000-20,000","32 servers","Generally 1500–2000 per world","Expansion only"
"Final Fantasy XIV","2,500,000","30,000-45,000","64","","Yes"
"Guild Wars","?","All","1","8 in PvE","Everywhere except towns and outposts"
"Guild Wars 2","3,000,000","","48 (21 US, 27 Europe)","","Yes(Personal Story missions)"
"Knight Online","4,250,000","1-2 million","12x3(subservers)","30,000 per subserver 30kx36 total","?"
"Lineage II","1,300,000","?","10","?","Yes"
"The Lord of the Rings Online: Shadows of Angmar","?","?","38","?","Yes"
"MapleStory","5,000,000","?","89 (All versions) ; 7 (Global version)","?","No"
"Perfect World","?","?","?","?","Yes"
"Pirates of the Burning Sea","?","Avg. 350 as of 2009-June 23","6 as of 2009-June 23","?","Yes"
"Ragnarok Online","?","?","3 (iRO)","?","Announced for a future update"
"Rift (video game)","1,400,000","100,000","22","15000","Yes (dungeons, warfronts, player/guild housing)"
"Rise: The Vieneo Province","4,000","4,000","1","100","Entire world"
"RuneScape","400,000 (As of 2014)","2,000","141","60,000","Yes"
"Ryzom","style="" vertical-align: middle; text-align: center; "" class=""unknown table-unknown""|?","?","3","?","Partial: Ryzom Ring allows instanced content generated by players with a scenario editor."
"Star Trek Online","3,200,000","All","2","?","Yes"
"Star Wars Galaxies","100,000","?","12","?","Yes"
"Star Wars: The Old Republic","1,600,000","?","214 as of 2011-12-25","?","Yes"
"","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Tibia","300,000","500 (max. is 950)","77 as of Feb. 4, 2010","Close to 35,000 as of 2010-02-04","No"
"Ultima Online","?","?","?","?","No"
"Vendetta Online","?","All","1","?","No"
"Warhammer Online: Age of Reckoning","300,000","?","4","?","Yes"
"WonderKing Online","?","?","2 (NA Version)","?","No"
