"Manufacturer","Model","Weight [kg]","Weight [lb]","Display size ""","Display resolution","Display DPI","CPU","Speed [GHz]","HSDPA","Video chipset","Video connection(s)","Storage type","Storage [GB]","RAM [GB]","Battery life [h] low end)low end","Battery life [h] high end)high end","Keyboard size in %","Camera","Mouse layout","Linux OS choice(s)OS choice(s)","Windows OS choice(s)OS choice(s)"
"Acer Inc.","Aspire One","0.99, 1.26","2.18, 2.77","8.9 - 11.6","1024×600, 1366×768 
WSVGA LED glossy","133-135","Atom","1.6","","GMA 950","VGA","SSD + SDHC, HDD","8, 16 / 120, 160, 250","0.5, 1, 2","3 (3-cell)","6–7 (6-cell)","?","Built-in","Touchpad, buttons on each side","Linpus","7 Starter Edition"
"Always Innovating","Touch Book","0.675/1.418","1.488/3.126","8.9","1024×600 touchscreen","133-102","OMAP3530","0.6","","PowerVR SGX530 GPU + 430 MHz C64x+ DSP","None","Removable SD card","8","0.25","3-5 (tablet only, 6000 mAh)","10-15 (with keyboard, 12000 mAh)","95%","None","Touchpad 2-buttons below","Ångstrom, Ubuntu (operating system), Android","CE/not x86 based"
"Aigo","MID P8880T","0.34","0.75","4.8","800×480","194","Atom","0.8","TD","GMA 500","VGA","SSD + SDHC, HDD","8, 16 / 120","0,5 or 1","3 (3-cell)","6–7 (6-cell)","","3.2 MP","Touchscreen","","XP"
"Archos","Archos 10","1.23","2.7","10.2","1024×600","116","Atom N270","1.6","","GMA 950","VGA","HDD","160","1","","","","1.3 MP","Touchpad 2-buttons below","","XP"
"Asus","Eee PC 701SD","0.905","2.00","7","800×480 WVGA matte","133","Celeron-M ULV 353","0.9","?","?","VGA","SSD","8","0.5","3.4","3.5","83%","0.3 MP","?","GNU/Linux","XP Home"
"Asus","Eee PC 900","0.99","2.18","8.9","1024×600 
 WSVGA matte","133","Celeron-M ULV 353","0.9","","?","VGA","SSD","12, 16, 20","1","3.5 (4-cell)","3.5 (4-cell)","83%","1.3 MP","Touchpad 2-buttons below","Xandros","XP"
"Asus","Eee PC 900A","0.99","2.18","8.9","1024×600 
 WSVGA matte","133","Atom N270","1.6","","GMA 950","VGA","SSD","4, 8, 16","1","3.5 (4-cell)","3.5 (4-cell)","83%","None, 0.3 MP","Touchpad 2-buttons below","Xandros","XP"
"Asus","Eee PC 900HA","1.23","2.7","8.9","1024×600 
 WSVGA matte","133","Atom N270","1.6","","GMA 3150","VGA","HDD","160","1","3.5 (4-cell)","10400 mAh 7.5hr (8-cell)","83%","0.3 MP","Touchpad 2-buttons below","?","Windows XP"
"Asus","Eee PC 901","1.14","2.51","8.9","1024×600 
 WSVGA matte","133","Atom N270","1.6","PCB sockets present. Mod option.","GMA 950","VGA","SSD + SDHC","12, 20","1-2","4.2","7.8","83%","1.3 MP","Touchpad 2-buttons below","Xandros","XP"
"Asus","Eee PC 904HD","1.40","3.09","8.9","1024×600 WVGA","133","Celeron-M","0.9","","?","VGA","HDD","80","1","?","?","?","?","","?","XP"
"Manufacturer","Model","Weight [kg]","Weight [lb]","Display size ""","Display resolution","Display DPI","CPU","Speed [GHz]","HSDPA","Video chipset","Video connection(s)","Storage type","Storage [GB]","RAM [GB]","Battery life [h] low end)low end","Battery life [h] high end)high end","Keyboard size in %","Camera","Mouse layout","Linux/Unix OS choice(s)OS choice(s)","Windows OS choice(s)OS choice(s)"
"Asus","Eee PC 1000","1.45","3.19","10.1","1024×600 
 WSVGA matte","117","Atom N270","1.6","","945 GME","VGA","SSD + SDHC, HDD","40 / 80 / 120 / 160","1, 2","4.2","7.8","92%","?","","Xandros","XP"
"Asus","Eee PC 1000HE","1.45","3.20","10.1","1024×600 
 WSVGA matte","117","Atom N280","1.66","","GMA 950","VGA","HDD","160","1, 2","?","9.5","92%","1.3 MP","Touchpad 2-buttons below","None","XP Home"
