"Data types","Java","C#"
"Single-root (unified) type system","No; but wrapper types","Yes"
"Signed integers","Yes; 8, 16, 32, 64 bits","Yes; 8, 16, 32, 64 bits"
"Unsigned integers","No; but some method support.","Yes; 8, 16, 32, 64 bits"
"Character","Yes","Yes"
"Date/time","Yes; reference type","Yes; value type"
"IEEE 754 binary32 floating point number","Yes","Yes"
"IEEE 754 binary64 floating point number","Yes","Yes"
"Boolean type","Yes","Yes"
"High precision decimal number","No; but see 'Arbitrary size decimals' below","128-bit (28 digits) Decimal type"
"Arbitrary size decimals","Reference type; no operators","No"
"Strings","Immutable reference type, Unicode","Immutable reference type, Unicode"
"Arbitrary size integers","Reference type; no operators","Yes"
"Complex numbers","No","Yes"
"Reference types","Yes","Yes"
"Arrays","Yes","Yes"
"Value types","No; only primitive types","Yes"
"Type annotations","Yes","Yes"
"Enumerated types","Yes; reference type","Yes; scalar"
"Lifted (nullable) types","No; but wrapper types","Yes"
"Tuples","No; limited 3rd party available.","Yes"
"Pointers","No; only method references","Yes"
"","Java","C#"
"Definition","In Java, the enumeration type is a class, and its values are objects (instances) of that class. The only valid values are the ones listed in the enumeration. The enumeration type may declare fields, allowing each individual enumerated value to reference additional data associated uniquely with that specific value. The enumeration type may also declare or override methods, or implement interfaces.","Enumeration in C# are implicitly derived from the  type that again is a value type derivative. The value set of a C# enumeration is defined by the underlying type that can be a signed or unsigned integer type of 8, 16, 32 or 64 bits. The enumeration definition defines names for the selected integer values. By default the first name is assigned the value 0 (zero) and the following names are assigned in increments of 1. Any value of the underlying primitive type is a valid value of the enumeration type, though an explicit cast may be needed to assign it."
"Combining","Java enumeration set and map collections provide functionality to combine multiple enumeration values to a combined value. These special collections allows compiler optimization to minimize the overhead incurred by using collections as the combination mechanism.","C# supports bit-mapped enumerations where an actual value may be a combination of enumerated values bitwise or'ed together. The formatting and parsing methods implicitly defined by the type will attempt to use these values."
"Reference types","Java","C#"
"Garbage collection","Yes","Yes"
"Weak reference","Yes","Yes"
"Reference queue (interaction with garbage collection)","Yes","Yes"
"Soft and Phantom references","Yes","No"
"Proxy support","Yes; proxy generation","Yes; object contexts"
"Object orientation","Java","C#"
"Classes","mandatory","mandatory"
"Interfaces","Yes","Yes"
"Abstract classes","Yes","Yes"
"Member accessibility levels","Yes; public, package, protected, private","Yes; public, internal, protected, private, protected internal"
"Class-level inner classes","Yes; inner classes are class level","Yes; all inner classes are class level"
"Instance-level inner classes","Yes","No"
"Statement-level (local) anonymous classes","Yes","Yes; Without methods"
"Partial class","No; but see AspectJ","Yes"
"Implicit (inferred) anonymous classes","No","Yes"
"Deprecation/obsolescence","Yes","Yes"
"Overload versioning","Some","Yes"
"Enums can implement interfaces","Yes","No"
"Properties","No, but see JavaBeans spec","Yes"
"Events","Provided by standard libraries","Built-in language feature"
"Operator overloading","No","Yes"
"Indexers","No","Yes"
"Implicit conversions","No","Yes"
"Explicit conversions","No","Yes"
"Fields and initialization","Java","C#"
"Fields","Yes","Yes"
"Constants","Yes","Yes; but no support for constant passed parameters"
"Static (class) constructors","Yes","Yes"
"Instance constructors","Yes","Yes"
"Finalizers/destructors","Yes","Yes"
"Instance initializers","Yes","No; can be simulate with instance constructor"
"Object initialization","Bottom-up 
(fields and constructors)","Top-down (fields); bottom-up (constructors)"
"Object initializers","No","Yes"
"Collection initializers","No; can be modelled","Yes"
"Array initializers","Yes","Yes"
"Methods and properties","Java","C#"
"Static imports","Yes","No"
"Virtual methods","Virtual by default","Non-virtual by default"
"Abstract","Yes","Yes"
"Sealing","Yes","Yes"
"Explicit interface implementation","Default methods in Java 8","Yes"
"Value (input) parameters","Yes","Yes"
"Reference (input/output) parameters","No","Yes"
"Output (output) parameters","No","Yes"
"Constant (immutable) parameters","Yes;final parameters","No"
"Variadic methods","Yes","Yes"
"Optional arguments","No","Yes"
"Named arguments","No","Yes"
"Generator methods","No","Yes"
"Extension / default methods","Yes","Yes"
"Conditional methods","No","Yes"
"Partial methods","No","Yes"
"Java","C#"
"Generics","Java","C#"
"Implementation","Type erasure","Reification"
"Runtime realization","No","Yes"
"Covariance","Yes","Yes"
"Contravariance","Yes","Yes"
"Reference type constraint","Yes; implicit","Yes"
"Value/primitive type constraint","No","Yes"
"Constructor constraint","No","Yes"
"Relation constraint","Yes","Yes"
"Primitive/value type support","No","Yes"
"Migration compatibility","Yes","No"
"Java","C#"
"Type checks and downcasts are injected into client code (the code referencing the generics). Compared to non-generic code with manual casts, these casts will be the same, but compared to compile-time verified code that would not need runtime casts and checks, these operations represent a performance overhead.","C#/.NET generics guarantee type-safety and are verified at compile time, making extra checks/casts are unnecessary at runtime. Hence, generic code will run faster than non-generic (or type-erased) code that require casts when handling non-generic or type-erased objects."
"Cannot use primitive types as type parameters; instead, the developer must use the wrapper type corresponding to the primitive type. This incurs extra performance overhead by requiring boxing and unboxing conversions as well a memory and garbage collection pressure, as the wrappers will be heap-allocated as opposed to stack-allocated.","Primitive and value types are allowed as type parameters in generic realizations. At runtime code will be synthesized and compiled for each unique combination of type parameters upon first use. Generics that are realized with primitive/value type do not require boxing/unboxing conversions."
"Generic exceptions are not allowed and a type parameter cannot be used in a catch clause","Can both define generic exceptions and use those in catch clauses"
"Static members are shared across all generic realizations (during type erasure all realizations are folded into a single class)","Static members are separate for each generic realization. A generic realization is a unique class."
"Type parameters cannot be used in declarations of static fields/methods or in definitions of static inner classes","No restrictions on use of type parameters"
