"Tank","Country","Year introduced","Production total","Crew","Armament 
number of rounds","Armour thickness 
 (front/side/top)","Weight
(tonne)","Engine","power/weight ratio","Speed (km/h)","Range"
"Mark I Male","UK","1916","75","8","2×6 pounder (57 mm/L40) [324], 
3×MG [6,272]","12/10/6 mm","28.4 t","Petrol 
105 hp (78 kW)","3.7 hp/t","4.5 km/h","37 km"
"Female","UK","1916","75","8","5×MG [30,080]","12/10/6 mm","27.4 t","Petrol 
105 hp (78 kW)","3.7 hp/t","4.5 km/h","37 km"
"Mark IV Male","UK","1917","420","8","2×57 mm/L23 [332], 
3×MG [6,272]","14/12/8 mm","28.5 t","125 hp (93 kW)","","5.6 km/h","56 km"
"Female","UK","1917","595","8","5×MG [10,000]","14/12/8 mm","27 t","125 hp (93 kW)","","5.6 km/h","56 km"
"Mark V Male","UK","1918","200","8","2×57 mm/L23 [207], 
4×MG [5,800]","14/14/8 mm","29.5 t","150 hp (112 kW)","5.1 hp/t","7.5 km/h","72 km"
"Female","UK","1918","200","8","6×.303 MG [14,100]","14/14/8 mm","28.5 t","150 hp (112 kW)","5.1 hp/t","7.5 km/h","72 km"
"Mark V* Male","UK","1918","200","8+24 infantry","2×57 mm/L23 [221], 
8×MG [8,400]","14/12/6 mm","33 t","150 hp (112 kW)","5.1 hp/t","4 km/h","63 km"
"Female","UK","1918","432","8+24 infantry","10×MG [16,800]","14/12/6 mm","32 t","150 hp (112 kW)","5.1 hp/t","4 km/h","63 km"
"Medium Mark A Whippet","UK","1918","200","3-4","4×.303 MG [5,400]","14/14/5 mm","14 t","Petrol 2×45 hp (34 kW)","6.4 hp/t","13 km/h","64 km"
"Schneider CA1","France","1917","400","6","75 mm/L13 [94–96], 
2× 7.92 mm MG [3,840]","11.5/11.5/5.5 mm","13.5 t","60 hp (45 kW)","","8 km/h","48 km"
"Schneider CA1","France","1917","400","6","75 mm/L13 [94–96], 
2× 7.92 mm MG [3,840]","24/17/5.5 mm","14.6 t","60 hp (45 kW)","","8 km/h","75 km"
"Saint-Chamond","France","1917","165","8","75 mm/? [106–108], 
4× 7.92 mm MG [7,488]","11.5/8.5/5.5 mm","22 t","90 hp (67 kW)","4.1 hp/t","12 km/h","60 km"
"Saint-Chamond","France","1917","235","8","75 mm/L36 [106–108], 
4× 7.92 mm MG [7,488]","19.5/17/5.5 mm","24 t","90 hp (67 kW)","4.1 hp/t","12 km/h","60 km"
"Renault FT  mitrailleuse","France","1918","3,694","2","7.92 mm MG [4,800]","16/8/6 mm","6.5 t","35 hp (26 kW)","10.7 hp/t","8 km/h","35 km"
"Renault FT  canon","France","1918","3,694","2","37 mm/L20 [240]","16/8/6 mm","6.7 t","35 hp (26 kW)","10.7 hp/t","8 km/h","35 km"
"A7V","Germany","1918","20","18","57 mm/L26 [180], 
6×MG [10,000–15,000]","30/20/10 mm","32 t","2×100 hp (75 kW)","6.25 hp/t","12 km/h","35 km"
"Name","Country","Year","Planned Prod./Actual 
total","Crew","Armament 
[ammo (rds.)]","Armour thickness 
 (front/side/top)","Weight
(tonne)","Engine","Speed","Range"
"FCM Char 2C","France","1918","300+/10","12","75 mm, 4× 7.92 mm MG","45/22/10  mm","70 t","Petrol 2×200/250 hp","15 km/h","160 km"
"Mark VIII","US/UK","1918","1500/125","12","2× 6 pdr; 7 MGs","16/16/6 mm","33.6 t","Petrol 300/340 hp","8 km/h","89 km (55 mi)"
"Medium Mark B","UK","1918","","","","","","","",""
"Medium Mark C","UK","1918","","","5 Machine guns","","","","",""
