"Ido","IPA","Novial"
"A, a","/a/","A, a"
"B, b","/b/","B, b"
"C, c","/ts/","TS, ts"
"CH, ch;","/tʃ/","CH, ch"
"D, d","/d/","D, d"
"E, e","/e/ or /ɛ/","E, e"
"F, f","/f/","F, f"
"G, g","/ɡ/","G, g"
"Dj, dj","/dʒ/","J, j"
"H, h","/h/","H, h"
"I, i","/i/","I, i"
"J, j","/ʒ/","J, j"
"K, k","/k/","K, k"
"L, l","/l/","L, l"
"M, m","/m/","M, m"
"N, n","/n/","N, n"
"O, o","/o/ or /ɒ/","O, o"
"P, p","/p/","P, p"
"QU, qu","/kw/ or /kv/","QU, qu"
"R, r","/r/","R, r"
"S, s","/s/","S, s (also Z,z)"
"SH, sh","/ʃ/","SH, sh"
"T, t","/t/","T, t"
"U, u","/u/","U, u"
"W, w","/w/","W, w (before a vowel) U, u (after a vowel)"
"V, v","/v/","V, v"
"X, x","/ks/ or /ɡz/","X, x"
"Y, y","/j/","Y, y"
"Z, z","/z/","Z, z (also S, s)"
"","singular","singular","singular","singular","singular","singular","singular","plural","plural","plural","plural","plural","plural","indef."
"","1st","2nd","2nd","3rd","3rd","3rd","3rd","1st","2nd","3rd","3rd","3rd","3rd","indef."
"","1st","familiar","formal","m.","f.","n.","pan-gender","1st","2nd","m.","f.","n.","pan-gender","indef."
"English","I","you (thou)","you","he","she","it","he/it","we","you","�","�","�","they","one"
"Ido","me","tu","vu","il(u)","el(u)","ol(u)","lu","ni","vi","ili;","eli;","oli;","li","on(u)"
"Novial","me","vu","vu","lo","la","lu(m)","le","nus","vus","los","las","lus","les","on"
"Ido version:Patro nia, qua esas en la cielo,
tua nomo santigesez;
tua regno advenez;
tua volo facesez
quale en la cielo tale anke sur la tero.
Donez a ni cadie l'omnidiala pano,
e pardonez a ni nia ofensi,
quale anke ni pardonas a nia ofensanti,
e ne duktez ni aden la tento,
ma liberigez ni del malajo.","Novial version:Nusen Patre, kel es in siele,
mey vun nome bli sanktifika,
mey vun regno veni;
mey on fa vun volio
kom in siele anke sur tere.
Dona a nus disidi li omnidiali pane,
e pardona a nus nusen ofensos,
kom anke nus pardona a nusen ofensantes,
e non dukte nus en tentatione,
ma liberisa nus fro malu."
