"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory","API support","API support"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL"
"STG-2000","September 1995","NV1","?","PCI","2
4","12","75","1:1:1","12","12","12","0","0.6","EDO
VRAM","64","n/a","n/a"
"Riva128","April 1997","NV3","350","PCI","4","100","100","1:1:1","100","100","100","0","1.6","SDR","128","5.0","1.0"
"Riva128ZX","February 23, 1998","NV3","350","AGP 2x, PCI","8","100","100","1:1:1","100","100","100","0","1.6","SDR","128","5.0","1.0"
"Riva TNT","March 23, 1998","NV4","350","AGP 2x, PCI","8
16","90","110","2:2:2","180","180","180","0","1.76","SDR","128","5.0","1.2"
"Vanta","March 22, 1999","NV6","250","AGP 4x","16","100","125","2:2:2","200","200","200","0","1","SDR","64","6.0","1.2"
"Vanta LT","March, 2000","NV6","250","AGP 4x","8
16","80","100","2:2:2","160","160","160","0","0.8","SDR","64","6.0","1.2"
"Riva TNT2 M64","October, 1999","NV6","250","AGP 4x, PCI","8, 16
32","125","150","2:2:2","250","250","250","0","1.2","SDR","64","6.0","1.2"
"Riva TNT2","March 15, 1999","NV5","250","AGP 4x, PCI","16
32","125","150","2:2:2","250","250","250","0","2.4","SDR","128","6.0","1.2"
"Riva TNT2 Pro","October 12, 1999","NV5","220","AGP 4x","32","143","166","2:2:2","286","286","286","0","2.656","SDR","128","6.0","1.2"
"Riva TNT2 Ultra","March 15, 1999","NV5","250","AGP 4x","16
32","150","183","2:2:2","300","300","300","0","2.928","SDR","128","6.0","1.2"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"GeForce256","October 11, 1999","NV10","AGP 4x
PCI","32
64","120","166","4:4:4","480","480","480","0","2.656","SDR","128"
"GeForce256 DDR","February 1, 2000","NV10","AGP 4x
PCI","32
64","120","300","4:4:4","480","480","480","0","4.8","DDR","128"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"GeForce2 MX IGP + nForce 220/420","June 4, 2001","NV1A","FSB","Up to 32 system RAM","175","266","2:4:2","350","350","700","0","2.128
4.256","DDR","64
128"
"GeForce2 MX200","March 3, 2001","NV11","AGP 4x
PCI","32
64","175","166","2:4:2","350","350","700","0","1.328","SDR","64"
"GeForce2 MX","June 28, 2000","NV11","AGP 4x
PCI","32
64","175","166","2:4:2","350","350","700","0","2.656","SDR","128"
"GeForce2 MX400","March 3, 2001","NV11","AGP 4x
PCI","32
64","200","166 (SDR)
332 (DDR)","2:4:2","400","400","800","0","2.656","SDR
DDR","128 (SDR)
64 (DDR)"
"GeForce2 GTS","April 26, 2000","NV15","AGP 4x
PCI","32
64","200","332","4:8:4","800","800","1600","0","5.312","DDR","128"
"GeForce2 Pro","December 5, 2000","NV15","AGP 4x
PCI","32
64","200","400","4:8:4","800","800","1600","0","6.4","DDR","128"
"GeForce2 Ti","October 1, 2001","NV15","AGP 4x
PCI","32
64","250","400","4:8:4","1000","1000","2000","0","6.4","DDR","128"
"GeForce2 Ultra","August 14, 2000","NV16","AGP 4x
PCI","64","250","460","4:8:4","1000","1000","2000","0","7.36","DDR","128"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"GeForce3 Ti200","October 1, 2001","NV20","AGP 4x
PCI","64
128","175","400","4:1:8:4","700","700","1400","42.75","6.4","DDR","128"
"GeForce3","February 27, 2001","NV20","AGP 4x
PCI","64","200","460","4:1:8:4","800","800","1600","50","7.36","DDR","128"
"GeForce3 Ti500","October 1, 2001","NV20","AGP 4x
PCI","64
128","240","500","4:1:8:4","960","960","1920","60","8","DDR","128"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory","API support (version)","API support (version)"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL"
"GeForce4 MX IGP + nForce2","October 1, 2002","NV1F","FSB","Up to 128 system RAM","250","266
400","2:0:4:2","500","500","1000","0","2.128
6.4","DDR","64
128","7.0","1.2"
"GeForce4 MX420","February 6, 2002","NV17","AGP 4x
PCI","64","250","166","2:0:4:2","500","500","1000","0","2.656","SDR","128","7.0","1.2"
"GeForce4 MX440 SE","2002","NV17","AGP 4x
PCI","64
128","250","332","2:0:4:2","500","500","1000","0","5.312","DDR","128","7.0","1.2"
"GeForce MX4000","December 14, 2003","NV18B","AGP 8x
PCI","64
128","250","332","2:0:4:2","500","500","1000","0","2.656","DDR","64","7.0","1.2"
"GeForce PCX4300","February 19, 2004","NV18B","PCI-E x16","128","250","666","2:0:4:2","500","500","1000","0","5.328","DDR","64","7.0","1.2"
"GeForce4 MX440","February 6, 2002","NV17","AGP 4x
PCI","64
128","275","400","2:0:4:2","550","550","1100","0","6.4","DDR","128","7.0","1.2"
"GeForce4 MX440 8x","September 25, 2002","NV18","AGP 8x
PCI","64
128","275","500","2:0:4:2","550","550","1100","0","8","DDR","128","7.0","1.2"
"GeForce4 MX460","February 6, 2002","NV17","AGP 4x
PCI","64
128","300","550","2:0:4:2","600","600","1200","0","8.8","DDR","128","7.0","1.2"
"GeForce4 Ti4200","April 16, 2002","NV25","AGP 4x","64
128","250","444 (128 MB)
500 (64 MB)","4:2:8:4","1000","1000","2000","125","7.104 (128 MB)
8 (64 MB)","DDR","64
128","8.1","1.3"
"GeForce4 Ti4400","February 6, 2002","NV25","AGP 4x","128","275","550","4:2:8:4","1100","1100","2200","137.5","8.8","DDR","128","8.1","1.3"
"GeForce4 Ti4800 SE","January 20, 2003","NV28","AGP 8x","128","275","550","4:2:8:4","1100","1100","2200","137.5","8.8","DDR","128","8.1","1.3"
"GeForce4 Ti4600","February 6, 2002","NV25","AGP 4x","128","300","650","4:2:8:4","1200","1200","2400","150","10.4","DDR","128","8.1","1.3"
"GeForce4 Ti4800","January 20, 2003","NV28","AGP 8x","128","300","640","4:2:8:4","1200","1200","2400","150","10.4","DDR","128","8.1","1.3"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory","API support (version)","API support (version)"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL"
"Model","Features","Features","Features","Features","Features"
"Model","nFiniteFX II Engine","Video Processing Engine (VPE)","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 MX420","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 MX440 SE","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 MX4000","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 PCX4300","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 MX440","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 MX440 8X","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 MX460","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 Ti4200","Yes","No","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 Ti4400","Yes","No","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 Ti4600","Yes","No","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce4 Ti4800","Yes","No","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"GeForce FX 5200","March 2003","NV34","150","AGP 8X
PCI","64
128","250","400","4:1:4:4","1000","1000","1000","62.5","3.2
6.4","DDR","64
128"
"GeForce FX 5200 Ultra","March 6, 2003","NV34","150","AGP 8X","64
128","325","650","4:1:4:4","1300","1300","1300","81.25","10.4","DDR","128"
"GeForce PCX 5300","March 17, 2004","NV34","150","PCI-E x16","128","250","400","4:1:4:4","1000","1000","1000","62.5","3.2
6.4","DDR","64
128"
"GeForce FX 5500","March 2004","NV34B","140","AGP 8X
AGP 4X
PCI","64
128
256","270","400","4:1:4:4","1080","1080","1080","67.5","3.2
6.4","DDR","64
128"
"GeForce FX 5600 XT","Oct 2003","NV31","130","AGP 8X","64
128","235","400","4:1:4:4","940","940","940","58.75","6.4","DDR","128"
"GeForce FX 5600","March 2003","NV31","130","AGP 8X
PCI","64
128
256","325","550","4:1:4:4","1300","1300","1300","81.25","8.8","DDR","128"
"GeForce FX 5600 Ultra","March 6, 2003","NV31","130","AGP 8X","64
128","350","700","4:1:4:4","1400","1400","1400","87.5","11.2","DDR","128"
"GeForce FX 5600 Ultra Rev.2","March 6, 2003","NV31","130","AGP 8X","64
128","400","800","4:1:4:4","1600","1600","1600","100","12.8","DDR","128"
"GeForce FX 5700 VE","Sept 2004","NV36","130","AGP 8X","128
256","235","400","4:3:4:4","940","940","940","106.5","6.4","DDR","128"
"GeForce FX 5700 LE","March 2004","NV36","130","AGP 8X","128
256","250","400","4:3:4:4","1000","1000","1000","187.5","6.4","DDR","128"
"GeForce FX 5700","2003","NV36","130","AGP 8X","128
256","425","500","4:3:4:4","1700","1700","1700","318.75","8","DDR","128"
"GeForce PCX 5750","March 17, 2004","NV36","130","PCI-E x16","128","425","500","4:3:4:4","1700","1700","1700","318.75","8","DDR","128"
"GeForce FX 5700 Ultra","October 23, 2003","NV36","130","AGP 8X","128
256","475","900","4:3:4:4","1900","1900","1900","356.25","14.4","GDDR2","128"
"GeForce FX 5700 Ultra GDDR3","March 15, 2004","NV36","130","AGP 8X","128
256","475","950","4:3:4:4","1900","1900","1900","356.25","15.2","GDDR3","128"
"GeForce FX 5800","January 27, 2003","NV30","130","AGP 8X","128","400","800","4:2:8:4","1600","1600","3200","200","12.8","GDDR2","128"
"GeForce FX 5800 Ultra","January 27, 2003","NV30","130","AGP 8X","256","500","1000","4:2:8:4","2000","2000","4000","250","16","GDDR2","128"
"GeForce FX 5900 ZT","December 15, 2003","NV35","130","AGP 8X","128","325","700","4:3:8:4","1300","1300","2600","343.75","22.4","DDR","256"
"GeForce FX 5900 XT","2003","NV35","130","AGP 8X","128","390","700","4:3:8:4","1600","1600","3200","300","22.4","DDR","256"
