"Name","Programming language, toolkit","Operating system","License","Integration","Languages","Network protocols","Current version","Last release date","Server functionality","Visualization"
"Agent SVN","C, C++","Microsoft Windows","proprietary, trial with commercial upgrade","Any MS-SCCI compatible IDE, e.g., Microsoft Visual Studio, Microsoft SQL Server Management, PowerBuilder, Zeus etc.","English","http, https, svn, svn+ssh, file","2.34","October 27, 2013;
12 months ago","?","?"
"AnkhSVN","C#, SharpSvn","Microsoft Windows","Apache License","Microsoft Visual Studio (all editions except Express)","English","http, https, svn, svn+ssh, file","2.5.12233","October 31, 2013;
12 months ago","No","Diff, blame, history, properties"
"bzr-svn","Python, C","Linux, Unix, Mac OS X, Microsoft Windows, Solaris, many more","GPL v3","Bazaar","English","http, https, svn, svn+ssh, file","1.2.2","April 6, 2012;
2 years ago","?","?"
"blsvn","C++","Microsoft Windows","MIT","command-line wrapper","English","http, https, svn, svn+ssh, file","0.1","April 12, 2010;
4 years ago","No","?"
"Cascade","","Linux, Mac OS X, Microsoft Windows","proprietary, free for personal use even in professional environments","Windows Shell (Explorer), file system driver","English","http, https, svn","1.2.0.1069","2008;
6 years ago","?","?"
"CODESYS SVN","C#, SharpSvn","Microsoft Windows","proprietary, trials can be negotiated","SVN plugin for CODESYS V3","English, German","http, https, svn, svn+ssh, file","V4.0.1.2 (based on SVN 1.7.17)","June 12, 2014;
5 months ago","No","Diff, merge, log"
"Cornerstone","Objective-C, Cocoa","Mac OS X","proprietary","GUI, standalone","English","file, http, https, svn and svn+ssh","2.7.14","May 9, 2014;
6 months ago (Tooltip on the download button at )","No","Diff, blame, log, timeline, externals"
"DiffPlug","Java, SWT","Microsoft Windows","proprietary","GUI, standalone, Simulink","English","file, http, https, svn","1.3.0","March 25, 2014;
7 months ago","No","Diff, log"
"EasySVN","C++","Microsoft Windows86 and x86-64","GPL","Windows shell, Linux command line, Mac OS X Finder integration. It needs TortoiseSVN installed.","English","http, https, svn","0.4.0.456 beta(1)","November 29, 2011;
2 years ago","No","?"
"eSvn","C++, Qt","Unix-like operating systems (GNU/Linux distributions, FreeBSD, Sun Solaris and others), Mac OS X and Windows","GPL","GUI, standalone (like WinCVS, Cervisia)","English","http, svn","0.6.12","For *nix OSs: July 16, 2007;
7 years ago. For Windows: July 12, 2007;
7 years ago","No","?"
"iF.SVNAdmin","PHP","Linux, Unix, Microsoft Windows","GPLv2","web-based. It requires Apache HTTP (web) Server installed.","English, German, Chinese","","1.5.2","February 27, 2011;
3 years ago","?","?"
"iVersion","Objective-C, C","iOS 3.0","proprietary","GUI, standalone","English","svn, http, https","1.2","?","?","?"
"kdesvn","C++, Qt","Linux, Unix, Mac OS X","GPL","Konqueror, Dolphin, standalone","English","file, http, https, (k)svn, (k)svn+file, (k)svn+http, (k)svn+https, (k)svn+ssh","1.6.0","August 5, 2012;
2 years ago","Yes","?"
"MagnetSVN","","Microsoft Windows Windows XP / Vista / 7 / 8","proprietary","Microsoft Office (2007 and 2010, 2013 Word and Excel)","English","file, http, https, svn and svn+ssh","2.3 (based on SVN 1.8)","December 11, 2013;
11 months ago","?","?"
"naughtysvn","C, GTK+","Linux, etc.","GPL","Nautilus","English","","0.0.1 (beta?)","?","?","?"
"PBSCC","C++","Microsoft Windows","Apache License 2.0","SVN Plugin for PowerBuilder","English","svn","2.01.80","October 12, 2011;
3 years ago","?","?"
"PixelNovel Timeline","C++","Mac OS X, Microsoft Windows","Free if used with PixelNovel web storage, 30-day trial with commercial upgrade otherwise","Adobe Photoshop","English","svn","1.0","July 7, 2009;
5 years ago","?","?"
"pysvn Extension","","","Apache License","","English","","1.7.8.1546","August 18, 2013;
14 months ago","?","?"
"pysvn WorkBench","Python, wxWidgets","Linux, Unix, Mac OS X, Microsoft Windows","Apache License","","English","","1.6.7","January 1, 2013;
22 months ago","?","?"
"PushOk SVN SCC","","Microsoft Windows","proprietary","Any MSSCCI-compatible program (Microsoft Visual Studio and other programs)","English","","1.6.6.2","March 15, 2010;
4 years ago","?","?"
"Qct (Qt commit tool)","Python, Qt","Linux, Unix, Mac OS X, Microsoft Windows","GPL","","English","","1.7","February 16, 2009;
5 years ago","?","?"
"QSvn","C++, Qt","Linux, Unix, Mac OS X, Microsoft Windows","GPL","GUI, standalone (like WinCVS)","English","","0.8.3","July 26, 2009;
5 years ago","No","?"
"RabbitVCS","Python, GTK+","Linux","GPL","Nautilus, Thunar, Gedit, CLI","ca, cs, de, en, es, fa, fr, he, hr, it, ja, nb, nl, pl, pt, ro, ru, sk, sl, sv, zh_CN","http, https, svn, svn+ssh, file","0.15.2","October 22, 2012;
2 years ago","?","?"
"RapidSVN","C++, wxWidgets","Linux, Unix, Mac OS X, Microsoft Windows, Solaris, many more","GPL","GUI, standalone","Unicode, many","","0.12.1","June 28, 2012;
2 years ago","No","External"
"SCPlugin","","Mac OS X","X/MIT","Finder integration","English","","0.8.2","February 17, 2010;
4 years ago","?","?"
"sdSVN","Java","Linux, Unix, Mac OS X, Microsoft Windows","GPL","GUI, standalone, Java Web Start","English","http, https","1.0-SNAPSHOT-r63 (minimal and full)","May 29, 2011;
3 years ago","?","?"
"svnup","C","FreeBSD","BSD","standalone","Unicode, many","http, https, svn","0.97","?","No",""
"SmartGit","Java","Linux, Unix, Mac OS X, Microsoft Windows (Any with a 1.5 or higher JRE)","Free for non-commercial usage","GUI, standalone","English","http, https, svn, svn+ssh","2.1.6","December 3, 2011;
2 years ago","No","Diff, merge, log graph with merge arrows"
"SmartSVN","Java","Linux, Unix, Mac OS X, Microsoft Windows (Any with a 1.5 or higher JRE)","Trial with commercial upgrade or free 'Foundation' edition","GUI, standalone, Finder and Windows Shell (Explorer) integration","English","http, https, svn, svn+ssh","7.5","November 15, 2012;
2 years ago","Yes","Diff, merge, revision graph with merge arrows"
"Subclipse","Java","Linux, Mac OS X, Microsoft Windows","EPL","Eclipse","","http, https, svn, svn+ssh, file","1.10.3","October 16, 2013;
12 months ago","?","Diff, merge"
"Subcommander","C++, Qt","Linux, Unix, Mac OS X, Microsoft Windows","GPL","GUI, standalone","en, de, zh_CN","http, https, svn, file","2.0.0 beta 5","September 13, 2009;
5 years ago","Yes","?"
"SubdiverSVN","gtkmm","Linux","GPL","Nautilus, Thunar","English","http, https, svn, svn+ssh, file","0.1-2","April 27, 2009;
5 years ago","?","?"
