"Client","Creator","First public release date","Latest stable version","Software license","Copy files over 2 GB limit","Interface"
"cURL","Daniel Stenberg","1998","7.38 (September 10, 2014; 30 days ago )","MIT","Yes","CLI"
"Cyberduck","David V. Kocher","2001","4.5.2 August 26, 2014; 45 days ago","GPL","Yes","GUI"
"FileZilla","Community","2001 (January)","3.9.0.5 (September 6, 2014; 34 days ago )","GPL","Yes","GUI"
"FireFTP","Mime Čuvalo","2004 (September)","2.0.14 (May 4, 2013; 16 months ago)","MPL 1.1, Charityware","Yes (since version 2.0.5)","Firefox addon"
"Fugu","University of Michigan Research Systems Unix Group","2003","1.2.0 May 2, 2005; 9 years ago","BSD","?","GUI"
"gFTP","Brian Masney","1998","2.0.19 November 30, 2008; 5 years ago","GPL","Yes","GTK+"
"lftp","Alexander V. Lukyanov","1996 (August)","4.5.5 (September 4, 2014; 36 days ago )","GPL","Yes","CLI"
"Macfusion","Michael Gorbach","0 ?","2.0.4","BSD","?","GUI"
"NcFTP","NcFTP Software Inc.","1991","3.2.5  January 17, 2011; 3 years ago","Clarified Artistic License","Yes","CLI"
"net2ftp","David C. Gartner","2003 (January)","0.98 June 1, 2009; 5 years ago","GPL","?","Web application"
"Swish","Alexander Lamaison","2007","0.7.0 July 30, 2012; 2 years ago","GPL","Yes","Windows Explorer shell extension"
"tnftp","Luke Mewburn","1999","20130505 May 5, 2013; 16 months ago","BSD","?","CLI"
"WinSCP","Martin Přikryl","2000",")","GPL","Yes","GUI"
"Yafc","Sebastian Ramacher","1999","1.2.5 (June 15, 2013; 15 months ago)","GPL","Yes","CLI"
"Client","Creator","First public release date","Latest stable version","Software license","Copy files over 2 GB","Interface"
"Ali's FTP Interface","S. Ali Tokmen","2003","2013.01.20.01 (January 20, 2013; 20 months ago)","No license mentioned, but source is available","?","Web application"
"AnyClient","JSCAPE","2008","4.1 January 14, 2012; 2 years ago","Proprietary","Yes","Web Interface and GUI"
"BitKinex","Barad-Dur, LLC.","2003","3.2.2","Proprietary","Yes","GUI + command line"
"Classic FTP","NCH Software","2007","1.13","Proprietary","Yes","GUI"
"Fling FTP (free version contains adware)","NCH Software","2007","1.0.7","Proprietary","Yes","Windows Explorer shell extension"
"FTP!","syncplify.me","2014 (January)","1.0.6.26  January 14, 2014; 8 months ago","Proprietary","Yes","GUI"
"FTP Rush","Wing FTP Software","2011","2.1.8","Freeware","Yes","GUI"
"LeechFTP","Jan Debis","1998","1.3 (Discontinued)","Proprietary","No","GUI"
"Mosaic","NCSA","1993","3.0 (Discontinued)","Proprietary","?","?"
"pbFtpClient","Level5Software","2007","6.1","Proprietary","?","Windows GUI"
"UploadFTP Free","Brightek Software","2011","2.0","Proprietary","Yes","GUI"
"FTP Voyager","Rhino Software, Inc","January, 1997","16.1.0.0 (August 20, 2013; 8 months ago)","Proprietary","Yes","GUI"
"Client","Creator","First public release date","Latest stable version","Software license","Copy files over 2 GB"
"CoreFTP","CoreFTP.com","2003","2.2 (build 1751) June 27, 2012; 2 years ago","Freeware","?"
"CrossFTP","CrossFTP.com","2006","1.51","Proprietary","Yes"
"FAR Manager","Eugene Roshal / FAR Group","1996","3.0 build 4040 (10 August 2014; 61 days ago) 
2.0 build 1807 (3 February 2011; 3 years ago) 
1.75 build 2634 (3 February 2011; 3 years ago)","Proprietary","Yes"
"Fetch","Fetch Softworks","1989","5.7.3 October 30, 2013; 11 months ago","Proprietary","Yes"
"FTP Script!","syncplify.me","2013","2.0.2.22 December 9, 2013; 9 months ago","Proprietary","Yes"
"rwBackup","Stack-Its","2014","1.0 April 16, 2014; 5 months ago","Proprietary","Yes"
"Secure FTP","Glub Tech","1999","2.6.2 July 27, 2013; 14 months ago","Apache","Yes"
"Sysax FTP Automation","Codeorigin, LLC","2005","5.31 April 12, 2012; 2 years ago","Proprietary","Yes"
"Xftp","Netsarang Computer","2004?","4 Build 0111 January 6, 2014; 8 months ago","Proprietary","Yes"
"Client","Creator","First public release date","Latest stable version","Software license","Copy files over 2 GB"
"BatchFTP","ENSware LLC.","2000","9.0.0.1 February 12, 2009; 5 years ago","Proprietary","Yes"
"Beyond Compare","Scooter Software","?","3.3.5 (build 15075) July 18, 2012; 2 years ago","Proprietary","Yes"
"3D-FTP","SiteDesigner Technologies, Inc.","1999","9.01 July 6, 2010; 4 years ago","Proprietary","Yes"
"AbsoluteTelnet","Celestial Software","1996","9.49 July 2, 2012; 2 years ago","Proprietary","Yes"
"AutoFTP","PrimaSoft PC","1998","4.9","Proprietary","?"
"BulletProof FTP aka BPFTP","BulletProof Software LLC","1997","2.63","Proprietary","Yes"
"CuteFTP","Alex Kunadze/Globalscape","1994","9.0.5 (Windows) July 22, 2013; 14 months ago / 3.1.3 (Mac) May 2, 2014; 5 months ago","Proprietary","Yes"
"FlashFXP","OpenSight Software, LLC","1999","4.3.0 February 20, 2013; 19 months ago","Proprietary","Yes"
"FTP Client","Vicomsoft","1997","5.0.1","Proprietary","Yes"
"Global Downloader","Actysoft Inc","2005","1.8.1.1 November 20, 2011; 2 years ago","Proprietary","Yes"
"LeapFTP","LeapWare","1996","3.1.0 October 31, 2010; 3 years ago","Proprietary","Yes"
"GoAnywhere Director","Linoma Software","2002","4.5.1","Proprietary","Yes"
"Robo-FTP","Serengeti Systems Incorporated","2001","3.8.3 July 30, 2012; 2 years ago","Proprietary","Yes"
"rwBackup","Stack-Its","2014","1.0 April 16, 2014; 5 months ago","Proprietary","Yes"
"SmartFTP","SmartSoft Ltd","1998","4.1.1260 August 6, 2012; 2 years ago","Proprietary","Yes"
"Total Commander","Christian Ghisler","1993","8.51a  April 30, 2014; 5 months ago","Proprietary","Yes"
"UploadFTP","Brightek Software","2011","2.0.1 August 14, 2011; 3 years ago","Proprietary","Yes"
"WebDrive","South River Technologies, Inc.","1998","11.0  February 1, 2013; 19 months ago","Proprietary","Yes"
"WS_FTP","Ipswitch, Inc.","1996","12.4","Proprietary","Yes"
"Yummy FTP","Yummy Software","2004","1.9.0 May 10, 2011; 3 years ago","Proprietary","?"
"Client","Creator","First public release date","Latest stable version","Software license","Copy files over 2 GB","/!\ This cell is not defined /!\"
"ALFTP","ESTsoft","2000","5.31 February 1, 2012; 2 years ago","Proprietary","?","/!\ This cell is not defined /!\"
"BitKinex FTP","Barad-Dur, LLC.","2003","3.2.3 November 7, 2010; 3 years ago","Proprietary","?","/!\ This cell is not defined /!\"
"Captain FTP","Xnet","2001","6.0","Proprietary","?","/!\ This cell is not defined /!\"
"Directory Opus","GPSoftware","1990","10.5.2.0   June 14, 2013; 15 months ago","Proprietary","Yes","/!\ This cell is not defined /!\"
"ExpanDrive (Mac)","ExpanDrive, Inc","2008","4.1.5 (August 2, 2014; 2 months ago)","Proprietary","Yes","/!\ This cell is not defined /!\"
"ExpanDrive (Windows) (formerly SftpDrive)","ExpanDrive, Inc","2005","4.1.5 (August 2, 2014; 2 months ago)","Proprietary","Yes","/!\ This cell is not defined /!\"
"Flow","Five Details","2008","1.6.5","Proprietary","Yes","/!\ This cell is not defined /!\"
"FTP Client","Hankinsoft Development, Inc","2011","1.10","Proprietary","Yes","/!\ This cell is not defined /!\"
"FTP Commander","Internetsoft Corporation","1997","9.21  November 8, 2010; 3 years ago","Proprietary","Yes","/!\ This cell is not defined /!\"
"FTP Explorer","FTPx Corp.","October, 1996","1.0.1.53","Proprietary","?","/!\ This cell is not defined /!\"
"GoAnywhere Director","Linoma Software","2002","4.5.1","Proprietary","Yes","/!\ This cell is not defined /!\"
"Interarchy","Nolobe Software Pty Ltd","1993 (as Anarchie)","10.0.2 August 18, 2010; 4 years ago","Proprietary","Yes","/!\ This cell is not defined /!\"
"rwBackup","Stack-Its","2014","1.0 April 16, 2014; 5 months ago","Proprietary","Yes","/!\ This cell is not defined /!\"
"SecureFX","VanDyke Software","1998","7.0 July 3, 2012; 2 years ago","Proprietary","Yes","/!\ This cell is not defined /!\"
"Steed","French Fry, SAS","2012","1.0.5.956 October 4, 2013; 11 months ago","Proprietary","Yes","/!\ This cell is not defined /!\"
"Transmit","Panic, Inc.","1998","4.4.5  November 13, 2013; 10 months ago","Proprietary","Yes","/!\ This cell is not defined /!\"
"WISE-FTP","AceBIT","1998","7.0 (Build 7.0.4) March 16, 2012; 2 years ago","Proprietary","?","/!\ This cell is not defined /!\"
"edtFTPj","Bruce P. Blackshaw","2000","2.3.0 August 26, 2011; 3 years ago","Proprietary","Yes","Java JAR file"
"edtFTPnet","Bruce P. Blackshaw","2003","2.2.1 August 26, 2011; 3 years ago","Proprietary","Yes","Windows DLL"
"Client","Windows","Mac OS X","Linux","BSD","Unix","AmigaOS"
"3D-FTP","Yes","No","No","No","No","No"
"AbsoluteTelnet","Yes","No","No","No","No","No"
"ALFTP","Yes","No","No","No","No","No"
"BitKinex","Yes","No","No","No","No","No"
"Captain FTP","No","Yes","No","No","No","No"
"Classic FTP","Yes","Yes","No","No","No","No"
"CoreFTP","Yes","No","No","No","No","No"
"CrossFTP","Yes","Yes","Yes","Yes","Yes","Yes"
"cURL (CL)","Yes","Yes","Yes","Yes","Yes","Yes"
"CurlFtpFS","No","Yes","Yes","Yes","No","No"
"CuteFTP","Yes","Yes","No","No","No","No"
"Cyberduck","Yes","Yes","No","No","No","No"
"Directory Opus","Yes","No","No","No","No","Yes"
"ExpanDrive","Yes","Yes","No","No","No","No"
"FAR Manager","Yes","No","No","No","No","No"
"Fetch","No","Yes","No","No","No","No"
"FileZilla","Yes","Yes","Yes","Yes","Yes","No"
"FireFTP","Yes","Yes","Yes","Yes","Yes","No"
"FlashFXP","Yes","No","No","No","No","No"
"Fling FTP","Yes","No","No","No","No","No"
"FRENDS Cobalt","Yes","No","No","No","No","No"
"FTP!","Yes","No","No","No","No","No"
"FTP Client","No","Yes","No","No","No","No"
"FTP Commander","Yes","No","No","No","No","No"
"FTP Explorer","Yes","No","No","No","No","No"
"FTP Script!","Yes","No","No","No","No","No"
"FTP Voyager","Yes","No","No","No","No","No"
