"Virtual machine","Machine model","Memory management","Code security","Interpreter","JIT","Precompilation","Shared libraries","Common Language Object Model","Dynamic typing"
"CLR","stack","automatic or manual","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Dis (Inferno)","register","automatic","Yes","Yes","Yes","Yes","Yes","No","No"
"DotGNU Portable.NET","stack","automatic or manual","No","No","Yes","Yes","Yes","Yes","No"
"Java Virtual Machine (JVM)","stack","automatic","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"JikesRVM","stack","automatic","No","No","Yes","No","?","No","No"
"LLVM","register","manual","No","Yes","Yes","Yes","Yes","Yes","No"
"Mono","stack","automatic or manual","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Parrot","register","automatic","No","Yes","No","Yes","Yes","Yes","Yes"
"Dalvik","register","automatic","Yes","Yes","Yes","?","?","No","No"
"Squeak","stack","automatic","No","Yes","Yes","source to bytecode","Yes","No","Yes"
"Virtual machine","Languages","Comments","Interpreter","JIT","Implementation Language","SLoC"
"CLR","C#, C++/CLI, F#, VB.NET","bytecode is CIL","?","?","",""
"Adobe Flash Player (aka Tamarin)","ActionScript, SWF (file format)","interactive web authoring tool. bytecode is named ""ActionScript Byte Code (.abc)""","Yes","Yes","C++","135k (initially released)"
"Dis (Inferno)","Limbo","Dis Virtual Machine Specification","Yes","Yes","C","15k + 2850 per JIT arch + 500 per host OS"
"DotGNU/Portable.NET","CLI languages including: C#","Clone of Common Language Runtime","No","Yes","C, C#",""
"Forth","Forth","Features are simplified, usually include assembler, compiler, text-level and binary-level interpreters, sometimes editor, debugger and OS. Compilation speeds are >20 SKLOC/S and behave much like JIT.","Yes","No","Forth, Forth Assembler","2.8K to 5.6K; advanced, professional implementations are smaller."
"Glulx","Glulx, Z-code","","","","",""
"HHVM","PHP, HACK","Is an open-source virtual machine designed for executing programs written in Hack and PHP.","Yes","Yes","C++, OCaml",""
"Icon","Icon","","","","",""
"JVM","Java, Jython, Groovy, JRuby, C, C++, Clojure, Scala and several others","Reference implementation by Sun ; OpenJDK: code under GPL ; IcedTea: code and tools under GPL","Yes","Yes","JDK, OpenJDK & IcedTea with regular JIT : Java, C, ASM ; IcedTea with the ""Zero"" JIT : Java, C","JVM is around 6500k lines; TCK is 80k tests and around 1000k lines"
"LLVM","C, C++, Objective-C, Ada, Fortran, and Rust","MSIL, C and C++ output are supported. ActionScript Byte Code output is supported by Adobe Alchemy. bytecode is named ""LLVM Bytecode (.bc)"". assembly is named ""LLVM Assembly Language (*.ll)"".","Yes","Yes","C++","811k"
"Lua","Lua","","Yes","LuaJIT","C","13k + 7k LuaJIT"
"MMIX","MMIXAL","","","","",""
"Mono","CLI languages including: C#, VB.NET, IronPython, IronRuby, and others","clone of Common Language Runtime.","Yes","Yes","C#, C","2332k"
"Oz","Oz, Alice","","","","",""
"NekoVM","currently Neko and Haxe","","Yes","x86 only","C","46k"
"O-code machine","BCPL","","","","",""
"p-code machine","Pascal","UCSD Pascal, widespread in late 70s including Apple II","","","",""
"Parrot","Perl (6 & 5), NQP-rx, PIR, PASM, PBC, BASIC, bc, C, ECMAScript, Lisp, Lua, m4, Tcl, WMLScript, XML, and others","","Yes","Yes","C, Perl","111k C, 240k Perl"
"Perl virtual machine","Perl","op-code tree walker","Yes","No","C, Perl","175k C, 9k Perl"
"CPython","Python","","Yes","Psyco","C","387k C, 368k Python, 10k ASM, 31k Psyco"
"PyPy","Python","Self-hosting implementation of Python, next generation of Psyco","Yes","Yes","Python",""
"Rubinius","Ruby","Virtual machine for another Ruby implementation","Yes","Yes","C++, Ruby",""
"Silverlight","C#, VB.NET","A Micro-version of Microsoft .NET Framework to let applications run sandboxed inside browser","Yes","Yes","C++","7MB (initially released)"
"ScummVM","Scumm","Computer game engine","","","",""
"SECD","ISWIM, Lispkit Lisp","","","","",""
"Squirrel","Squirrel","","Yes","Squirrel_JIT","C++","12k"
"Smalltalk","Smalltalk","","","","",""
"SQLite","SQLite opcodes","Virtual database engine","","","",""
"Squeak","Squeak Smalltalk","Self hosting implementation of Squeak virtual machine.  Rich multi-media support.","Yes","Cog  & Exupery","Smalltalk/Slang","110k Smalltalk, ~300K C"
"TraceMonkey","JavaScript","Based on Tamarin","No","Yes","C++","173k"
"TrueType","TrueType","Font rendering engine","Yes","No","C (typically)",""
"Valgrind","x86/x86-64 binaries","Checking of memory accesses and leaks under Linux","","","C","467k"
"VisualWorks","Smalltalk","","No","Yes","C",""
"Vx32 virtual machine","x86 binaries","Application-level virtualization for native code","No","Yes","",""
"Waba","","Virtual machine for small devices, similar to Java","","","",""
"Yet Another Ruby VM (YARV)","Ruby","Virtual machine of the reference implementation for Ruby 1.9 and newer versions","Yes","Yes","C",""
"Z-machine","Z-Code","","","","",""
"Zend Engine","PHP","","Yes","No","C","75k"
