"","Origin","Derived from","Hard/soft","Stances","Representative kata","# of kata"
"Chitō-ryū","Okinawa","Shōrei-ryū, Shōrin-ryū","70 percent hard, 30 percent soft techniques","natural stride (beginner), shorter/narrower (advanced)","Shi Ho Hai, Seisan, Ro Hai Sho, Niseishi, Bassai, Chinto, Sochin, Tenshin, Ro Hai Dai, Sanshiryu, Ryushan, Kusanku, Sanchin","15 kata not including kihon and Bo kihon/kata"
"Gōjū-ryū","Okinawa","Fujian White Crane","both","deep/natural","Sanchin, Tensho, Gekisai Dai, Seipai, Saifa","12"
"Gosoku-ryū","Japan","Gōjū-ryū, Shotokan","50 percent hard, 50 percent soft techniques","deep (beginner), natural (advanced)","Gosoku, Rikyu, Denko Getsu, Tamashi","46 including weapons kata"
"Isshin-ryū","Okinawa","Gōjū-ryū, Shōrin-ryū, Kobudō","both, primarily hard","natural","Sunsu","14"
"Kyokushin","Japan","Shotokan, Gōjū-ryū","Hardest techniques","natural","5 Pinan, Kanku, Tensho, Garyu","23 (+ ura)"
"Ryūei-ryū","Okinawa","Naha-te, Chinese martial arts","","natural","Anan, Paiku, Heiku, Pachu, Ohan, Paiho, Niseishi","about 16"
"Shindō jinen-ryū","Japan and Okinawa","primarily Shuri-te like Shitō-ryū, but also Naha-te and Tomari-te","both","deep/natural","Shimpa, Taisabaki 1-3, Sunakake no Kon","More than 60 counting all kobudo kata"
"Shitō-ryū","Japan and Okinawa","Shōrin-ryū, Naha-te, Shuri-te.","both","deep/natural","Pinan, Bassai Dai, Seienchin, Saifa, Rōhai, Nipaipo","more than 80"
"Shōrin-ryū","Okinawa","Shuri-te, Tomari-te, Chinese martial arts","both, primarily soft","natural","Pinan, Naihanchi, Fukyu","21"
"Shotokan","Japan and Okinawa","Shōrei-ryū, Shōrin-ryū","Primarily hard techniques as well as soft techniques","deep (beginner), natural (advanced)","5 Heian, Jion, Kanku Dai, Bassai Dai, Sochin etc.","26 + additional"
"Shuri-ryū","Okinawa and USA","Shuri-te, Hsing-yi","both","deep/natural","Wunsu, O-Naihanchi, Sanchin","15"
"Uechi-ryū","Okinawa","Pangai-noon Kung Fu","half hard, half soft","mainly natural","Sanchin, Seisan, Sanseirui","8"
"Wado-ryū","Japan","Yoshin-ryu Jujitsu and Shotokan","both, primarily soft","mainly natural","Pinan, Kushanku, Seishan, Chintō","15 (one hidden)"
"Yōshūkai","Japan and Okinawa","Chitō-ryū","60 percent hard, 40 percent soft techniques","deep (beginner), natural (advanced)","Seisan, Bassai, Yoshu, San Shi Ryu","18"
