"Research Networking Tool","Link to Product Page","Developer/Owner","Open Source","Adopters"
"Activity Insight","Activity Insight","Digital Measures","No","USC Marshall School of Business"
"C-IKNOW","C-IKNOW","Science of Networks in Communities (SONIC) - Northwestern University","Yes","National Cancer Institute, National Science Foundation"
"Collaborative Partnership / Profile System","Collaborative Partnership and Research Expertise at UT Arlington","University of Texas at Arlington","Yes","UT Arlington, UT Pan American, University of North Texas Health Science Center, UT El Paso, UT San Antonio, UT Tyler, UT Health Science Center, University of North Texas, UT Dallas, UT Health Center at Tyler, Texas Christian University, (plans to add Gulf Coast Consortia: Rice University, Baylor College of Medicine)"
"Community Academic Profiles - CAP","Community Academic Profiles","Stanford University","No","Stanford University"
"Curvita Profile Manager","Curvita Profile Manager","SciMed Solutions","No","University of North Carolina"
"CUSP - Columbia University Scientific Profiles","CUSP","Columbia University","No","Columbia University"
"Digital Vita","DigitalVita","Center for Dental Informatics - University of Pittsburgh","Yes","University of Pittsburgh, Pitt Health Sciences Center"
"Elsevier's SciVal Experts (formerly Collexis Expert Profiling)","SciVal Experts","Elsevier","No","45+ implementations worldwide containing profiles for researchers at 65+ institutions. Customers include Johns Hopkins University, Memorial Sloan-Kettering, Northwestern University, REACH NC, University of Michigan, University of Texas MD Anderson Cancer Center, and several institutions in Asia-Pacific, Europe and Latin America. See SciVal Experts client list. Details on The University of Texas MD Anderson Cancer Center's use of the tool"
"Elsevier's SciVal Spotlight","SciVal Spotlight","Elsevier","No","As of Nov 2011, there are approximately 40 adopters worldwide.  Details on Tohoku University's use of the tool"
"Epernicus Solutions & Epernicus Network","Epernicus","Epernicus","No (but Epernicus Network is free to use)","Harvard, MIT, Indiana University, Stanford, University of California Berkeley (but not exclusively)"
"Epistemio","Epistemio","Epistemio","No","N/A (platform is directed toward individual researcher use)"
"ERIM Member Profile System (ERIM MIS)","People ERIM People profile system","Erasmus Research Institute of Management, Erasmus University Rotterdam, Netherlands","No","Erasmus University"
"EUREKA! Enhancing Student Research","EUREKA","University of Texas at Austin (UTA)","No","University of Texas at Austin"
"Expertise @ Maryland","UM Experts","University of Maryland","Yes (will be)","University of Maryland College Park"
"Faculty Profile System","UC Irvine Faculty Profile System","University of California Irvine","No","UC Irvine"
"Faculty Research Information Profile (FRIP)","Discontinued. Work on this system ceased; moved on to developing Digital Vita","University of Pittsburgh","N/A","(formerly) University of Pittsburgh"
"Faculty Scholarly Productivity Index","Academic Analytics","Academic Analytics, LLC","No","Unknown"
