"Layout engine","Release version","Preview version","Used by"
"Amaya","11.4.7","N/A","No longer developed; Amaya"
"Blink","537.36","source code","Chromium/Chrome (28+), Opera (15+) and Yandex"
"Gecko",")",")","All Mozilla software, including Firefox; SeaMonkey and Galeon; Camino; K-Meleon; Flock (up to 2.x); Debian IceWeasel; GNU IceCat (formerly GNU IceWeasel); Icedove, Iceape and Iceowl; Fennec. Also used by the Maple platform in 2010 and 2011 Samsung ""SmartTV"" devices which are based on the build used in Firefox 3.0. Nokia Asha platform is also using Gecko for web apps rendering."
"KHTML","4.12.3","N/A","Konqueror"
"Presto","2.12.388","N/A","No longer developed; Opera and Opera Mobile use Blink now; Nintendo DS & DSi Browser; Internet Channel"
"Tasman","(IE 5.2.3 for Mac)","N/A","No longer developed (aborted in 2003); Internet Explorer 5+  for Mac OS X"
"Trident","7.0 (IE 11)","N/A","Internet Explorer and other Internet Explorer shell like Maxthon (Microsoft Windows operating system only), Windows Phone 8"
"WebKit","534.20","nightly build","Tizen (both OS and browser), Safari (both desktop and mobile), Google Chrome (before 28), Maxthon 3, Shiira, iCab 4, OmniWeb 5.5+, Web, Adobe AIR, Midori, Adobe Dreamweaver CS4 and CS5, Android browser, Palm webOS browser, Symbian S60 browser, OWB, Steam, Rekonq, Arora, Flock (version 3+), RockMelt, Dolphin Browser, Sleipnir, Konqueror. Used by the LG Smart TV platform to enable web content on TVs."
"Value","Meaning"
"Yes","Indicates that the layout engine fully supports this property/element when valid values are used."
"No","Indicates that the property/element is completely ignored."
"Partial","Indicates that the property/element is understood, but that not all values are supported. Supported values are implemented correctly."
"Incorrect","Indicates that the property/element is understood, but that it is not implemented correctly in all cases."
"Experimental","Indicates that the property/element is understood, but supported under an alternate name. May be incomplete or buggy."
"Dropped","Indicates that the property/element is no longer supported."
"Nightly build","Indicates that the property/element is supported to some extent in an experimental/nightly build. Future support is expected."
"Depends","Indicates that the property/element is supported only on certain platforms, or if certain settings are configured."
"","Trident","Gecko","WebKit","Presto"
"","5.0","2.0","533","2.7.70"
"","5.0","2.0","533","2.7.70"
"","5.0","2.0","533","2.7.70"
"","5.0","2.0","533","2.7.70"
"","5.0","2.0","533","2.7.70"
"","5.0","2.0","533","2.7.70"
"","5.0","2.0","533","2.7.70"
"","No","22.0","No","2.8.146"
"","5.0","2.0","Yes","2.7.70"
", ,","3.1","No","533","No"
"","No","No","No","No"
"","5.0","2.0","Yes","2.7.70"
"","5.0","2.0","Yes","2.7.70"
"","3.1","1.7","85","1.0"
"","5.0 (Partial)","15.0","525","2.5"
"","5.0 (Partial)","15.0","525","2.5"
"","5.0 (Partial)","15.0","525","2.5"
"","5.0 (Partial)","1.9.2","Partial","2.0"
"Inline MathML","No","2.0","Yes","2.1"
"Inline SVG","5.0","2.0","Yes","2.9.220"
"","No","No","Yes","No"
"","No","No","Yes","No"
"","No","No","No","No"
"","No","8.0","No","2.8"
"","No","10.0","528","No"
"","No","22.0","No","No"
"","No","No","No","No"
"","Trident","Gecko","WebKit","Presto"
"Attribute","Element","Trident","Gecko","WebKit","Presto"
"","","6.0","1.9","Yes","2.6"
"","","No","8.0 (only mobile)","Yes","No"
"","","4.0","1.9.2","Yes","2.5.24"
"","","No","21.0","No","No"
"","","6.0","1.9.2","Yes","No"
"","","No","18.0","Yes","No"
"","","No","20.0","Yes","No"
"","","6.0","17.0","533","No"
"","","No","No","No","No"
"Attribute","Element","Trident","Gecko","WebKit","Presto"
"","Trident","Gecko","WebKit","Presto"
"","No","No","No","No"
"Datasets ()","No","6.0","Yes","2.8"
"","No","8.0","No","No"
"","No","2.0","Yes","2.7.70"
"","3.1","1.9","Yes","2.0"
"","6.0","1.8","Incorrect","2.8"
"","6.0","1.9.1","533","2.10.270"
"","No","No","Yes","2.10.270"
"","Trident","Gecko","WebKit","Presto"
"","Trident","Gecko","WebKit","Presto"
"Attributes","Attributes","Attributes","Attributes","Attributes"
"","3.1","Yes","Yes","2.0"
"","6.0","2.0","Yes","2.0"
"","6.0","2.0","528","2.0"
"","6.0","1.9.2","526","2.7"
"","6.0","2.0","528","2.0"
",","6.0","16.0","Yes","2.0"
"","6.0","16.0","528","2.0"
"","6.0","2.0","Yes","2.7"
"","No","2.0","Yes","2.0"
"","6.0","2.0","528","2.0"
"","6.0","2.0","528","2.0"
"","6.0","2.0","528","2.8"
"","No","2.0","No","No"
"","No","2.0","Yes","Yes"
"","6.0","2.0","Yes","2.8"
"","6.0","2.0","Yes","2.8"
"","6.0","2.0","Yes","2.8"
"","6.0","2.0","Yes","2.8"
"","6.0","2.0","528","2.8"
"(fieldset element)","<3.1","2.0","No","2.7"
"Elements","Elements","Elements","Elements","Elements"
"","6.0","2.0","Yes","2.0"
"","No","1.0","125","1.0"
"","No","2.0","Yes","2.0"
"","6.0","6.0","Yes","2.7"
"","No","16.0","Yes","2.7"
"Input types","Input types","Input types","Input types","Input types"
"","6.0","2.0","312","2.7"
"","6.0","2.0","528","2.7"
"","6.0","2.0","528","2.0"
"","6.0","2.0","528","2.0"
"","No","No","Yes","2.0"
"","No","No","Yes","2.0"
"","No","No","Yes","2.0"
"","No","No","Yes","2.0"
"","No","No","Yes","2.0"
"","No","No","Yes","2.0"
"","6.0","29.0","528","2.0"
"","6.0","23.0","Yes","2.0"
"","No","29.0","Yes","2.7"
"","Trident","Gecko","WebKit","Presto"
"","Trident","Gecko","WebKit","Presto"
"","5.0","1.9","525","2.1"
"","No","1.9","Yes","2.10"
"","No","1.8","Yes","2.10"
"Cross-document messaging","4.0","1.9","Yes","2.0"
"Drag-and-drop","6.0","1.9.1","Yes","2.10.270"
"and","6.0","2.0","528","2.9"
"","Trident","Gecko","WebKit","Presto"
"","Trident","Gecko","WebKit","Presto"
"Microdata","No","16.0","No","Yes"
"HTML5 Tokenizer","6.0","2.0","Yes","2.10"
"HTML5 Tree Builder","6.0","2.0","Yes","2.10"
"HTML5 Fragment Parser","6.0","2.0","Yes","2.10"
"","No","33.0","Yes","No"
"","4.0","1.9.2","528","2.6"
"","No","1.9.2","Yes","2.8"
"","No","20.0","528+","No"
"","Trident","Gecko","WebKit","Presto"
"","Trident","Gecko","WebKit","Presto"
"","No","No","No","No"
"","6.0","No","No","No"
"","No","Depends","Depends","No"
"","Trident","Gecko","WebKit","Presto"
"element","No","21.0","Yes","No"
"element","No","No","Yes","No"
"Selectors API","4.0","1.9.1","525","2.2"
"Web Storage","4.0","1.9.1","525","2.5"
"Indexed Database API","5.0","16.0","Partial","No"
"Web SQL Database (obsolete)","No","No","Yes","2.5"
"File API","5.0","Yes","Yes","2.8"
"File API: Writer","5.0","No","Partial","No"
"File API: Directories and System","No","No","Yes","No"
"Media Capture API","No","2.0","No","2.10"
"Server-sent events","No","6.0","Yes","2.7"
"WebSocket","6.0","11.0","533","2.11"
"Web Workers","6.0","1.9.1","Yes","2.6"
"Geolocation API","5.0","1.9.1","533","2.6"
"Offline Web applications","6.0","1.9.1","Yes","2.6"
"Web Notifications","No","22.0","only in Chrome","?"
"","Trident","Gecko","WebKit","Presto"
