"Software","Web-based","Hosted On-Premises","SaaS","License","Programming language"
"24SevenOffice","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AceProject","Yes","No","Yes","No","Yes","Yes","No","Yes"
"Anyplan","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Apache Bloodhound","Yes","Yes","No","No","No","No","Yes","No"
"Apollo","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Asana","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"AtTask","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Axosoft","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Basecamp","Yes","No","No","No","Yes","Yes","No","No"
"Binfire","Yes","No","No","Yes","Yes","Yes","Yes","No"
"Bontq","Yes","Yes","Yes","Yes","No","Yes","No","No"
"Brightpod","Yes","No","Yes","Yes","No","Yes","Yes","Yes"
"BrightWork","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Calligra Plan","No","No","Yes","No","Yes","No","No","No"
"Ceiton workflow system","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Celoxis","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Central Desktop","Yes","Yes","No","No","No","Yes","No","No"
"Clarizen","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ClickHome","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Clinked","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ClipPod","Yes","No","Yes","No","Yes","Yes","No","No"
"Collabtive","Yes","No","No","No","No","Yes","No","Yes"
"Compuware Changepoint","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ConceptDraw Project","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Concerto Projects","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Contactizer","Yes","No","No","No","Yes","No","No","No"
"Copper Project","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Deltek Open Plan","Yes","No","Yes","Yes","Yes","No","No","Yes"
"Deltek WelcomHome","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"DeskAway","Yes","Yes","Yes","No","Yes","Yes","No","No"
"Doolphy","Yes","No","Yes","Yes","Yes","Yes","No","Yes"
"dotProject","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"DropTask","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"DynaRoad","No","No","Yes","No","Yes","No","Yes","Yes"
"Easy projects","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Eclipse PPM software","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Endeavour Software Project Management","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"eGroupWare","Yes","Yes","No","Yes","Yes","Yes","No","No"
"enQuire","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"eXo Platform","Yes","No","No","No","No","Yes","Yes","Yes"
"Eylean Board","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"FastTrack Schedule","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"Feng Office Community Edition","Yes","No","Yes","Yes","No","Yes","No","No"
"FinancialForce.com","No","No","Yes","No","Yes","No","No","Yes"
"FMYI","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"FogBugz","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"FusionForge","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"Ganttic","Yes","No","Yes","Yes","Yes","No","No","No"
"GanttProject","No","No","Yes","No","Yes","No","No","No"
"Genius Project","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Goodwerp","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Groupiful","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Group-Office","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"GroveSite","Yes","Yes","Yes","Yes","No","Yes","No","No"
"Hall.com","Yes","No","No","No","Yes","Yes","No","No"
"Hansoft","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HP Project & Portfolio Software","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Huddle","Yes","No","No","No","No","Yes","No","No"
"Hyperoffice","Yes","No","No","No","No","Yes","No","No"
"iManageProject","Yes","No","No","No","Yes","Yes","No","No"
"InLoox","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"in-Step BLUE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Intellinote","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"JIRA","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Journyx","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Kayako helpdesk software","Yes","Yes","No","No","No","Yes","No","No"
"Launchpad","Yes","Yes","No","Yes","No","No","No","No"
"LibrePlan","Yes","No","Yes","No","Yes","No","No","Yes"
"LiquidPlanner","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"LisaProject","No","No","Yes","No","Yes","No","No","No"
"MacProject","No","No","Yes","No","Yes","No","No","No"
"MantisBT","No","Yes","No","No","No","No","No","No"
"MatchWare MindView 5 Business Edition","Yes","No","Yes","Yes","Yes","Yes","No","No"
"Mavenlink","Yes","No","Yes","Yes","Yes","Yes","No","No"
"Merlin","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Métier","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Microsoft Dynamics AX","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Microsoft Office Project Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Microsoft Project","No","No","Yes","No","Yes","No","No","Yes"
"Microsoft SharePoint Server","Yes","Yes","Yes","No","No","Yes","Yes","No"
"Microsoft Team Foundation Server","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Milestones Professional","No","Yes","Yes","No","No","Yes","No","No"
"MindGenius","Yes","No","Yes","No","Yes","No","No","No"
"NetPoint","No","No","Yes","No","Yes","No","No","No"
"NetSuite","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"MyWorkPLAN","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"O3Spaces","Yes","No","No","No","No","Yes","No","No"
"OnePager Pro","Yes","No","Yes","Yes","Yes","Yes","No","Yes"
"OmniPlan","Yes","No","Yes","No","Yes","No","No","Yes"
"Onepoint Project","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Open Workbench","No","No","Yes","No","Yes","No","No","No"
"Odoo","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"OpenProj","No","No","Yes","No","Yes","No","No","No"
"OpenProject","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"Oracle Primavera EPPM (Primavera P6)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"phpGroupWare","Yes","Yes","No","Unknown","Yes","Yes","No","No"
"PHProjekt","Yes","Yes","Yes","No","No","No","No","No"
"Pivotal Tracker","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Planbox","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Plandora","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Planisware","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Planner Suite","No","No","Yes","Yes","Yes","Yes","No","No"
"PLANTA Project","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Priority Matrix","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Project Builder","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Project KickStart","No","No","Yes","No","Yes","Yes","Yes","Yes"
"Project Team Builder","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"ProjectLink","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ProjectManager.com","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Project.net","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ProjectLibre","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Project-Open","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Projector PSA","No","No","Yes","No","Yes","Yes","Yes","Yes"
"Projectplace","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Projecturf","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Projektron BCS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ProjeQtOr","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Proliance","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Prolog","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"QuickBase","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RationalPlan","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Realisor","Yes","No","Yes","Yes","Yes","No","No","Yes"
"Redmine","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"SAP Business ByDesign","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sciforma","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Severa","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Smartsheet","Yes","Yes","No","No","Yes","Yes","No","Yes"
"Spider Project","No","No","Yes","No","Yes","No","No","Yes"
"SwiftKanban","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"TACTIC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Talygen","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"TargetProcess","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"TaskJuggler","Yes","No","Yes","No","Yes","No","No","No"
"Redbooth","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown"
"Teamcenter","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TeamDynamixHE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TeamLab","Yes","No","Yes","Yes","No","Yes","No","Yes"
"Twproject","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TestTrack","Yes","Yes","No","No","No","No","Yes","Yes"
"The Bug Genie","Yes","Yes","No","Yes","No","No","Yes","Yes"
"Tom's Planner","Yes","No","Yes","No","No","No","No","No"
"Trac","Yes","Yes","No","No","No","No","Yes","No"
"TrackerSuite.Net","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Traction TeamPage","Yes","Yes","Yes","Yes","No","Yes","No","Yes"
"Trello","Yes","Yes","Unknown","Unknown","Unknown","No","No","Unknown"
"Ubidesk","Yes","Yes","Yes","No","No","Yes","No","No"
"VPMi","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Assembla","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"web2project","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"Workgroups DaVinci","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WorkPLAN Enterprise","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"workspace.com","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown"
"Wrike","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Zoho Projects","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Software","Budget Management","Time Tracking","Invoicing"
"10,000ft","Yes","Yes","No"
"2-plan","No","No","No"
"24SevenOffice","Yes","Yes","Yes"
"AceProject","No","Yes","No"
"Anyplan","Yes","Yes","No"
"Apache Bloodhound","No","No","No"
"Apollo","No","Yes","No"
"Assembla","No","Yes","No"
"AtTask","Yes","Yes","No"
"Axosoft","No","Yes","No"
"Basecamp","No","No","No"
"Binfire","No","No","No"
"Bontq","No","No","No"
"Brightpod","No","Yes","No"
"BrightWork","No","No","No"
"Calligra Plan","No","No","No"
"Ceiton workflow system","Yes","Yes","Yes"
"Celoxis","Yes","Yes","Yes"
"Central Desktop","No","Yes","No"
"Clarizen","Yes","Yes","No"
"ClickHome","No","No","No"
"ClipPod","No","No","No"
"Collabtive","No","Yes","No"
"Compuware Changepoint","No","Yes","No"
"ConceptDraw Project","Yes","Yes","No"
"Concerto Projects","Yes","Yes","Yes"
"Contactizer","No","No","No"
"Copper Project","Yes","Yes","Yes"
"Deltek Open Plan","No","Yes","No"
"Deltek WelcomHome","No","Yes","No"
"DeskAway","No","Yes","No"
"Doolphy","No","Yes","No"
"dotProject","No","No","No"
"DynaRoad","Yes","Yes","No"
"Easy projects","Yes","Yes","Yes"
"Eclipse PPM software","No","No","No"
"Endeavour Software Project Management","No","No","No"
"eGroupWare","No","Yes","No"
"enQuire","Yes","Yes","Yes"
"Eylean Board","No","Yes","No"
"FastTrack Schedule","No","No","No"
"Feng Office Community Edition","No","Yes","Yes"
"FinancialForce.com","No","Yes","Yes"
"FogBugz","No","Yes","No"
"FusionForge","No","Yes","No"
"Ganttic","No","No","No"
"GanttProject","No","No","No"
"Genius Project","Yes","Yes","Yes"
"Goodwerp","No","Yes","Yes"
"GroveSite","No","No","No"
"Hall.com","No","No","No"
"Hansoft","No","Yes","No"
"HP Project & Portfolio Software","No","No","No"
"Huddle","No","No","No"
"Hyperoffice","No","Yes","No"
"iManageProject","No","Yes","No"
"InLoox","Yes","Yes","Yes"
"in-Step BLUE","Yes","Yes","No"
"Intellinote","No","No","No"
"JIRA","No","Yes","No"
"Journyx","No","Yes","Yes"
"Kayako helpdesk software","No","No","No"
"Launchpad","No","No","No"
"LibrePlan","No","Yes","No"
"LiquidPlanner","No","Yes","No"
"LisaProject","No","No","No"
"MacProject","No","No","No"
"MantisBT","No","Yes","No"
"MatchWare MindView 4 Business Edition","No","No","No"
"Mavenlink","Yes","Yes","Yes"
"Merlin","Yes","No","No"
"Métier","Yes","Yes","Yes"
"Microsoft Dynamics AX","Yes","Yes","Yes"
"Microsoft Office Project Server","Yes","Yes","No"
"Microsoft Project","Yes","Yes","No"
"Microsoft SharePoint Server","No","No","No"
"Microsoft Team Foundation Server","No","No","No"
"Milestones Professional","No","No","No"
"MindGenius","No","No","No"
"NetPoint","No","No","No"
"NetSuite","Yes","Yes","No"
"MyWorkPLAN","Yes","No","No"
"O3Spaces","No","No","No"
"OnePager Pro","No","No","No"
"OmniPlan","No","No","No"
"Onepoint Project","No","No","No"
"Open Workbench","No","No","No"
"Odoo","Yes","Yes","Yes"
"OpenProj","No","No","No"
"OpenProject","Yes","Yes","No"
"Oracle Primavera EPPM (Primavera P6)","No","No","No"
"phpGroupWare","No","No","No"
"PHProjekt","No","Yes","No"
"Pivotal Tracker","No","No","No"
"Planbox","No","Yes","No"
"Plandora","Yes","No","No"
"Planisware","Yes","Yes","Yes"
"Planner Suite","No","Yes","Yes"
"PLANTA Project","Yes","No","No"
"Project KickStart","No","No","No"
"Project Team Builder","No","No","No"
"ProjectManager.com","Yes","Yes","No"
"Project.net","No","Yes","No"
"Project-Open","Yes","Yes","No"
"Projectplace","No","No","No"
"Projecturf","Yes","Yes","No"
"Projektron BCS","No","No","No"
"ProjeQtOr","Yes","Yes","Yes"
"Proliance","No","No","No"
"Prolog","Yes","Yes","Yes"
"QuickBase","No","No","No"
"RationalPlan","Yes","Yes","Yes"
"Realisor","No","No","No"
"Redmine","No","Yes","No"
"SAP Business ByDesign","No","No","No"
"Sciforma","Yes","Yes","No"
"Severa","No","Yes","No"
"Smartsheet","No","No","No"
"Spider Project","Yes","Yes","Yes"
"TACTIC","No","No","No"
"Talygen","No","Yes","Yes"
"TargetProcess","No","Yes","No"
"TaskJuggler","No","No","No"
"Teamcenter","Yes","Yes","No"
"Redbooth","No","Yes","No"
"TeamDynamixHE","Yes","Yes","No"
"TeamLab","No","No","No"
"Twproject","Yes","Yes","No"
"TestTrack","No","Yes","No"
"The Bug Genie","No","Yes","No"
"Tom's Planner","No","No","No"
"Trac","No","No","No"
"TrackerSuite.Net","No","Yes","No"
"Traction TeamPage","No","Yes","No"
"Trello","No","No","No"
"Ubidesk","No","No","No"
"VPMi","Yes","Yes","No"
"web2project","No","No","No"
"Workgroups DaVinci","Yes","Yes","Yes"
"WorkPLAN Enterprise","No","Yes","No"
"workspace.com","No","Yes","No"
"Wrike","No","Yes","No"
"Zoho Projects","No","Yes","Yes"
