"Software","Creates","Modifies","Mounts","Restores","Extracts","Input","Output","OS","License"
"PowerISO for Linux","No","No","No","No","Yes","ISO","ISO, BIN, DAA","Linux","Freeware"
"PowerISO for Windows","Yes","Yes","Yes","Yes","Yes","ISO, BIN/CUE, DAA, UIF, DMG, MDF/MDS, ASHDISC, BWI/B5I, LCD, IMG, CDI, CIF, P01, PDI, NRG, NCD, PXI, GI, FCD, VCD, C2D, BIF","ISO, BIN, DAA","Windows","Shareware"
"Roxio Creator","Yes","No","No","Yes","No","ISO, C2D, BIN/CUE, GI","ISO, GI","Windows","Proprietary
commercial"
"Roxio Toast","No","No","No","Yes","No","ISO, BIN/CUE, IMG, DMG, CDR, NRG","N/A","Mac OS X","Proprietary
commercial"
"Saturn Disk Image","Yes","No","No","No","Yes","ISO (ISO 9660 and Joliet only)","N/A","Windows, Linux, Mac OS X, BSD, Solaris","zlib/libpng"
"UltraISO","Yes","Yes","Yes","Yes","Yes","BIN/CUE, BWI/BWT/B5T/B5I/B6T/B6I, C2D, CDI, CIF, DAA, DMG, FCD, G2D, GCD/GI, IMA, IMG/CCD, IML, ISO/ISZ, LCD, MDF/MDS, NCD, NRG, P01/MD1/XA, PDI, PXI, TAO/DAO, UIF, VaporCD, VC4/000, VCD, VDI, XMD/XMF","BIN/CUE, CCD/IMG/SUB, ISO/ISZ, MDF/MDS, NRG","Windows","Shareware"
"Virtual CloneDrive","No","No","Yes","No","No","ISO, BIN, CCD","N/A","Windows","Freeware"
"Virtual CD-ROM Control Panel","No","No","Yes","No","No","ISO","N/A","Windows","Freeware"
"VirtualDrive Pro","No","No","Yes","No","No","N/A","N/A","Windows","Shareware"
"WinCDEmu","Yes","No","Yes","No","No","ISO, CUE, NRG, MDS/MDF, CCD, IMG","N/A","Windows","LGPL"
"WinImage","Yes","File replacement only","Yes","No","Yes","ISO, VMDK, VHD, VUD, CIF, DSK, VFD, FLP, IMA, IMZ, WLZ, DMF","ISO, VMDK, VHD, VUD, CIF, DSK, VFD, FLP, IMA, IMZ, WLZ, DMF","Windows","Shareware"
"WinISO","Yes","Yes","Yes","?","Yes","BIN/CUE, DMG, IMG/CCD, HFS, ISO, MDF/MDS, NRG, UDF","BIN/CUE, CCD/IMG/SUB, ISO, MDF/MD5, NRG","Windows","Shareware"
"WinRAR","No","No","No","No","Yes","ISO","N/A","Windows","Shareware"
"WinZip","No","No","No","No","Yes","ISO","N/A","Windows","Shareware"
"Software","Creates","Modifies","Mounts","Restores","Extracts","Input","Output","OS","License"
