"","Creator(s)","First public release date","Latest stable version","Cost (USD)","Software license"
"7-Zip","Igor Pavlov","January 2, 1999; 15 years ago","9.20 (November 18, 2010; 3 years ago)","Free","LGPL (RAR plugin is proprietary)"
"ALZip","ESTsoft","1999; 15 years ago
 (as a WinZip translation)","8.51.0.0 (September 9, 2011; 3 years ago)","A free general serial number was published on developer's website altools.com in August 2012","Proprietary"
"ALZip for Mac","ESTsoft","1999; 15 years ago
 (as a WinZip translation)","1.11 (June 13, 2012; 2 years ago)","A free general serial number was published on developer's website altools.com in August 2012","Proprietary"
"Archive Utility","Apple Inc.","October 24, 2003; 11 years ago","10.9 (October 22, 2013; 12 months ago)","Included with Mac OS X Core Services","Proprietary"
"Ark","KDE team","Unknown","2.14
February 9, 2010; 4 years ago","Free","GPL"
"B1 Free Archiver","Adam Buyer","August 2011; 3 years ago","1.4.69
November 25, 2013; 11 months ago","Free","BSD-like"
"BetterZip","BetterZip","May 2006; 8 years ago","2.3.3 (March 5, 2014; 8 months ago)","$19.95 USD","Proprietary"
"Bitser","Bitser","January 1, 2009; 5 years ago","1.0 
March 30, 2014; 7 months ago","Free","Proprietary"
"Compressed Folders","Microsoft Inc.","June 25, 1998; 16 years ago","Windows 8.1
August 27, 2013; 14 months ago","Included in Microsoft Windows Windows Explorer shell since Windows 98.","Proprietary"
"Disk ARchiver","Denis Corbin","2002; 12 years ago","2.4.10
March 9, 2013; 19 months ago","Free","GPL"
"File Roller","Paolo Bacchilega","Unknown","3.8.3 (July 2, 2013; 16 months ago)","Free","GPL"
"Filzip","Philipp Engel","Unknown","3.06 (July 19, 2006; 8 years ago)","Free","Proprietary"
"FreeArc","Bulat Ziganshin","November 1, 2007; 7 years ago
v0.36","0.666
(May 20, 2010; 4 years ago)","Free","GPL"
"iArchiver","Dare to be Creative Ltd.","October 21, 2007; 7 years ago","1.4.1
October 30, 2008; 6 years ago","$26","Proprietary"
"Info-ZIP (Wzip)","Samuel Smith","March 1989; 25 years ago","6.0
April 29, 2009; 5 years ago","Free","BSD-like"
"IZArc","IZSoftware","Unknown","4.1.9.3145 (August 25, 2014; 2 months ago)","Free","Proprietary"
"KGB Archiver","Tomasz Pawlak","April 1, 2006; 8 years ago","1.2.1.24 November 1, 2006; 8 years ago","Free","GPL"
"PeaZip","Giorgio Tani","September 16, 2006; 8 years ago","5.5.0
October 19, 2014; 29 days ago","Free","LGPL"
"PKZIP","Phil Katz","1989; 25 years ago","12.4
(ca. September 2009; 5 years ago)","$29.00","Proprietary"
"PowerArchiver","ConexWare","March 1999; 15 years ago","14.02.05 
March 12, 2014; 8 months ago","$19.95","Proprietary"
"StuffIt","Smith Micro Software","1987; 27 years ago","15.0.4 (MacOS), 14.0.1 (Windows)
December 1, 2011; 2 years ago","Free expander; Mac: $29.99 Standard, $49.99 Deluxe, $79.99 French Deluxe; Windows: $14.99 Standard, $29.99 Deluxe, $49.99 French (or German) Deluxe","Proprietary"
"TAR","AT&T","1979; 35 years ago","GNU tar: 1.28 (July 28, 2014; 3 months ago) ; star: 1.5.1; BSD tar: 2.6.0","Free","Various"
"The Unarchiver","Circlesoft","July 1, 2006; 8 years ago","2.5
July 13, 2010; 4 years ago","Free","LGPL"
"TUGZip","Christian Kindahl","August 18, 2002; 12 years ago","3.5.0.0
April 2, 2008; 6 years ago","Free","Proprietary"
"WinAce","e-merge GmbH","Unknown","2.69
November 23, 2007; 6 years ago","Free expander (GNU/Linux & Mac only); $29.00 Standard; $39.00 Plus","Proprietary"
"WinRAR","Eugene Roshal / Alexander Roshal","1993; 21 years ago","5.11 (September 1, 2014; 2 months ago)","Free expander; $29","Proprietary"
"WinZip","WinZip Computing, Inc","1991; 23 years ago","19.0.11293 (October 28, 2014; 20 days ago)","$29.95 Standard; $49.95 Pro","Proprietary"
"XAD a.k.a. XADMaster.library","Dirk Stoecker","1998; 16 years ago","13.1","Shareware, Free for non commercial use","Proprietary"
"Xarchiver","Giuseppe Torelli","Unknown","0.5.2
November 12, 2008; 6 years ago","Free","GPL"
"ZipGenius","Matteo Riso of M.Dev Software","May 2003; 11 years ago","6.3.0.2400
January 22, 2010; 4 years ago","Free","Proprietary"
"","Creator(s)","First public release date","Latest stable version","Cost (USD)","Software license"
"","Windows","DOS","Mac OS X","Linux","BSD","Other Unix","AmigaOS","Android","Windows Mobile","Windows Phone"
"7-Zip","Yes","Command-line interface","Yes","Yes","Command-line interface","Command-line interface","Command-line interface","No","Yes","No"
"ALZip","Yes","Command-line interface","No","No","No","No","No","No","No","No"
"ALZip for Mac","No","No","Yes","No","No","No","No","No","No","No"
"Archive Utility","No","No","Yes","No","No","No","No","No","No","No"
"Ark","Unknown","No","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","?"
"B1 Free Archiver","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No"
"BetterZip","No","No","Yes","No","No","No","No","Unknown","No","?"
"Bitser","Yes","No","No","No","No","No","No","No","Unknown","?"
"bsdtar/libarchive","Yes","No","Yes","Yes","Yes","Yes","Partial","Unknown","Unknown","?"
"Disk ARchiver","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","?"
"File Roller","No","No","No","Yes","Yes","Yes","Unknown","Unknown","Unknown","?"
"Filzip","Yes","No","No","No","No","No","No","Unknown","Unknown","?"
"FreeArc","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","?"
"GNU tar","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","?"
"iArchiver","No","No","Yes","No","No","No","No","Unknown","Unknown","?"
"Info-ZIP","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","?"
"IZArc","Yes","Unknown","No","No","No","No","No","Unknown","No","?"
"KGB Archiver","Yes","Partial","Command-line interface","Yes","No","No","No","Unknown","Unknown","?"
"PeaZip","Yes","Unknown","Under Development","Yes","Yes","No","No","Unknown","Unknown","?"
"PKZIP","Yes","Yes","No","Yes","No","Yes","Yes","Unknown","Unknown","?"
"PowerArchiver","Yes","Unknown","Command-line interface","No","No","No","No","Unknown","Unknown","?"
"Star","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","?"
"StuffIt","Yes","Unknown","Yes","X86 only, older version (5.2.0?)","No","older version (5.2.0?)","No","Unknown","Unknown","?"
"The Unarchiver","Command-line interface","No","Yes","Command-line interface","No","No","No","Unknown","No","?"
"TUGZip","Yes","Unknown","No","No","No","No","No","Unknown","Unknown","?"
"WinAce","Yes","Command-line interface","Command-line interface expander only","X86, Command-line interface expander only","No","No","Command-line interface expander only","Unknown","Unknown","?"
"WinRAR","Yes","Yes","Command-line interface","X86 and x86-64, Command-line interface","Command-line interface","Command-line interface","Command-line interface expander only","Yes","Yes","?"
"WinZip","Yes","Command-line interface","Yes","No","No","No","Yes","Yes","Unknown","?"
"XAD","No","No","No","Yes","Yes","Yes","Yes","Unknown","Unknown","?"
"Xarchiver","No","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","?"
"ZipGenius","Yes","Unknown","No","No","No","No","No","Unknown","Unknown","?"
"","Windows","DOS","Mac OS X","Linux","BSD","Unix","AmigaOS","Android","Windows Mobile","Windows Phone"
"","Data compression","Shell integration","Password protection","Multiple volumes","Self extraction","File repairing","Batch conversion","Unicode file /
directory names","Encryption","Filename Encryption"
"7-Zip","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"ALZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Unknown","Unknown"
"Archive Utility","Yes","Yes","No","Unknown","No","No","Yes","Yes","Unknown","Unknown"
"ARJ","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown"
"Ark","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"B1 Free Archiver","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"BetterZip","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"Bitser","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"bsdtar/libarchive","No","Yes","No","Yes","No","No","Yes","Yes","Unknown","Unknown"
"Disk ARchiver","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"File Roller","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"Filzip","Yes","Yes","Yes","Unknown","Yes","No","No","Unknown","Unknown","Unknown"
